#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260812    12:28:29       0     33     36      -      0      0      0      0      0      0    405    180      0      0      0      1     12 
 20260812    12:28:30       0     63     37      -     11      1      0      0      0      0  12481   2392   1587   1586      0   2642    300 
 20260812    12:28:31       0     92     37      -      5      0      0      0      0      0  12481   2392   4307   4306      0   3442    230 
 20260812    12:28:32       0     92     37      -      5      0      0      0      0      0  12481   2392   7059   7058      0   2640    230 
 20260812    12:28:33       0     92     36      -      6      0      0      0      0      0  12481   2392   9843   9842      0   1887    230 
 20260812    12:28:34       0     92     36      -      5      0      0      0      0      0  12481   2392  12627  12626      0   2640    262 
 20260812    12:28:35       0     92     36      -      2      0      0      0      0      0  12481   2392  14739  14738      0      0      0 
 20260812    12:28:36       0    104     36      -      0      0      0      0      0      0  12481   2392  17715  17714      0      7      2 
 20260812    12:28:37       0    464     49      -    100     34      0      0      0      0  12481   2422  17747  17746      0      6      4 
 20260812    12:28:38       0    370     43      -    100     87      0      0      0      0  12481   2422  17747  17746      0    145     81 
 20260812    12:28:39       0    453     50      -    100     34      0      0      0      0  12481   2422  17843  17842      0      6      5 
 20260812    12:28:40       0    376     45      -    100     87      0      0      0      0  12481   2422  17843  17842      0    144     31 
 20260812    12:28:41       0    442     51      -    100     34      0      0      0      0  12481   2422  18131  18130      0      8      4 
 20260812    12:28:42       0    387     46      -    100     87      0      0      0      0  12481   2422  18131  18130      0    142     32 
 20260812    12:28:43       0    430     52      -    100     35      0      0      0      0  12481   2422  18419  18418      0      8      4 
 20260812    12:28:44       0    401     47      -    100     87      0      0      0      0  12481   2422  18419  18418      0    144     32 
 20260812    12:28:46       0    417     53      -    100     35      0      0      0      0  12481   2422  18707  18706      0      8      2 
 20260812    12:28:47       0    413     48      -    100     87      0      0      0      0  12481   2415  18707  18706      0    146     32 
 20260812    12:28:48       0    408     54      -    100     35      0      0      0      0  12481   2422  18995  18994      0      7      2 
 20260812    12:28:49       0    441     50      -    100     87      0      0      0      0  12481   2415  18995  18994      0    142     32 
 20260812    12:28:50       0    397     54      -    100     35      0      0      0      0  12481   2422  19283  19282      0      7      2 
 20260812    12:28:51       0    454     50      -    100     28      0      0      0      0  12481   2415  19283  19282      0    145     33 
 20260812    12:28:52       0    386     55      -    100     35      0      0      0      0  12481   2422  19571  19570      0      7      3 
 20260812    12:28:53       0    464     54      -    100     28      0      0      0      0  12481   2422  19571  19570      0    145     32 
 20260812    12:28:54       0    356     55      -     99     36      0      0      0      0  12481   2422  30003  30002      0      7      2 
 20260812    12:28:55       0    475     56      -    100     35      0      0      0      0  12481   2422  30067  30066      0      8      2 
 20260812    12:28:56       0    463     56      -    100     34      0      0      0      0  12481   2422  30099  30098      0      7     55 
 20260812    12:28:57       0    472     57      -    100     35      0      0      0      0  12481   2422  30099  30098      0      8      4 
 20260812    12:28:58       0    428     54      -    100     28      0      0      0      0  12481   2415  30163  30162      0    116     13 
 20260812    12:28:59       0    363     52      -     99     59      0      0      0      0  12481   2385  30259  30258      0     55     24 
 20260812    12:29:00       0    362     52      -     99     60      0      0      0      0  12481   2385  30259  30258      0    104     13 
 20260812    12:29:01       0    363     52      -     99     61      0      0      0      0  12481   2385  30259  30258      0     52     26 
 20260812    12:29:02       0    357     51      -     99     69      0      0      0      0  12481   2385  30259  30258      0    125     28 
 20260812    12:29:03       0    348     50      -     99     69      0      0      0      0  12481   2377  30259  30258      0    144     35 
 20260812    12:29:04       0    342     50      -    100     87      0      0      0      0  12481   2422  30259  30258      0    144     32 
 20260812    12:29:05       0    342     50      -    100     87      0      0      0      0  12481   2422  30259  30258      0    145     32 
 20260812    12:29:07       0    342     50      -    100     87      0      0      0      0  12481   2422  30259  30258      0    140     32 
 20260812    12:29:08       0    343     50      -    100     87      0      0      0      0  12481   2422  30259  30258      0    144     32 
 20260812    12:29:09       0    343     50      -    100     87      0      0      0      0  12481   2422  30259  30258      0    144     32 
 20260812    12:29:10       0    340     50      -     91     80      0      0      0      0  12481   2422  30259  30258      0    114     25 
 20260812    12:29:11       0    360     51      -     99     68      0      0      0      0  12481   2370  30259  30258      0    115     24 
 20260812    12:29:12       0    431     56      -    100     35      0      0      0      0  12481   2422  30259  30258      0      8      2 
 20260812    12:29:13       0    438     53      -     99     56      0      0      0      0  12481   2400  30259  30258      0    113     24 
 20260812    12:29:14       0    361     52      -     99     68      0      0      0      0  12481   2370  30259  30258      0    150    362 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260812    12:29:15       0    460     57      -    100     35      0      0      0      0  12481   2422  30259  30258      0      7      2 
 20260812    12:29:16       0    400     53      -    100     73      0      0      0      0  12481   2407  30259  30258      0    144     32 
 20260812    12:29:17       0    334     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    145     32 
 20260812    12:29:18       0    344     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    142     33 
 20260812    12:29:19       0    344     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    148     33 
 20260812    12:29:20       0    344     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    137     32 
 20260812    12:29:21       0    343     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    143     35 
 20260812    12:29:22       0    344     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    146     32 
 20260812    12:29:23       0    409     57      -    100     35      0      0      0      0  12481   2422  30259  30258      0      8      5 
 20260812    12:29:24       0    473     58      -    100     34      0      0      0      0  12481   2422  30259  30258      0      6      2 
 20260812    12:29:25       0    461     57      -    100     35      0      0      0      0  12481   2415  30259  30258      0     16      7 
 20260812    12:29:26       0    378     54      -     99     60      0      0      0      0  12481   2392  30259  30258      0     87     17 
 20260812    12:29:27       0    366     54      -    100     60      0      0      0      0  12481   2392  30259  30258      0     87     19 
 20260812    12:29:29       0    361     53      -     99     68      0      0      0      0  12481   2370  30259  30258      0    115     24 
 20260812    12:29:30       0    352     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    144     32 
 20260812    12:29:31       0    344     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    161     32 
 20260812    12:29:32       0    344     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    141     33 
 20260812    12:29:33       0    344     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    146     32 
 20260812    12:29:34       0    344     51      -    100     87      0      0      0      0  12481   2422  30259  30258      0    142     32 
 20260812    12:29:35       0    344     51      -     99     86      0      0      0      0  12481   2422  30259  30258      0    144     32 
 20260812    12:29:36       0    409     58      -    100     35      0      0      0      0  12481   2422  30259  30258      0      7      2 
 20260812    12:29:37       0    474     58      -    100     33      0      0      0      0  12481   2422  30259  30258      0      7      3 
 20260812    12:29:38       0    460     58      -    100     37      0      0      0      0  12481   2415  30259  30258      0     16      4 
 20260812    12:29:39       0    386     55      -    100     55      0      0      0      0  12481   2400  30259  30258      0     77     13 
 20260812    12:29:40       0    368     54      -     99     55      0      0      0      0  12481   2400  30259  30258      0     78     13 
 20260812    12:29:41       0    366     53      -     99     73      0      0      0      0  12481   2400  30259  30258      0    149     32 
 20260812    12:29:42       0    340     52      -     62     54      0      0      0      0  12481   2422  30259  30258      0    142     33 
 20260812    12:29:43       0    345     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    151     32 
 20260812    12:29:44       0    345     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    143     32 
 20260812    12:29:45       0    345     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    144     34 
 20260812    12:29:46       0    345     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    145     32 
 20260812    12:29:47       0    345     52      -    100     87      0      0      0      0  12481   2422  30259  30258      0    141     35 
 20260812    12:29:48       0    377     57      -    100     35      0      0      0      0  12481   2422  30259  30258      0      8      2 
 20260812    12:29:50       0    469     58      -    100     34      0      0      0      0  12481   2422  30259  30258      0      7      4 
 20260812    12:29:51       0    460     59      -    100     34      0      0      0      0  12481   2415  30259  30258      0      8      2 
 20260812    12:29:52       0    417     55      -     99     61      0      0      0      0  12481   2407  30259  30258      0     55     23 
 20260812    12:29:53       0    369     54      -    100     62      0      0      0      0  12481   2400  30259  30258      0     55     26 
 20260812    12:29:54       0    369     54      -     99     62      0      0      0      0  12481   2400  30259  30258      0     55     31 
 20260812    12:29:55       0    362     53      -     99     59      0      0      0      0  12481   2400  30259  30258      0      0      1 
 20260812    12:29:56       0     93     46      -      0      0      0      0      0      0  12481   2422      0      0      0      0      0 
