#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260812    12:02:56       0     32     27      -      0      0      0      0      0      0    405    180      0      0      0      1     11 
 20260812    12:02:57       0     73     28      -     14      1      0      0      0      0  12481   2415   1587   1586      0   2642    300 
 20260812    12:02:58       0     88     29      -      5      0      0      0      0      0  12481   2415   4339   4338      0   1129    216 
 20260812    12:02:59       0     89     29      -      6      0      0      0      0      0  12481   2415   7059   7058      0   2640    341 
 20260812    12:03:00       0     88     29      -      6      0      0      0      0      0  12481   2407   9811   9810      0   3440    230 
 20260812    12:03:01       0     89     29      -      7      0      0      0      0      0  12481   2415  12595  12594      0   2640    230 
 20260812    12:03:02       0     88     29      -      2      0      0      0      0      0  12481   2407  14739  14738      0      0      0 
 20260812    12:03:03       0     94     29      -      0      0      0      0      0      0  12481   2415  19507  19506      0      9      2 
 20260812    12:03:05       0    526     44      -    100     37      0      0      0      0  12481   2407  19507  19506      0      4      4 
 20260812    12:03:06       0    407     40      -    100     86      0      0      0      0  12481   2400  19507  19506      0    145     84 
 20260812    12:03:07       0    471     45      -    100     36      0      0      0      0  12481   2422  19507  19506      0      4      5 
 20260812    12:03:08       0    409     42      -    100     86      0      0      0      0  12481   2400  19507  19506      0    145     32 
 20260812    12:03:09       0    461     47      -    100     38      0      0      0      0  12481   2422  19731  19730      0      3      4 
 20260812    12:03:10       0    415     43      -    100     86      0      0      0      0  12481   2400  19731  19730      0    138     32 
 20260812    12:03:11       0    456     48      -    100     38      0      0      0      0  12481   2422  20019  20018      0      4      1 
 20260812    12:03:12       0    415     44      -    100     86      0      0      0      0  12481   2407  20019  20018      0    143     33 
 20260812    12:03:13       0    447     49      -    100     35      0      0      0      0  12481   2422  20307  20306      0      4      1 
 20260812    12:03:14       0    421     44      -     99     86      0      0      0      0  12481   2415  20307  20306      0    146     32 
 20260812    12:03:15       0    422     51      -    100     37      0      0      0      0  12481   2422  20595  20594      0      7      2 
 20260812    12:03:16       0    434     45      -     99     86      0      0      0      0  12481   2415  20595  20594      0    145     32 
 20260812    12:03:17       0    405     51      -    100     37      0      0      0      0  12481   2422  20883  20882      0      4      1 
 20260812    12:03:18       0    444     47      -    100     28      0      0      0      0  12481   2415  20883  20882      0    138     33 
 20260812    12:03:19       0    396     52      -    100     37      0      0      0      0  12481   2422  21171  21170      0      4      1 
 20260812    12:03:20       0    456     51      -    100     28      0      0      0      0  12481   2407  21171  21170      0    149     32 
 20260812    12:03:21       0    370     52      -    100     33      0      0      0      0  12481   2415  25107  25106      0     14      4 
 20260812    12:03:22       0    445     53      -    100     31      0      0      0      0  12481   2407  25107  25106      0     17      4 
 20260812    12:03:23       0    364     49      -    100     59      0      0      0      0  12481   2377  25107  25106      0     67     18 
 20260812    12:03:24       0    357     49      -     99     59      0      0      0      0  12481   2377  25107  25106      0    220      5 
 20260812    12:03:25       0    448     51      -    100     31      0      0      0      0  12481   2415  25107  25106      0     14      4 
 20260812    12:03:27       0    395     49      -     99     67      0      0      0      0  12481   2370  25107  25106      0    110     26 
 20260812    12:03:28       0    336     47      -     60     52      0      0      0      0  12481   2385  25107  25106      0    141     34 
 20260812    12:03:29       0    339     47      -    100     86      0      0      0      0  12481   2422  25107  25106      0    144     34 
 20260812    12:03:30       0    339     47      -     99     86      0      0      0      0  12481   2422  25107  25106      0    143     33 
 20260812    12:03:31       0    339     47      -     99     85      0      0      0      0  12481   2422  25107  25106      0    140     35 
 20260812    12:03:32       0    339     48      -    100     86      0      0      0      0  12481   2422  25107  25106      0    144     32 
 20260812    12:03:33       0    339     48      -     99     86      0      0      0      0  12481   2422  25107  25106      0    166     34 
 20260812    12:03:34       0    362     53      -    100     32      0      0      0      0  12481   2415  27443  27442      0     14      4 
 20260812    12:03:35       0    457     55      -    100     32      0      0      0      0  12481   2415  27507  27506      0     14      4 
 20260812    12:03:36       0    456     55      -    100     31      0      0      0      0  12481   2415  27507  27506      0     14      3 
 20260812    12:03:37       0    404     51      -     99     54      0      0      0      0  12481   2392  27731  27730      0     79     13 
 20260812    12:03:38       0    361     51      -     99     54      0      0      0      0  12481   2392  27731  27730      0     79     13 
 20260812    12:03:39       0    361     51      -     99     54      0      0      0      0  12481   2392  27731  27730      0    124     27 
 20260812    12:03:40       0    357     50      -     99     73      0      0      0      0  12481   2400  27731  27730      0    101      0 
 20260812    12:03:41       0    327     49      -    100     86      0      0      0      0  12481   2422  27731  27730      0    144     34 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260812    12:03:42       0    341     49      -    100     86      0      0      0      0  12481   2422  27731  27730      0    147     32 
 20260812    12:03:43       0    341     49      -    100     86      0      0      0      0  12481   2422  27731  27730      0    137     36 
 20260812    12:03:44       0    341     49      -     99     85      0      0      0      0  12481   2422  27731  27730      0    142     33 
 20260812    12:03:45       0    341     49      -    100     86      0      0      0      0  12481   2422  27731  27730      0    143     32 
 20260812    12:03:46       0    341     49      -     99     86      0      0      0      0  12481   2422  27731  27730      0    445      7 
 20260812    12:03:48       0    456     56      -    100     32      0      0      0      0  12481   2415  29811  29810      0     15      4 
 20260812    12:03:49       0    454     56      -    100     41      0      0      0      0  12481   2415  29843  29842      0     13      6 
 20260812    12:03:50       0    435     54      -     99     33      0      0      0      0  12481   2415  30035  30034      0     97     13 
 20260812    12:03:51       0    362     53      -     99     58      0      0      0      0  12481   2392  30035  30034      0     83     15 
 20260812    12:03:52       0    362     52      -     99     59      0      0      0      0  12481   2392  30035  30034      0     80     13 
 20260812    12:03:53       0    362     52      -     99     61      0      0      0      0  12481   2392  30035  30034      0     60     16 
 20260812    12:03:54       0    342     50      -     99     86      0      0      0      0  12481   2422  30035  30034      0    144     32 
 20260812    12:03:55       0    342     50      -    100     86      0      0      0      0  12481   2422  30035  30034      0    140     33 
 20260812    12:03:56       0    342     50      -     99     86      0      0      0      0  12481   2422  30035  30034      0    144     32 
 20260812    12:03:57       0    343     50      -    100     86      0      0      0      0  12481   2422  30035  30034      0    167     32 
 20260812    12:03:58       0    342     50      -     98     85      0      0      0      0  12481   2422  30035  30034      0    145     32 
 20260812    12:03:59       0    342     50      -    100     86      0      0      0      0  12481   2422  30035  30034      0    142     32 
 20260812    12:04:00       0    410     55      -     93     48      0      0      0      0  12481   2415  32179  32178      0     15      4 
 20260812    12:04:01       0    462     57      -    100     32      0      0      0      0  12481   2415  32179  32178      0     13      3 
 20260812    12:04:02       0    445     56      -    100     43      0      0      0      0  12481   2415  32179  32178      0     16      4 
 20260812    12:04:03       0    380     53      -     99     60      0      0      0      0  12481   2392  32179  32178      0     55     19 
 20260812    12:04:04       0    367     53      -     99     60      0      0      0      0  12481   2392  32179  32178      0    114     14 
 20260812    12:04:05       0    366     53      -     99     59      0      0      0      0  12481   2392  32179  32178      0     55     22 
 20260812    12:04:06       0    367     56      -     99     58      0      0      0      0  12481   2392  32179  32178      0     15      5 
 20260812    12:04:07       0    462     58      -    100     31      0      0      0      0  12481   2415  32179  32178      0     14     60 
 20260812    12:04:08       0    383     53      -     99     69      0      0      0      0  12481   2392  32179  32178      0    124     29 
 20260812    12:04:10       0    217     46      -      8      5      0      0      0      0  12481   2422      0      0      0      0      0 
