case-0000	4580,104880,1215,1129,33280,1214,1185,6829,3796,128254,6587,1214,1187,2627,104880,97014,6829,1032,1032,1048,1032,112852,17325,1155,12493,11300,22982,14941,6348,6401,13785,66633,1032,2098,1891	4580,104880,1215,1129,33280,1214,1185,6829,3796,128254,6587,1214,1187,2627,104880,97014,6829,1032,1032,1048,1032,112852,17325,1155,12493,11300,22982,14941,6348,6401,13785,66633,1032,2098,1891
case-0001	22177,88164,1032,1049,18228,1278,4440,1321,66370,1494	22177,88164,1032,1049,18228,1278,4440,1321,66370,1494
case-0002	12562,2252,1044,2564,12929,8616,16331,6908,1376,2925,1059,1032,1050,2460,1376,16753,2149,2811,1429,9,1897,1429,1110,2811,1032,1049,1050,1051,1052,1053,1125	12562,2252,1044,2564,12929,8616,16331,6908,1376,2925,1059,1032,1050,2460,1376,16753,2149,2811,1429,9,1897,1429,1110,2811,1032,1049,1050,1051,1052,1053,1125
case-0003	6379,3105,1215,1180,6587,43556,4580,2627,14941,1287,1168,1051,1287,1168,56442,4897,13690,71240,19596,10590,77481,11300,123117	6379,3105,1215,1180,6587,43556,4580,2627,14941,1287,1168,1051,1287,1168,56442,4897,13690,71240,19596,10590,77481,11300,123117
case-0004	1689,9605,3721,1010,1052,1010,22177,88164	1689,9605,3721,1010,1052,1010,22177,88164
case-0005	1120,1376,16753,2149,2811,1429,9,1897,1429,1110,2811,1032,1049,1050,1051,1052,1053,1125,3997,1053,3997,3150,2282,1376,6230,9519,6699,29363,1058,1429,3393,2627,99641,46005,3455	1120,1376,16753,2149,2811,1429,9,1897,1429,1110,2811,1032,1049,1050,1051,1052,1053,1125,3997,1053,3997,3150,2282,1376,6230,9519,6699,29363,1058,1429,3393,2627,99641,46005,3455
case-0006	4580,2627,14941,5697,37814,1010,1054,1010,56442,4897,13690,71240,19596,10590,77481,11300,123117	4580,2627,14941,5697,37814,1010,1054,1010,56442,4897,13690,71240,19596,10590,77481,11300,123117
case-0007	32587,1299,11139,44618,11139,1608,11388,2794,84349,1287,1168,1055,1287,1168,1689,9605,3721,3997,11181,13824,17979	32587,1299,11139,44618,11139,1608,11388,2794,84349,1287,1168,1055,1287,1168,1689,9605,3721,3997,11181,13824,17979
case-0008	3150,2282,1376,6230,9519,6699,29363,1058,1429,3393,2627,99641,113300,1056,1010,9226,7739,2864,1895,49875,19602	3150,2282,1376,6230,9519,6699,29363,1058,1429,3393,2627,99641,113300,1056,1010,9226,7739,2864,1895,49875,19602
case-0009	131032,1161,5387,1154,61970,34756,51836,14941,60649,9018,1287,1168,1057,1287,1168,131032,1161,5387,1154,61970,34756,51836,14941,60649,9018	131032,1161,5387,1154,61970,34756,51836,14941,60649,9018,1287,1168,1057,1287,1168,131032,1161,5387,1154,61970,34756,51836,14941,60649,9018
