Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.5,175193748,1344,130352.5,130686.0,120926,136159,2156.7,qmatvec_nvfp4_mmvq_dual_b4_rpr2
27.5,163477622,3696,44231.0,41120.0,23424,69279,17118.5,qmatvec_nvfp4_mmvq_b4_rpr2w8
10.8,64003565,1200,53336.3,51519.0,23168,101439,17621.9,fa_decode_f32
9.6,57324339,3696,15509.8,11711.0,7680,30303,7438.8,qmatvec_nvfp4_mmvq_b4_rp
4.3,25325341,21,1205968.6,1209235.0,1116436,1222676,21149.7,qmatvec_q5_K_mmvq_b4_r2
2.8,16699744,336,49701.6,49856.0,45056,52224,1178.0,qmatvec_nvfp4_mmvq_b4_rpr2
2.5,15000271,382,39267.7,40287.5,5760,64320,19980.5,qmatvec_q4_K_mmvq
2.3,13951528,2667,5231.2,5408.0,3360,6048,427.5,add_rms_norm_q8_1
2.2,13291357,1488,8932.4,9344.0,5120,10848,985.0,gdn_scan_s128
1.2,7048732,63,111884.6,111871.0,111295,112606,250.5,qmatvec_nvfp4_mmvq_mr2_rp
1.1,6591262,128,51494.2,10432.0,7264,97695,43676.8,qmatvec_q6_K_mmvq
1.1,6582199,1218,5404.1,2176.0,1376,14400,4953.6,rms_norm_f32
0.6,3692469,2016,1831.6,1856.0,1536,1984,77.4,l2_norm_f32
0.5,3175713,1344,2362.9,2368.0,1568,2816,154.9,silu_mul_scaled_q8_1
0.4,2504991,1008,2485.1,2464.0,1920,2880,122.1,ssm_conv1d_tm_state_f32
0.4,2254281,1008,2236.4,2272.0,1760,2528,122.1,qkv_to_gdn_repack_f32
0.4,2203600,1390,1585.3,1600.0,1376,1888,52.9,append_quantize_kv_q8_0_q5_1
0.3,1893423,1008,1878.4,1888.0,1503,2208,95.1,gated_rmsnorm_q8_1
0.3,1705137,1263,1350.1,1312.0,1056,2336,197.1,fa_decode_combine_f32
0.3,1541456,1407,1095.6,1120.0,864,1248,49.3,sigmoid_f32
0.3,1517940,1008,1505.9,1504.0,1056,1792,95.6,ssm_conv_ring_update_f32
0.2,1323221,1008,1312.7,1312.0,1120,1632,63.0,gdn_glog_f32
0.2,1201428,798,1505.5,1472.0,1183,2080,140.4,quantize_q8_1
0.2,1130163,819,1379.9,1344.0,1024,1728,116.3,rope_neox_f32
0.2,896408,480,1867.5,1824.0,1376,2816,221.9,ssm_conv_ring_rebuild_f32
0.1,797881,399,1999.7,2048.0,1376,2336,175.4,q_gate_split_f32
0.1,660122,12,55010.2,55520.0,48576,57567,2159.6,qmatvec_q4_K_mmvq_b4_r2
0.1,437912,399,1097.5,1120.0,864,1312,60.5,mul_f32
0.1,399703,146,2737.7,3136.0,1472,3872,798.5,argmax_partial_f32
0.0,295803,7,42257.6,42496.0,41439,43359,763.9,qmatvec_q4_K_mmvq_b2_r2
0.0,288030,63,4571.9,4608.0,3872,4896,220.7,fa_decode_vec_q_v4_deep_dc
0.0,252703,147,1719.1,1664.0,1312,2208,196.5,add_f32
0.0,226364,146,1550.4,1376.0,1120,2112,269.4,argmax_final_f32
0.0,217984,32,6812.0,6608.0,6304,9056,522.1,fa_decode_vec_q_rows_v4
0.0,171678,126,1362.5,1296.0,1023,1728,237.0,inc_i32
0.0,133054,12,11087.8,11344.0,8991,11488,686.6,qmatvec_q4_K_mmvq_b4
0.0,128575,12,10714.6,10928.0,8928,11488,642.2,qmatvec_q6_K_mmvq_b4
0.0,128444,63,2038.8,2080.0,1664,2240,158.6,silu_mul_f32
0.0,123551,63,1961.1,1888.0,1568,2560,225.6,embed_gather_u32
0.0,106556,63,1691.4,1696.0,1504,1824,57.7,append_quantize_kv_q8_0_q5_1_dc
0.0,102848,32,3214.0,3168.0,3008,3424,163.0,fa_decode_combine_rows
0.0,89759,7,12822.7,12800.0,12640,13120,182.4,qmatvec_q6_K_mmvq_b2
0.0,80928,42,1926.9,1920.0,1696,2176,134.9,embed_gather_u32_t
0.0,72543,21,3454.4,3456.0,3136,3552,95.2,rms_norm_q8_1
0.0,71136,7,10162.3,10240.0,9792,10496,245.0,qmatvec_q4_K_mmvq_b2
