timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:31:29.871, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 44 %, 95.05 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:31:30.125, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 1 %, 96.69 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:31:30.375, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 0 %, 96.47 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:31:30.625, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1427 MiB, 4 %, 96.61 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:31:30.875, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2325 MiB, 1 %, 93.07 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:31:31.126, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2775 MiB, 9 %, 91.55 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:31.376, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3671 MiB, 1 %, 91.69 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:31.626, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4601 MiB, 9 %, 91.69 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:31.881, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5051 MiB, 9 %, 91.77 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:32.131, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5949 MiB, 9 %, 91.61 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:32.381, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6877 MiB, 9 %, 91.52 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:32.634, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 1 %, 91.50 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:32.884, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 8225 MiB, 9 %, 91.32 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:33.134, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9121 MiB, 1 %, 91.38 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:33.392, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9571 MiB, 9 %, 91.53 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:33.642, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10501 MiB, 9 %, 91.44 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:33.892, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11397 MiB, 3 %, 91.47 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:34.142, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11847 MiB, 9 %, 91.44 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:34.392, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 12777 MiB, 4 %, 91.31 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:34.642, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 13675 MiB, 7 %, 91.37 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:34.896, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14123 MiB, 8 %, 91.37 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:35.146, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15021 MiB, 1 %, 91.32 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:35.397, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15951 MiB, 9 %, 91.22 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:31:35.656, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16399 MiB, 9 %, 91.23 W, 2317 MHz, 12481 MHz, 39
