Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.8,221411771,4112,53845.3,60096.0,21696,823543,50778.5,qmatvec_q8_0_mmvq
15.2,45524980,1536,29638.7,29488.0,2752,58848,26781.5,qmatvec_q8_0_mmvq_fused2
4.2,12704218,256,49625.9,49599.0,49023,51519,311.3,qmatvec_q8_0_mmvq_fused3
1.1,3193240,1024,3118.4,3040.0,2880,3968,165.6,add_rms_norm_q8_1
1.0,2985328,1024,2915.4,2912.0,2784,3264,57.4,rms_norm_q8_1
0.8,2434222,768,3169.6,3104.0,3008,3680,132.0,gdn_scan_s128
0.5,1496592,1024,1461.5,1440.0,1248,1824,61.7,silu_mul_scaled_q8_1
0.4,1283029,1024,1253.0,1248.0,1184,1504,37.4,add_f32
0.4,1265237,768,1647.4,1632.0,1567,1920,53.7,ssm_conv1d_fused_decode_f32
0.4,1248753,256,4877.9,4832.0,4672,5311,125.5,fa_decode_vec_q_v4_deep_dc
0.4,1165465,768,1517.5,1504.0,1440,1696,37.2,gated_rmsnorm_q8_1
0.3,951505,768,1238.9,1216.0,1183,1536,44.3,gdn_prep_decode_f32
0.3,875343,528,1657.8,1376.0,1248,11072,1578.9,rms_norm_f32
0.3,862297,256,3368.3,3360.0,3296,3456,21.5,fa_decode_combine_f32
0.2,597273,512,1166.5,1152.0,992,1440,137.4,rope_neox_f32
0.1,387773,256,1514.7,1504.0,1440,1728,40.4,append_quantize_kv_q8_0_q5_1_dc
0.1,336795,256,1315.6,1312.0,1280,1408,20.8,q_gate_split_f32
0.1,313856,272,1153.9,1152.0,1120,1280,18.5,quantize_q8_1
0.1,239934,256,937.2,928.0,895,960,19.5,mul_f32
0.1,238591,256,932.0,928.0,896,1056,15.3,sigmoid_f32
0.1,220479,272,810.6,800.0,736,1056,49.3,inc_i32
0.0,45311,16,2831.9,2816.0,2591,3264,162.8,argmax_partial_f32
0.0,20063,16,1253.9,1248.0,1216,1312,33.5,embed_gather_u32
0.0,17312,16,1082.0,1088.0,1056,1088,12.9,argmax_final_f32
