Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
26931014,640,500372,,,,,,,,,,0.000,6.250,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26937318,256,500374,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26940006,256,500376,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26943942,256,500378,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26946662,256,500380,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26949350,288,500382,,,,,,,,,,0.000,13.889,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26951942,256,500384,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26954342,256,500386,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26956678,256,500388,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26959302,256,500390,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26961382,256,500392,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26963622,256,500394,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26966438,256,500396,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26969062,256,500398,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26992613,256,500400,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
26995525,256,500402,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
