timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/09 11:05:28.820, 33, 195 MHz, 3.79 W, 0 %, 2 MiB
2026/09/09 11:05:29.076, 33, 195 MHz, 3.79 W, 0 %, 508 MiB
2026/09/09 11:05:29.326, 34, 322 MHz, 13.28 W, 0 %, 740 MiB
2026/09/09 11:05:29.576, 34, 322 MHz, 13.28 W, 0 %, 510 MiB
2026/09/09 11:05:29.826, 37, 2587 MHz, 86.01 W, 0 %, 740 MiB
2026/09/09 11:05:30.077, 37, 2587 MHz, 86.01 W, 0 %, 510 MiB
2026/09/09 11:05:30.327, 37, 2827 MHz, 164.49 W, 0 %, 510 MiB
2026/09/09 11:05:30.577, 37, 2827 MHz, 164.49 W, 0 %, 510 MiB
2026/09/09 11:05:30.827, 39, 2962 MHz, 177.28 W, 0 %, 510 MiB
2026/09/09 11:05:31.077, 39, 2962 MHz, 177.28 W, 0 %, 850 MiB
