# qwen4exp_real_gate	label=dt4-ladder-thinkon	binary_sha256=2f64b2cdae19edf32c146f045262c057cb28ec3d876740320fc99be334fa8491	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# router-ab seam=devtwin k=2 pmin=0.3 adapt=Some(1): host twin vs device seam, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft	first_div_vs_host
0	devtwin_off	256	12.94	77.26	0.650	1.83	1.66	21.00	32	26	-1
0	devtwin_on	256	11.38	87.85	0.650	1.83	1.88	18.38	32	26	-1
1	devtwin_off	256	12.98	77.06	0.650	1.83	1.66	21.05	32	26	-1
1	devtwin_on	256	11.31	88.42	0.650	1.83	1.88	18.25	32	26	-1
2	devtwin_off	256	13.02	76.79	0.650	1.83	1.66	21.13	32	26	-1
2	devtwin_on	256	11.37	87.92	0.650	1.83	1.88	18.36	32	26	-1
3	devtwin_off	256	12.97	77.08	0.650	1.83	1.66	21.04	32	26	-1
3	devtwin_on	256	11.32	88.33	0.650	1.83	1.88	18.27	32	26	-1
4	devtwin_off	256	12.99	76.98	0.650	1.83	1.66	21.07	32	26	-1
4	devtwin_on	256	11.32	88.38	0.650	1.83	1.88	18.26	32	26	-1
# arm devtwin_off	reps=5	median_ms=12.977	spread_abs_ms=0.079	spread_rel=0.6122%	mean_ms=12.981	tok_per_s=77.06
# arm devtwin_on	reps=5	median_ms=11.321	spread_abs_ms=0.073	spread_rel=0.6417%	mean_ms=11.341	tok_per_s=88.33
# escalation	pair=host-vs-dev	rule=a	reps 3->5	spread_rel_host=0.6122%	spread_rel_arm=0.6387%	verdict_ms=1.602	pooled_spread_ms=0.076
# speedup_dev_over_host	1.1462	(decision medians)
# earliest_chain_divergence	-1
