Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.1,108045714,170,635563.0,821303.0,9886,1079389,341760.3,cuMemcpyDtoHAsync_v2
7.9,10438929,3050,3422.6,3270.0,2516,116472,2212.8,cuLaunchKernel
5.2,6806658,840,8103.2,7829.5,5645,21880,1757.2,cuGraphLaunch
1.5,2015898,430,4688.1,4481.5,3745,16971,1365.3,cuMemcpyDtoDAsync_v2
1.0,1274690,360,3540.8,3446.5,2587,16657,1238.8,cuLaunchKernelEx
0.7,857728,210,4084.4,3831.5,3454,15232,1052.0,cudaLaunchKernel
0.6,845213,320,2641.3,2356.0,1887,16174,1334.2,cuMemcpyHtoDAsync_v2
0.4,481038,170,2829.6,2760.0,1760,12068,833.9,cuStreamSynchronize
0.2,278238,390,713.4,611.0,429,7885,546.8,cuMemAllocAsync
0.2,215629,390,552.9,513.0,419,2005,188.5,cuMemFreeAsync
0.2,208771,40,5219.3,4062.0,3637,21318,3032.4,cuMemsetD8Async
0.1,141518,210,673.9,673.5,396,3567,323.8,cuEventRecord
0.0,34055,210,162.2,151.0,127,530,38.1,cuKernelGetName
0.0,13137,1,13137.0,13137.0,13137,13137,0.0,cuCtxSynchronize
0.0,3500,1,3500.0,3500.0,3500,3500,0.0,cuProfilerStart
0.0,491,1,491.0,491.0,491,491,0.0,cuProfilerStop
