# qwen4exp_real_gate	label=ep2A	binary_sha256=69c44eb85b82d4eefb2e08e535beffa47b791be9c5444de84fc07ea3de8fc481	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=q8_0/q5_1	idxq=q8	golden_pin=true	seams_env=idxsel,kvq,idxq
# spec-profile k=5 tokens=64 rounds=18 total_ms=2274.6 draft_ms=168.3 verify_ms=647.9 attributed_ms=2262.9
section	calls_per_round	total_ms	ms_per_round	pct_of_attributed
moe.dequant	497.4	688.2	38.233	30.4
moe.expert_gemms	497.4	327.2	18.179	14.5
moe.sel_grouped	48.0	183.3	10.181	8.1
hyper.read	101.3	179.0	9.946	7.9
gdn.proj	38.0	118.8	6.599	5.2
moe.idx_gather	497.4	106.1	5.897	4.7
lm_head	1.1	89.0	4.942	3.9
gdn.conv_scan	38.0	86.8	4.824	3.8
mtp.lm_head	5.1	77.2	4.290	3.4
moe.router	55.8	74.7	4.148	3.3
moe.shared	55.8	55.9	3.107	2.5
gdn.norm_gate_out	38.0	43.2	2.399	1.9
qsa.proj	17.8	42.5	2.362	1.9
mtp.moe	5.1	40.6	2.253	1.8
qsa.sdpa	17.8	24.8	1.378	1.1
mtp.qsa	5.1	21.6	1.199	1.0
qsa.gate_wo	17.8	17.8	0.989	0.8
ple.key_gate	1.1	15.1	0.837	0.7
hyper.write	101.3	14.5	0.805	0.6
qsa.idx_proj	17.8	11.5	0.641	0.5
moe.sel_bf16	5.1	11.2	0.624	0.5
mtp.fuse	5.1	8.6	0.477	0.4
mtp.hyper.read	10.2	8.3	0.459	0.4
mtp.exit	5.1	3.9	0.217	0.2
logits.dtoh	0.1	2.5	0.136	0.1
ple.conv_write	1.1	2.2	0.121	0.1
exit.mixer	1.1	1.8	0.102	0.1
qsa.mask_h2d	17.8	1.6	0.086	0.1
mtp.hyper.write	10.2	1.4	0.075	0.1
ple.host_ngram_gather	1.1	1.3	0.074	0.1
logits.argmax	1.0	0.9	0.052	0.0
moe.reduce	2.7	0.8	0.043	0.0
entry.embed	1.1	0.5	0.027	0.0
ple.h2d	1.1	0.2	0.013	0.0
