# qwen4exp_real_gate	label=nvfp4	binary_sha256=61772a247c425c65ac77336f6cca58c22a95817ec5f5386b310df38a0a1454c1	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# profile	steps=64	t_kv_start=54	profiled_wall_ms_per_token=21.54	attributed_ms_per_token=19.65	unprofiled_mean_ms_per_token=15.59
section	calls_per_token	total_ms	ms_per_token	pct_of_attributed
hyper.read	96.0	235.6	3.682	18.7
moe.sel_grouped	48.0	198.7	3.104	15.8
gdn.proj	36.0	181.7	2.839	14.4
gdn.norm_gate_out	36.0	90.0	1.406	7.2
moe.router	48.0	87.5	1.367	7.0
moe.shared	48.0	85.7	1.340	6.8
hyper.write	96.0	63.1	0.986	5.0
qsa.proj	12.0	59.1	0.923	4.7
gdn.conv_scan	36.0	54.7	0.854	4.3
lm_head	1.0	54.3	0.849	4.3
qsa.sdpa	12.0	51.3	0.802	4.1
qsa.gate_wo	12.0	31.4	0.491	2.5
qsa.idx_proj	12.0	22.8	0.357	1.8
ple.key_gate	1.0	14.7	0.230	1.2
ple.conv_write	1.0	8.1	0.127	0.6
logits.dtoh	1.0	6.0	0.093	0.5
qsa.mask_h2d	12.0	5.8	0.091	0.5
exit.mixer	1.0	2.1	0.033	0.2
entry.embed	1.0	1.9	0.029	0.1
qsa.idx_host	12.0	1.3	0.020	0.1
ple.host_ngram_gather	1.0	1.1	0.018	0.1
ple.h2d	1.0	0.8	0.012	0.1
