# qwen4exp_real_gate	label=nvfp4-r4-on	binary_sha256=8e9795355f7d40a9c5c29f9a1c389458f539c2414cfdf4e761b5e547200a3eee	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# tp2-gate: single-card vs TP2, same fed tokens (single-card argmax chain)
step	fed	max_abs	max_rel	ref_absmax	top1_single	top1_tp2	match
0	271	7.391e-6	7.361e-6	1.364e1	248045	248045	true
1	248045	1.311e-5	1.061e-5	1.252e1	271	271	true
2	271	8.345e-6	7.510e-6	1.545e1	248045	248045	true
3	248045	1.931e-5	1.866e-5	1.458e1	271	271	true
4	271	1.407e-5	1.407e-5	1.824e1	248045	248045	true
5	248045	1.574e-5	1.377e-5	1.765e1	248046	248046	true
6	248046	2.098e-5	1.234e-5	2.547e1	198	198	true
7	198	1.082e-5	1.082e-5	3.001e1	248045	248045	true
8	248045	1.526e-5	1.091e-5	2.374e1	846	846	true
9	846	2.122e-5	1.955e-5	2.007e1	198	198	true
10	198	1.746e-5	1.746e-5	1.546e1	248045	248045	true
11	248045	2.360e-5	1.985e-5	1.632e1	248046	248046	true
12	248046	1.431e-5	1.416e-5	3.618e1	198	198	true
13	198	1.431e-5	9.596e-6	2.935e1	248045	248045	true
14	248045	1.049e-5	9.298e-6	1.836e1	74455	74455	true
15	74455	1.621e-5	1.341e-5	2.059e1	198	198	true
16	198	1.979e-5	1.925e-5	3.218e1	248068	248068	true
17	248068	3.767e-5	3.248e-5	2.495e1	198	198	true
18	198	2.241e-5	2.074e-5	2.164e1	760	760	true
19	760	1.264e-5	1.121e-5	2.171e1	1156	1156	true
20	1156	9.000e-6	9.000e-6	2.160e1	682	682	true
21	682	1.144e-5	8.821e-6	2.279e1	3106	3106	true
22	3106	1.168e-5	1.103e-5	2.183e1	328	328	true
23	328	2.050e-5	1.907e-5	1.969e1	248045	248045	true
# verdict	steps=24	argmax_matches=24	worst_abs=3.767e-5	worst_rel=3.248e-5	policy=max_rel<=0.01+argmax	pass=true
