# qwen4exp_real_gate	label=rc-efflow	binary_sha256=abdca1508b2a37fb50af93470559320813b7a51e67349565027f86dc8a622e03	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	256	15.32	65.26	-	-
0	spec	256	16.76	59.65	0.331	2.67
# round-cost	rep=0	rounds=96	chain_ms=6.66	replay_ms=0.78	verify_ms=36.76	cross_ms=0.019	draft_prefill_ms=22.1	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
1	plain	256	15.30	65.36	-	-
1	spec	256	16.40	60.98	0.331	2.67
# round-cost	rep=1	rounds=96	chain_ms=6.66	replay_ms=0.78	verify_ms=35.80	cross_ms=0.020	draft_prefill_ms=20.2	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
2	plain	256	15.28	65.43	-	-
2	spec	256	16.24	61.59	0.331	2.67
# round-cost	rep=2	rounds=96	chain_ms=6.65	replay_ms=0.78	verify_ms=35.38	cross_ms=0.020	draft_prefill_ms=20.0	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
3	plain	256	15.16	65.98	-	-
3	spec	256	16.02	62.43	0.331	2.67
# round-cost	rep=3	rounds=96	chain_ms=6.65	replay_ms=0.78	verify_ms=34.80	cross_ms=0.020	draft_prefill_ms=20.2	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
4	plain	256	15.06	66.41	-	-
4	spec	256	16.00	62.49	0.331	2.67
# round-cost	rep=4	rounds=96	chain_ms=6.65	replay_ms=0.78	verify_ms=34.76	cross_ms=0.020	draft_prefill_ms=20.3	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=15.22	min=15.06	max=15.32	tok_per_s=65.68
# arm spec	mean_of_means_ms=16.28	min=16.00	max=16.76	tok_per_s=61.41
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	175,95,80,50,10,70
# rep0_plain	760,1156,6587,728,310,25,198,16,13,6943,264,4667,5792,5829,2764,709,310,3203,14,11093,198,17,13,78503,1412,50921,6681,198,18,13,79091,1092,4203,364,79077,271,3850,3655,1892,781,3105,914,3404,3300,264,3050,709,310,5335,13,353,1144,310,3608,264,17697,3010,421,30098,279,1328,12261,25,1412,35718,25827,11,5081,4667,12351,11,321,279,80899,314,45328,50921,13,271,9764,728,1683,883,1092,3520,264,1603,3010,25,198,12,357,709,421,1503,2414,3203,318,4650,5122,264,999,11,3154,264,1622,11,466,78304,264,5767,8,198,12,11114,1412,35718,4667,5215,25,1510,13105,3831,11,1067,44646,198,12,10380,682,1010,6607,4886,5621,23620,271,40,3172,1791,264,24679,3010,1892,2414,1040,264,709,421,15339,264,999,11,68434,424,11,321,4523,795,13,4844,353,3172,1420,279,13996,321,10033,279,19260,4203,13,271,1536,2433,310,20480,25,198,12,4451,35718,50921,318,7407,14555,5972,13,5642,310,4667,8,198,12,561,2029,421,25827,513,2512,6681,2957,198,12,561,2029,421,5787,513,348,1856,9,14555,694,5642,430,1118,5515,198,12,561,2029,421,279,709,2496,3659,13716,6799,318,269,1503,424,30,1892,1144,310,3579,421,8,271,2381,279,19260,4203,25,198,12,2233,777,4667,5515,198,12,15011,958,1510
# rep0_spec	760,1156,6587,728,310,25,198,16,13,6943,264,4667,5792,5829,2764,709,310,3203,14,11093,198,17,13,78503,1412,50921,6681,198,18,13,79091,1092,4203,364,79077,271,3850,3655,1892,781,3105,914,3404,3300,264,3050,709,310,5335,13,353,1144,310,3608,264,17697,3010,421,30098,279,1328,12261,25,1412,35718,25827,11,5081,4667,12351,11,321,279,80899,314,45328,50921,13,271,9764,728,1683,883,1092,3520,264,1603,3010,25,198,12,357,709,421,1503,2414,3203,318,4650,5122,264,999,11,3154,264,1622,11,466,78304,264,5767,8,198,12,11114,1412,35718,4667,5215,25,1510,13105,3831,11,1067,44646,198,12,10380,682,1010,6607,4886,5621,23620,271,40,3172,1791,264,24679,3010,1892,2414,1040,264,709,421,15339,264,999,11,68434,424,11,321,4523,795,13,4844,353,3172,1420,279,13996,321,10033,279,19260,4203,13,271,1536,2433,310,20480,25,198,12,4451,35718,50921,318,7407,14555,5972,13,5642,310,4667,8,198,12,561,2029,421,25827,513,2512,6681,2957,198,12,561,2029,421,5787,513,348,1856,9,14555,694,5642,430,1118,5515,198,12,561,2029,421,279,709,2496,3659,13716,6799,318,269,1503,424,30,1892,1144,310,3579,421,8,271,2381,279,19260,4203,25,198,12,2233,777,4667,5515,198,12,15011,958,1510
