# qwen4exp_real_gate	label=ship-thinkoff	binary_sha256=6307988375a174e78f463d2d3b2964b4ee9173bfe2e956813c304ba902c82790	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	256	15.30	65.34	-	-
0	spec	256	10.11	98.87	0.788	3.56
# round-cost	rep=0	rounds=72	chain_ms=4.33	replay_ms=0.95	verify_ms=30.30	cross_ms=0.021	draft_prefill_ms=17.6	zero_draft=3	guard_stops=4	plain_steps=0	k_decays=[]
1	plain	256	15.30	65.38	-	-
1	spec	256	9.84	101.58	0.788	3.56
# round-cost	rep=1	rounds=72	chain_ms=4.32	replay_ms=0.95	verify_ms=29.40	cross_ms=0.022	draft_prefill_ms=15.5	zero_draft=3	guard_stops=4	plain_steps=0	k_decays=[]
2	plain	256	15.29	65.41	-	-
2	spec	256	9.79	102.16	0.788	3.56
# round-cost	rep=2	rounds=72	chain_ms=4.32	replay_ms=0.94	verify_ms=29.20	cross_ms=0.021	draft_prefill_ms=15.5	zero_draft=3	guard_stops=4	plain_steps=0	k_decays=[]
3	plain	256	15.33	65.23	-	-
3	spec	256	9.71	102.99	0.788	3.56
# round-cost	rep=3	rounds=72	chain_ms=4.32	replay_ms=0.94	verify_ms=28.93	cross_ms=0.021	draft_prefill_ms=15.5	zero_draft=3	guard_stops=4	plain_steps=0	k_decays=[]
4	plain	256	15.37	65.06	-	-
4	spec	256	9.61	104.01	0.788	3.56
# round-cost	rep=4	rounds=72	chain_ms=4.32	replay_ms=0.94	verify_ms=28.59	cross_ms=0.021	draft_prefill_ms=15.5	zero_draft=3	guard_stops=4	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=15.32	min=15.29	max=15.37	tok_per_s=65.28
# arm spec	mean_of_means_ms=9.81	min=9.61	max=10.11	tok_per_s=101.89
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	45,60,70,65,65,55
# rep0_plain	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010,321,10033,279,4437,5215,13,271,13962,12851,318,7259,5792,8,271,71093,13670,198,989,8355,283,1325,482,3720,4515,271,1628,59649,2939,14048,28638,11,4667,8,313,198,220,8355,52745,28638,11,359,4609,23,504,318,600,11,795,8,574,313,198,262,413,318,600,8,313,198,406,4667,3831,1174,198,406,460,26,198,262,333,198,262,1380,313,198,406,713,15215,283,4566,4482,2507,1174,198,406,4667,4806,11,15215,1174,198,262,333,2213,318,6199,7501,8,313,198,406,4667,26862,7501,1174,198,262,333,198,220,17574,198,92,198,71093,271,13962,4486,318,7449,14,11093,8,271,71093,13670,198,989,8355,283,1325,482,3720,1760,23693,4750,26,271,7449,709,59649,2939,14048,28638,8,313,198,220,713,795,283,2454,8355,52745,28638,11,359,4609,23,4515,198,220,460,4566,4482,2507,1174,198,92,198,71093,271,550,5141,27227,594,3975,2683,4451,13840,35035,271,91,77295,735,21964,5889,735,20776,10052,11158,5889,735,198,91,4277,91,4277,91,4277,91,198,91,2972,1401,51842,332,735,1510,13105,3831,44646,735,1510,6897,63,318,29925,4417,17030,10896,8,735,198
# rep0_spec	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010,321,10033,279,4437,5215,13,271,13962,12851,318,7259,5792,8,271,71093,13670,198,989,8355,283,1325,482,3720,4515,271,1628,59649,2939,14048,28638,11,4667,8,313,198,220,8355,52745,28638,11,359,4609,23,504,318,600,11,795,8,574,313,198,262,413,318,600,8,313,198,406,4667,3831,1174,198,406,460,26,198,262,333,198,262,1380,313,198,406,713,15215,283,4566,4482,2507,1174,198,406,4667,4806,11,15215,1174,198,262,333,2213,318,6199,7501,8,313,198,406,4667,26862,7501,1174,198,262,333,198,220,17574,198,92,198,71093,271,13962,4486,318,7449,14,11093,8,271,71093,13670,198,989,8355,283,1325,482,3720,1760,23693,4750,26,271,7449,709,59649,2939,14048,28638,8,313,198,220,713,795,283,2454,8355,52745,28638,11,359,4609,23,4515,198,220,460,4566,4482,2507,1174,198,92,198,71093,271,550,5141,27227,594,3975,2683,4451,13840,35035,271,91,77295,735,21964,5889,735,20776,10052,11158,5889,735,198,91,4277,91,4277,91,4277,91,198,91,2972,1401,51842,332,735,1510,13105,3831,44646,735,1510,6897,63,318,29925,4417,17030,10896,8,735,198
