# qwen4exp_real_gate	label=m11-ladder-raw	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=4 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	8.60	116.24	0.871	4.00	4.60	28.67	1	1
0	defer	256	8.57	116.64	0.871	4.00	4.62	28.57	1	1
0	defer-gsync	256	8.60	116.24	0.871	4.00	4.59	28.71	1	1
1	host	256	8.62	115.96	0.871	4.00	4.62	28.76	1	1
1	defer	256	8.57	116.69	0.871	4.00	4.61	28.56	1	1
1	defer-gsync	256	8.57	116.62	0.871	4.00	4.59	28.60	1	1
2	host	256	8.65	115.64	0.871	4.00	4.62	28.86	1	1
2	defer	256	8.56	116.86	0.871	4.00	4.62	28.51	1	1
2	defer-gsync	256	8.59	116.47	0.871	4.00	4.59	28.64	1	1
3	host	256	8.65	115.57	0.871	4.00	4.62	28.87	1	1
3	defer	256	8.61	116.20	0.871	4.00	4.61	28.70	1	1
3	defer-gsync	256	8.63	115.86	0.871	4.00	4.63	28.79	1	1
4	host	256	8.59	116.45	0.871	4.00	4.62	28.62	1	1
4	defer	256	8.59	116.46	0.871	4.00	4.62	28.61	1	1
4	defer-gsync	256	8.59	116.45	0.871	4.00	4.59	28.64	1	1
# arm host	reps=5	median_ms=8.623	spread_abs_ms=0.065	spread_rel=0.7594%	mean_ms=8.623	tok_per_s=115.96
# arm defer	reps=5	median_ms=8.574	spread_abs_ms=0.049	spread_rel=0.5697%	mean_ms=8.579	tok_per_s=116.64
# arm defer-gsync	reps=5	median_ms=8.587	spread_abs_ms=0.056	spread_rel=0.6538%	mean_ms=8.596	tok_per_s=116.45
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=0.5261%	spread_rel_arm=0.1940%	verdict_ms=0.054	pooled_spread_ms=0.031
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=0.5261%	spread_rel_arm=0.3303%	verdict_ms=0.038	pooled_spread_ms=0.037
# speedup_defer_over_host	1.0058	(decision medians)
# identity	PASS
