# qwen4exp_real_gate	label=m11-defer-long	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: true, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-gate k=5 tokens=256: plain greedy vs spec chains, byte identity
prompt	first_divergence	accept_rate	mean_accept_len	hist	spec_ms_per_token	plain_ms_per_token	pass
76	-1	0.586	1.83	50,68,19,2,1,0	16.13	19.90	true
# round-cost	prompt=76	rounds=140	chain_ms=2.48	replay_ms=1.04	verify_ms=25.16	cross_ms=0.022	zero_draft=12	guard_stops=38
60	-1	0.604	2.06	41,48,27,5,1,2	15.09	19.61	true
# round-cost	prompt=60	rounds=124	chain_ms=2.86	replay_ms=1.07	verify_ms=26.38	cross_ms=0.023	zero_draft=13	guard_stops=22
53	-1	0.747	3.20	12,21,15,11,9,12	11.96	19.44	true
# round-cost	prompt=53	rounds=80	chain_ms=4.74	replay_ms=1.22	verify_ms=31.11	cross_ms=0.026	zero_draft=1	guard_stops=2
54	-1	0.705	3.01	14,22,20,13,9,7	12.21	18.99	true
# round-cost	prompt=54	rounds=85	chain_ms=4.35	replay_ms=1.16	verify_ms=30.21	cross_ms=0.025	zero_draft=3	guard_stops=3
34	-1	0.848	4.27	4,11,8,4,8,25	9.87	18.37	true
# round-cost	prompt=34	rounds=60	chain_ms=5.84	replay_ms=1.30	verify_ms=33.74	cross_ms=0.027	zero_draft=0	guard_stops=0
35	-1	0.753	3.41	9,15,18,12,9,12	11.13	18.28	true
# round-cost	prompt=35	rounds=75	chain_ms=4.83	replay_ms=1.16	verify_ms=31.01	cross_ms=0.026	zero_draft=0	guard_stops=1
# verdict	policy=byte-identity	pass=true
