# qwen4exp_real_gate	label=m11-DIAG-trace	binary_sha256=d744e1ca6b4ebfdaa97fe4709eea3a5f4cfe49b853e2de5265601f8765310a7d	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-trace k=5 tokens=256: per-round records; carrier_rel_l2[j] = draft seed for chunk row j vs the trunk's TRUE wide row (chain step j+1's input)
prompt	round	gen_pos	base	k_round	a	drafts	targets	d_top1	d_top2	d_tgt_logit	d_tgt_rank	t_top1	t_top2	t_draft_logit	t_entropy	carrier_rel_l2	carrier_cos
0	0	1	11	0	0		248068	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
0	1	2	12	1	1	271	271,248069	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
0	2	4	14	2	2	271,71093	271,71093,12305	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	2.7520	0.21041
0	3	7	17	3	1	198,727,10562	198,1005,10562,22517	35.074	27.538	26.877	2	23.795	19.836	17.348	0.1984	1.1128,1.3283	0.24588,0.35124
0	4	9	19	2	2	19876,25	19876,25,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4430	0.49508
0	5	12	22	3	3	262,687,1259	262,687,1259,2251	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0097,1.1450	0.25623,0.30963
0	6	16	26	4	4	3676,701,11,1009	3676,701,11,1009,28	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.7358,1.3931,1.6590	0.16908,0.21297,0.14827
0	7	21	31	5	5	15,11,1727,5675,1590	15,11,1727,5675,1590,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3560,1.6045,1.2049,2.0124	0.46043,0.30589,0.29110,0.26701
0	8	27	37	5	5	285,638,10518,283,1009	285,638,10518,283,1009,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1703,1.5514,1.8831,1.4914	0.14509,0.19404,0.26416,0.16505
0	9	33	43	5	5	285,638,4381,283,1727	285,638,4381,283,1727,1358	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0561,1.3532,1.4652,1.4335	0.30229,0.29109,0.38056,0.19893
0	10	39	49	5	2	727,10562,39914,36053,7080	727,10562,22517,36053,7080,16	25.651	22.268	22.268	1	26.243	22.987	22.987	0.2381	1.2945,2.1291,1.7522,1.4354	0.34882,0.38220,0.38269,0.38401
0	11	42	52	3	3	39914,36053,7080	39914,36053,7080,16	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3226,1.5321	0.55548,0.49727
0	12	46	56	4	4	25,19876,11,1103	25,19876,11,1103,17	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0594,1.2179,1.3227	0.43228,0.31552,0.25558
0	13	51	61	5	5	25,19876,8,1411,19876	25,19876,8,1411,19876,25	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.3478,1.6839,1.3445,1.6182	0.23571,0.29133,0.19269,0.19219
0	14	57	67	5	5	198,262,4071,198,262	198,262,4071,198,262,38754	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0321,1.2260,1.3091,1.7074	0.19582,0.22028,0.35824,0.23225
