# qwen4exp_real_gate	label=shape-thinkoff	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	256	15.13	66.11	-	-
0	spec	256	10.19	98.16	0.671	4.34
1	plain	256	15.10	66.23	-	-
1	spec	256	10.00	100.03	0.671	4.34
2	plain	256	15.12	66.12	-	-
2	spec	256	9.86	101.46	0.671	4.34
3	plain	256	15.13	66.11	-	-
3	spec	256	9.81	101.97	0.671	4.34
4	plain	256	14.96	66.86	-	-
4	spec	256	9.84	101.63	0.671	4.34
# arm plain	mean_of_means_ms=15.09	min=14.96	max=15.13	tok_per_s=66.29
# arm spec	mean_of_means_ms=9.94	min=9.81	max=10.19	tok_per_s=100.63
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	45,20,30,30,30,140
# rep0_plain	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010,321,10033,279,4437,5215,13,271,13962,12851,318,7259,5792,8,271,71093,13670,198,989,8355,283,1325,482,3720,4515,271,1628,59649,2939,14048,28638,11,4667,8,313,198,220,8355,52745,28638,11,359,4609,23,504,318,600,11,795,8,574,313,198,262,413,318,600,8,313,198,406,4667,3831,1174,198,406,460,26,198,262,333,198,262,1380,313,198,406,713,15215,283,4566,4482,2507,1174,198,406,4667,4806,11,15215,1174,198,262,333,2213,318,6199,7501,8,313,198,406,4667,26862,7501,1174,198,262,333,198,220,17574,198,92,198,71093,271,13962,4486,318,7449,14,11093,8,271,71093,13670,198,989,8355,283,1325,482,3720,1760,23693,4750,26,271,7449,709,59649,2939,14048,28638,8,313,198,220,713,795,283,2454,8355,52745,28638,11,359,4609,23,4515,198,220,460,4566,4482,2507,1174,198,92,198,71093,271,550,5141,27227,594,3975,2683,4451,13840,35035,271,91,77295,735,21964,5889,735,20776,10052,11158,5889,735,198,91,4277,91,4277,91,4277,91,198,91,2972,1401,51842,332,735,1510,13105,3831,44646,735,1510,6897,63,318,29925,4417,17030,10896,8,735,198
# rep0_spec	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010,321,10033,279,4437,5215,13,271,13962,12851,318,7259,5792,8,271,71093,13670,198,989,8355,283,1325,482,3720,4515,271,1628,59649,2939,14048,28638,11,4667,8,313,198,220,8355,52745,28638,11,359,4609,23,504,318,600,11,795,8,574,313,198,262,413,318,600,8,313,198,406,4667,3831,1174,198,406,460,26,198,262,333,198,262,1380,313,198,406,713,15215,283,4566,4482,2507,1174,198,406,4667,4806,11,15215,1174,198,262,333,2213,318,6199,7501,8,313,198,406,4667,26862,7501,1174,198,262,333,198,220,17574,198,92,198,71093,271,13962,4486,318,7449,14,11093,8,271,71093,13670,198,989,8355,283,1325,482,3720,1760,23693,4750,26,271,7449,709,59649,2939,14048,28638,8,313,198,220,713,795,283,2454,8355,52745,28638,11,359,4609,23,4515,198,220,460,4566,4482,2507,1174,198,92,198,71093,271,550,5141,27227,594,3975,2683,4451,13840,35035,271,91,77295,735,21964,5889,735,20776,10052,11158,5889,735,198,91,4277,91,4277,91,4277,91,198,91,2972,1401,51842,332,735,1510,13105,3831,44646,735,1510,6897,63,318,29925,4417,17030,10896,8,735,198
