HEAD 9e786bf3c04f0e02443df2e6a69feba0b7f99033
99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37  target/release/qwen4exp_real_gate
/home/ubuntu/realgate/mtp9-owngen-loop.sh: line 17: /home/ubuntu/realgate/mtp9/corpus-ids.tsv: No such file or directory
=== pass 1 (ledger rows before: 0) ===
# qwen4exp_real_gate	label=owngen-p1	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# vram	post-engine	0, 595 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# load	156.1s
# vram	post-load	0, 95283 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 36 (agentic_tools) done — 25s elapsed, generated=1, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 50 (longctx) done — 50s elapsed, generated=2, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 101 (sxc_codex) done — 77s elapsed, generated=3, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 52 (longctx) done — 102s elapsed, generated=4, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 62 (sxc_eigen) done — 123s elapsed, generated=5, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 51 (longctx) done — 148s elapsed, generated=6, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 91 (sxc_hermes) done — 172s elapsed, generated=7, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 95 (sxc_hermes) done — 193s elapsed, generated=8, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 57 (sxc_codex) done — 217s elapsed, generated=9, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 23 (logs) done — 242s elapsed, generated=10, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 17 (json) done — 256s elapsed, generated=11, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 25 (logs) done — 276s elapsed, generated=12, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 7 (refactor) done — 299s elapsed, generated=13, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 67 (sxc_hermes) done — 322s elapsed, generated=14, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 19 (json) done — 348s elapsed, generated=15, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 18 (json) done — 369s elapsed, generated=16, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 3 (code) done — 391s elapsed, generated=17, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 9 (reasoning) done — 408s elapsed, generated=18, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 5 (code) done — 431s elapsed, generated=19, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 10 (reasoning) done — 448s elapsed, generated=20, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 31 (agentic_plan) done — 471s elapsed, generated=21, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 8 (refactor) done — 494s elapsed, generated=22, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 11 (reasoning) done — 511s elapsed, generated=23, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 1 (code) done — 528s elapsed, generated=24, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 44 (effort_low) done — 544s elapsed, generated=25, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 6 (refactor) done — 566s elapsed, generated=26, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 56 (sxc_claude) done — 582s elapsed, generated=27, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 24 (logs) done — 605s elapsed, generated=28, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 59 (sxc_hermes) done — 631s elapsed, generated=29, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen prompt 33 (agentic_plan) done — 657s elapsed, generated=30, vram 0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# owngen limit 30 reached — rerun the same command to continue
# owngen: SKIPPED 6 prompts over --owngen-max-prompt 400 — a named coverage gap: [(76, 724), (60, 691), (53, 675), (54, 602), (34, 512), (35, 502)]
# qwen4exp_real_gate	label=owngen-p1	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# owngen: own-generated rank corpus, k=5, FULL-VOCAB draft head, greedy=256 sampled=384x2 eos=[248046, 248044]
# provenance: prompts are REAL-SHAPED (goldens continuations + chat-template renders composed on the box); the counted distribution is this artifact's OWN emitted tokens
prompt	class	arm	seed	prompt_tokens	gen_tokens	counted	hit_eos	accept_rate	mean_accept_len	ms_per_token
# state_capacity=PER-GENERATION (prompt+tokens+k+4; uniform max-over-pack was measured WORSE — one generation at the pack maximum does not fit the ~2.6 GiB headroom)	max_cap=1117	resumed_rows=0	limit=30
36	agentic_tools	greedy	-	317	256	60	true	0.432	3.16	15.12
36	agentic_tools	sampled	0x5eed0000	317	384	59	true	0.363	2.82	18.07
36	agentic_tools	sampled	0x5eed0001	317	384	59	true	0.363	2.82	17.88
# vram	after_prompt=36	generated_this_run=1	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
50	longctx	greedy	-	256	256	256	false	0.412	3.01	15.01
50	longctx	sampled	0x5eed0000	256	384	384	false	0.291	2.46	19.90
50	longctx	sampled	0x5eed0001	256	384	384	false	0.291	2.46	19.89
# vram	after_prompt=50	generated_this_run=2	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
101	sxc_codex	greedy	-	232	256	108	true	0.378	2.88	15.58
101	sxc_codex	sampled	0x5eed0000	232	384	197	true	0.230	2.16	22.58
101	sxc_codex	sampled	0x5eed0001	232	384	197	true	0.230	2.16	22.55
# vram	after_prompt=101	generated_this_run=3	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
52	longctx	greedy	-	212	256	256	false	0.476	3.37	13.32
52	longctx	sampled	0x5eed0000	212	384	384	false	0.256	2.29	21.42
52	longctx	sampled	0x5eed0001	212	384	384	false	0.256	2.29	21.35
# vram	after_prompt=52	generated_this_run=4	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
62	sxc_eigen	greedy	-	207	256	256	false	0.556	3.76	11.96
62	sxc_eigen	sampled	0x5eed0000	207	384	384	false	0.394	2.98	16.43
62	sxc_eigen	sampled	0x5eed0001	207	384	384	false	0.394	2.98	16.37
# vram	after_prompt=62	generated_this_run=5	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
51	longctx	greedy	-	183	256	256	false	0.395	2.98	14.91
51	longctx	sampled	0x5eed0000	183	384	384	false	0.244	2.22	21.75
51	longctx	sampled	0x5eed0001	183	384	384	false	0.244	2.22	21.61
# vram	after_prompt=51	generated_this_run=6	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
91	sxc_hermes	greedy	-	171	256	256	false	0.570	3.82	11.61
91	sxc_hermes	sampled	0x5eed0000	171	384	384	false	0.257	2.27	21.04
91	sxc_hermes	sampled	0x5eed0001	171	384	384	false	0.257	2.27	21.03
# vram	after_prompt=91	generated_this_run=7	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
95	sxc_hermes	greedy	-	156	256	256	false	0.553	3.76	11.80
95	sxc_hermes	sampled	0x5eed0000	156	384	384	false	0.332	2.67	18.13
95	sxc_hermes	sampled	0x5eed0001	156	384	384	false	0.332	2.67	18.08
# vram	after_prompt=95	generated_this_run=8	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
57	sxc_codex	greedy	-	153	256	256	false	0.499	3.51	12.58
57	sxc_codex	sampled	0x5eed0000	153	384	384	false	0.249	2.22	21.59
57	sxc_codex	sampled	0x5eed0001	153	384	384	false	0.249	2.22	21.69
# vram	after_prompt=57	generated_this_run=9	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
23	logs	greedy	-	130	256	256	false	0.508	3.56	12.38
23	logs	sampled	0x5eed0000	130	384	384	false	0.226	2.13	22.39
23	logs	sampled	0x5eed0001	130	384	384	false	0.226	2.13	22.39
# vram	after_prompt=23	generated_this_run=10	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
17	json	greedy	-	128	256	256	false	0.718	4.57	9.61
17	json	sampled	0x5eed0000	128	384	257	true	0.693	4.47	10.78
17	json	sampled	0x5eed0001	128	384	257	true	0.693	4.47	10.72
# vram	after_prompt=17	generated_this_run=11	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
25	logs	greedy	-	126	256	256	false	0.500	3.46	12.68
25	logs	sampled	0x5eed0000	126	384	360	true	0.372	2.87	16.54
25	logs	sampled	0x5eed0001	126	384	360	true	0.372	2.87	16.56
# vram	after_prompt=25	generated_this_run=12	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
7	refactor	greedy	-	124	256	256	false	0.351	2.75	15.87
7	refactor	sampled	0x5eed0000	124	384	384	false	0.295	2.48	19.29
7	refactor	sampled	0x5eed0001	124	384	384	false	0.295	2.48	19.27
# vram	after_prompt=7	generated_this_run=13	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
67	sxc_hermes	greedy	-	124	256	256	false	0.400	2.98	14.64
67	sxc_hermes	sampled	0x5eed0000	124	384	384	false	0.274	2.37	19.99
67	sxc_hermes	sampled	0x5eed0001	124	384	384	false	0.274	2.37	19.95
# vram	after_prompt=67	generated_this_run=14	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
19	json	greedy	-	121	256	95	true	0.171	1.86	23.34
19	json	sampled	0x5eed0000	121	384	97	true	0.254	2.27	21.03
19	json	sampled	0x5eed0001	121	384	97	true	0.254	2.27	21.09
# vram	after_prompt=19	generated_this_run=15	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
18	json	greedy	-	117	256	256	false	0.471	3.37	12.97
18	json	sampled	0x5eed0000	117	384	384	false	0.304	2.53	18.78
18	json	sampled	0x5eed0001	117	384	384	false	0.304	2.53	18.79
# vram	after_prompt=18	generated_this_run=16	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
3	code	greedy	-	115	256	256	false	0.409	3.01	14.49
3	code	sampled	0x5eed0000	115	384	384	false	0.286	2.43	19.47
3	code	sampled	0x5eed0001	115	384	384	false	0.286	2.43	19.46
# vram	after_prompt=3	generated_this_run=17	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
9	reasoning	greedy	-	110	256	256	false	0.619	4.06	10.72
9	reasoning	sampled	0x5eed0000	110	384	384	false	0.546	3.69	12.86
9	reasoning	sampled	0x5eed0001	110	384	384	false	0.546	3.69	12.88
# vram	after_prompt=9	generated_this_run=18	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
5	code	greedy	-	108	256	256	false	0.479	3.37	12.99
5	code	sampled	0x5eed0000	108	384	384	false	0.235	2.18	21.68
5	code	sampled	0x5eed0001	108	384	384	false	0.235	2.18	21.78
# vram	after_prompt=5	generated_this_run=19	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
10	reasoning	greedy	-	107	256	256	false	0.649	4.20	10.39
10	reasoning	sampled	0x5eed0000	107	384	384	false	0.462	3.31	14.33
10	reasoning	sampled	0x5eed0001	107	384	384	false	0.462	3.31	14.31
# vram	after_prompt=10	generated_this_run=20	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
31	agentic_plan	greedy	-	106	256	256	false	0.497	3.46	12.60
31	agentic_plan	sampled	0x5eed0000	106	384	384	false	0.259	2.30	20.66
31	agentic_plan	sampled	0x5eed0001	106	384	384	false	0.259	2.30	20.68
# vram	after_prompt=31	generated_this_run=21	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
8	refactor	greedy	-	105	256	256	false	0.407	3.05	14.23
8	refactor	sampled	0x5eed0000	105	384	384	false	0.233	2.17	21.77
8	refactor	sampled	0x5eed0001	105	384	384	false	0.233	2.17	21.63
# vram	after_prompt=8	generated_this_run=22	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
11	reasoning	greedy	-	104	256	256	false	0.667	4.27	10.17
11	reasoning	sampled	0x5eed0000	104	384	384	false	0.523	3.59	13.13
11	reasoning	sampled	0x5eed0001	104	384	384	false	0.523	3.59	13.22
# vram	after_prompt=11	generated_this_run=23	0, 96851 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
1	code	greedy	-	103	256	256	false	0.573	3.88	11.14
1	code	sampled	0x5eed0000	103	384	384	false	0.424	3.12	14.98
1	code	sampled	0x5eed0001	103	384	384	false	0.424	3.12	15.01
