#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    03:11:23       0     34     31      -      0      0      0      0      0      0    405    180      0      0      0 
 20260812    03:11:23       1     32     31      -      0      0      0      0      0      0    405    180      0      0      0 
 20260812    03:11:24       0     57     33      -      0      0      0      0      0      0  12481   2325    595    594      0 
 20260812    03:11:24       1     54     33      -      3      0      0      0      0      0  12481   2370   1043   1042      0 
 20260812    03:11:25       0     88     33      -      6      0      0      0      0      0  12481   2317   3251   3250      0 
 20260812    03:11:25       1     91     33      -      1      0      0      0      0      0  12481   2370   3799   3798      0 
 20260812    03:11:26       0     88     33      -      4      0      0      0      0      0  12481   2325   5811   5810      0 
 20260812    03:11:26       1     91     33      -      8      0      0      0      0      0  12481   2370   6557   6556      0 
 20260812    03:11:27       0     88     33      -      4      0      0      0      0      0  12481   2317   8243   8242      0 
 20260812    03:11:27       1     91     33      -      8      0      0      0      0      0  12481   2370   9345   9344      0 
 20260812    03:11:28       0     88     33      -      4      0      0      0      0      0  12481   2317  10707  10706      0 
 20260812    03:11:28       1     91     34      -      8      0      0      0      0      0  12481   2370  12455  12454      0 
 20260812    03:11:29       0     89     34      -      5      0      0      0      0      0  12481   2317  13107  13106      0 
 20260812    03:11:29       1     91     34      -     10      0      0      0      0      0  12481   2370  15307  15306      0 
 20260812    03:11:30       0     89     34      -      0      0      0      0      0      0  12481   2317  14739  14738      0 
 20260812    03:11:30       1     91     34      -      0      0      0      0      0      0  12481   2370  17455  17454      0 
 20260812    03:11:31       0    342     47      -    100     37      0      0      0      0  12481   2422  19507  19506      0 
 20260812    03:11:31       1    306     39      -     98     41      0      0      0      0  12481   2317  19727  19726      0 
 20260812    03:11:32       0    433     44      -    100     85      0      0      0      0  12481   2407  19507  19506      0 
 20260812    03:11:32       1    366     41      -     97     41      0      0      0      0  12481   2347  19727  19726      0 
 20260812    03:11:33       0    424     49      -    100     32      0      0      0      0  12481   2415  19507  19506      0 
 20260812    03:11:33       1    359     41      -     98     42      0      0      0      0  12481   2332  19919  19918      0 
 20260812    03:11:34       0    438     49      -    100     28      0      0      0      0  12481   2407  19507  19506      0 
