timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/26 05:16:26.762, 44, 17.66 W, 180 MHz, 405 MHz, 2 MiB, 0 %
2026/09/26 05:16:27.016, 44, 15.80 W, 180 MHz, 405 MHz, 28 MiB, 0 %
2026/09/26 05:16:27.266, 44, 15.80 W, 180 MHz, 405 MHz, 1460 MiB, 0 %
2026/09/26 05:16:27.516, 45, 31.51 W, 2617 MHz, 13365 MHz, 2452 MiB, 15 %
2026/09/26 05:16:27.766, 45, 31.51 W, 2617 MHz, 13365 MHz, 3540 MiB, 15 %
2026/09/26 05:16:28.016, 45, 61.92 W, 2625 MHz, 13365 MHz, 4628 MiB, 15 %
2026/09/26 05:16:28.266, 45, 61.92 W, 2625 MHz, 13365 MHz, 5748 MiB, 15 %
2026/09/26 05:16:28.516, 45, 81.40 W, 2625 MHz, 13365 MHz, 6836 MiB, 13 %
2026/09/26 05:16:28.766, 45, 81.40 W, 2625 MHz, 13365 MHz, 7924 MiB, 13 %
2026/09/26 05:16:29.017, 44, 81.46 W, 2625 MHz, 13365 MHz, 9044 MiB, 14 %
2026/09/26 05:16:29.267, 44, 81.46 W, 2625 MHz, 13365 MHz, 10132 MiB, 14 %
2026/09/26 05:16:29.517, 44, 81.65 W, 2625 MHz, 13365 MHz, 11188 MiB, 16 %
2026/09/26 05:16:29.767, 44, 81.65 W, 2625 MHz, 13365 MHz, 12340 MiB, 16 %
2026/09/26 05:16:30.017, 44, 81.57 W, 2625 MHz, 13365 MHz, 13460 MiB, 13 %
2026/09/26 05:16:30.267, 44, 81.57 W, 2625 MHz, 13365 MHz, 14516 MiB, 13 %
2026/09/26 05:16:30.517, 44, 81.26 W, 2625 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:30.767, 44, 81.26 W, 2625 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:31.017, 44, 79.73 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:31.267, 44, 79.73 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:31.517, 44, 79.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:31.768, 44, 79.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:32.018, 44, 79.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:32.268, 44, 79.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:32.518, 44, 77.66 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:32.768, 44, 77.66 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:33.018, 44, 77.66 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:33.268, 44, 77.66 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:33.518, 44, 77.68 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:33.768, 44, 77.68 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:34.018, 44, 77.68 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:34.268, 44, 77.68 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:34.518, 44, 77.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:34.768, 44, 77.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:35.019, 44, 77.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:35.269, 44, 77.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:35.519, 44, 77.70 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:35.769, 44, 77.70 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:36.019, 44, 77.70 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:36.269, 44, 77.70 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:36.519, 43, 77.75 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:36.769, 43, 77.75 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 05:16:37.020, 44, 80.19 W, 2610 MHz, 13365 MHz, 15892 MiB, 51 %
2026/09/26 05:16:37.270, 44, 80.19 W, 2610 MHz, 13365 MHz, 15892 MiB, 51 %
2026/09/26 05:16:37.520, 50, 223.88 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 05:16:37.770, 50, 223.88 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 05:16:38.020, 51, 389.37 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 05:16:38.270, 51, 389.37 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 05:16:38.520, 52, 430.18 W, 2850 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 05:16:38.770, 52, 430.18 W, 2850 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 05:16:39.021, 52, 442.12 W, 2850 MHz, 13365 MHz, 16212 MiB, 94 %
2026/09/26 05:16:39.271, 52, 442.12 W, 2850 MHz, 13365 MHz, 17460 MiB, 94 %
2026/09/26 05:16:39.521, 52, 432.47 W, 2835 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:39.771, 52, 432.47 W, 2835 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:40.021, 52, 417.59 W, 2842 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:40.271, 52, 417.59 W, 2842 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:40.521, 53, 431.71 W, 2850 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:40.771, 53, 431.71 W, 2850 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:41.021, 53, 446.04 W, 2850 MHz, 13365 MHz, 17556 MiB, 95 %
2026/09/26 05:16:41.271, 53, 446.04 W, 2850 MHz, 13365 MHz, 17556 MiB, 95 %
2026/09/26 05:16:41.521, 53, 435.83 W, 2842 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:41.771, 53, 435.83 W, 2842 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:42.021, 53, 421.48 W, 2842 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:42.272, 53, 421.48 W, 2842 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:42.522, 54, 433.94 W, 2850 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:42.772, 54, 433.94 W, 2850 MHz, 13365 MHz, 17556 MiB, 100 %
2026/09/26 05:16:43.022, 54, 445.09 W, 2842 MHz, 13365 MHz, 17556 MiB, 95 %
2026/09/26 05:16:43.272, 54, 445.09 W, 2842 MHz, 13365 MHz, 17908 MiB, 95 %
2026/09/26 05:16:43.522, 54, 426.58 W, 2827 MHz, 13365 MHz, 18004 MiB, 98 %
2026/09/26 05:16:43.772, 54, 426.58 W, 2827 MHz, 13365 MHz, 18004 MiB, 98 %
2026/09/26 05:16:44.022, 54, 409.97 W, 2842 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:44.272, 54, 409.97 W, 2842 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:44.523, 55, 427.52 W, 2842 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:44.773, 55, 427.52 W, 2842 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:45.023, 55, 440.56 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:45.273, 55, 440.56 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:45.523, 55, 434.65 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:45.773, 55, 434.65 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:46.023, 55, 418.02 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:46.273, 55, 418.02 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:46.523, 56, 428.04 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:46.774, 56, 428.04 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:47.024, 56, 443.80 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:47.274, 56, 443.80 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:47.524, 56, 433.27 W, 2827 MHz, 13365 MHz, 18004 MiB, 98 %
2026/09/26 05:16:47.774, 56, 433.27 W, 2827 MHz, 13365 MHz, 18004 MiB, 98 %
2026/09/26 05:16:48.024, 55, 419.59 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:48.274, 55, 419.59 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:48.524, 56, 424.54 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:48.775, 56, 424.54 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:49.025, 56, 439.42 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:49.275, 56, 439.42 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:49.525, 56, 437.41 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:49.775, 56, 437.41 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:50.025, 56, 423.19 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:50.275, 56, 423.19 W, 2827 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:50.525, 57, 428.86 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:50.775, 57, 428.86 W, 2835 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:51.025, 57, 441.09 W, 2842 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:51.276, 57, 441.09 W, 2842 MHz, 13365 MHz, 18004 MiB, 100 %
2026/09/26 05:16:51.526, 57, 437.62 W, 2835 MHz, 13365 MHz, 18036 MiB, 99 %
