timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 22:24:25.664, 0, P0, 427 MHz, 12481 MHz, 53.64 W, 600.00 W, 600.00 W, 41, 0 MiB, 0 %, 5, 16
2026/09/21 22:24:25.920, 0, P0, 240 MHz, 12481 MHz, 53.03 W, 600.00 W, 600.00 W, 41, 31 MiB, 0 %, 5, 16
2026/09/21 22:24:26.171, 0, P0, 1792 MHz, 12481 MHz, 59.04 W, 600.00 W, 600.00 W, 42, 595 MiB, 2 %, 5, 16
2026/09/21 22:24:26.421, 0, P0, 2355 MHz, 12481 MHz, 65.16 W, 600.00 W, 600.00 W, 42, 1811 MiB, 17 %, 5, 16
2026/09/21 22:24:26.672, 0, P0, 2347 MHz, 12481 MHz, 68.17 W, 600.00 W, 600.00 W, 42, 2739 MiB, 7 %, 5, 16
2026/09/21 22:24:26.922, 0, P0, 2355 MHz, 12481 MHz, 93.67 W, 600.00 W, 600.00 W, 42, 3635 MiB, 7 %, 5, 16
2026/09/21 22:24:27.173, 0, P0, 2355 MHz, 12481 MHz, 93.75 W, 600.00 W, 600.00 W, 42, 4499 MiB, 7 %, 5, 16
2026/09/21 22:24:27.423, 0, P0, 2355 MHz, 12481 MHz, 93.76 W, 600.00 W, 600.00 W, 42, 5427 MiB, 7 %, 5, 16
2026/09/21 22:24:27.674, 0, P0, 2355 MHz, 12481 MHz, 93.79 W, 600.00 W, 600.00 W, 42, 6291 MiB, 7 %, 5, 16
2026/09/21 22:24:27.924, 0, P0, 2347 MHz, 12481 MHz, 93.72 W, 600.00 W, 600.00 W, 42, 7219 MiB, 7 %, 5, 16
2026/09/21 22:24:28.175, 0, P0, 2347 MHz, 12481 MHz, 93.75 W, 600.00 W, 600.00 W, 42, 8083 MiB, 7 %, 5, 16
2026/09/21 22:24:28.425, 0, P0, 2355 MHz, 12481 MHz, 93.77 W, 600.00 W, 600.00 W, 42, 9011 MiB, 7 %, 5, 16
2026/09/21 22:24:28.676, 0, P0, 2355 MHz, 12481 MHz, 93.67 W, 600.00 W, 600.00 W, 42, 9939 MiB, 6 %, 5, 16
2026/09/21 22:24:28.926, 0, P0, 2347 MHz, 12481 MHz, 93.65 W, 600.00 W, 600.00 W, 41, 10803 MiB, 7 %, 5, 16
2026/09/21 22:24:29.176, 0, P0, 2355 MHz, 12481 MHz, 93.64 W, 600.00 W, 600.00 W, 41, 11699 MiB, 7 %, 5, 16
2026/09/21 22:24:29.427, 0, P0, 2355 MHz, 12481 MHz, 93.60 W, 600.00 W, 600.00 W, 41, 12595 MiB, 7 %, 5, 16
2026/09/21 22:24:29.678, 0, P0, 2355 MHz, 12481 MHz, 93.62 W, 600.00 W, 600.00 W, 41, 13459 MiB, 7 %, 5, 16
2026/09/21 22:24:29.928, 0, P0, 2347 MHz, 12481 MHz, 93.52 W, 600.00 W, 600.00 W, 41, 14387 MiB, 6 %, 5, 16
2026/09/21 22:24:30.179, 0, P0, 2347 MHz, 12481 MHz, 93.44 W, 600.00 W, 600.00 W, 41, 14739 MiB, 7 %, 5, 16
2026/09/21 22:24:30.429, 0, P0, 2355 MHz, 12481 MHz, 92.82 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
