timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 08:24:37.397, 0, P8, 180 MHz, 405 MHz, 32.02 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/22 08:24:37.658, 0, P8, 180 MHz, 405 MHz, 32.02 W, 600.00 W, 600.00 W, 33, 3 MiB, 0 %, 1, 16
2026/09/22 08:24:37.919, 0, P0, 180 MHz, 12481 MHz, 44.61 W, 600.00 W, 600.00 W, 34, 595 MiB, 0 %, 5, 16
2026/09/22 08:24:38.169, 0, P0, 2362 MHz, 12481 MHz, 53.87 W, 600.00 W, 600.00 W, 35, 1651 MiB, 9 %, 5, 16
2026/09/22 08:24:38.419, 0, P0, 2362 MHz, 12481 MHz, 58.21 W, 600.00 W, 600.00 W, 35, 2515 MiB, 6 %, 5, 16
2026/09/22 08:24:38.670, 0, P0, 2347 MHz, 12481 MHz, 63.07 W, 600.00 W, 600.00 W, 35, 3379 MiB, 7 %, 5, 16
2026/09/22 08:24:38.920, 0, P0, 2347 MHz, 12481 MHz, 89.83 W, 600.00 W, 600.00 W, 35, 4275 MiB, 7 %, 5, 16
2026/09/22 08:24:39.171, 0, P0, 2347 MHz, 12481 MHz, 89.89 W, 600.00 W, 600.00 W, 35, 5171 MiB, 7 %, 5, 16
2026/09/22 08:24:39.421, 0, P0, 2347 MHz, 12481 MHz, 89.77 W, 600.00 W, 600.00 W, 35, 6067 MiB, 7 %, 5, 16
2026/09/22 08:24:39.672, 0, P0, 2347 MHz, 12481 MHz, 89.82 W, 600.00 W, 600.00 W, 35, 6931 MiB, 7 %, 5, 16
2026/09/22 08:24:39.922, 0, P0, 2347 MHz, 12481 MHz, 90.00 W, 600.00 W, 600.00 W, 35, 7795 MiB, 7 %, 5, 16
2026/09/22 08:24:40.173, 0, P0, 2347 MHz, 12481 MHz, 89.95 W, 600.00 W, 600.00 W, 35, 8659 MiB, 7 %, 5, 16
2026/09/22 08:24:40.423, 0, P0, 2347 MHz, 12481 MHz, 90.03 W, 600.00 W, 600.00 W, 35, 9523 MiB, 7 %, 5, 16
2026/09/22 08:24:40.674, 0, P0, 2347 MHz, 12481 MHz, 90.05 W, 600.00 W, 600.00 W, 35, 10387 MiB, 7 %, 5, 16
2026/09/22 08:24:40.924, 0, P0, 2347 MHz, 12481 MHz, 89.99 W, 600.00 W, 600.00 W, 35, 11283 MiB, 6 %, 5, 16
2026/09/22 08:24:41.175, 0, P0, 2347 MHz, 12481 MHz, 89.96 W, 600.00 W, 600.00 W, 35, 12179 MiB, 6 %, 5, 16
2026/09/22 08:24:41.425, 0, P0, 2347 MHz, 12481 MHz, 90.00 W, 600.00 W, 600.00 W, 35, 12979 MiB, 7 %, 5, 16
2026/09/22 08:24:41.675, 0, P0, 2347 MHz, 12481 MHz, 89.99 W, 600.00 W, 600.00 W, 35, 13843 MiB, 7 %, 5, 16
