timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 10:07:57.517, 0, P0, 2355 MHz, 12481 MHz, 94.00 W, 600.00 W, 600.00 W, 40, 0 MiB, 0 %, 5, 16
2026/09/22 10:07:57.774, 0, P0, 570 MHz, 12481 MHz, 53.90 W, 600.00 W, 600.00 W, 40, 23 MiB, 0 %, 5, 16
2026/09/22 10:07:58.025, 0, P0, 1500 MHz, 12481 MHz, 59.66 W, 600.00 W, 600.00 W, 40, 0 MiB, 2 %, 5, 16
2026/09/22 10:07:58.275, 0, P0, 2355 MHz, 12481 MHz, 66.32 W, 600.00 W, 600.00 W, 40, 593 MiB, 2 %, 5, 16
2026/09/22 10:07:58.525, 0, P0, 2355 MHz, 12481 MHz, 69.58 W, 600.00 W, 600.00 W, 41, 593 MiB, 1 %, 5, 16
2026/09/22 10:07:58.776, 0, P0, 2355 MHz, 12481 MHz, 97.08 W, 600.00 W, 600.00 W, 41, 593 MiB, 0 %, 5, 16
2026/09/22 10:07:59.026, 0, P0, 2355 MHz, 12481 MHz, 99.28 W, 600.00 W, 600.00 W, 41, 593 MiB, 100 %, 5, 16
2026/09/22 10:07:59.276, 0, P0, 2355 MHz, 12481 MHz, 97.43 W, 600.00 W, 600.00 W, 40, 593 MiB, 0 %, 5, 16
2026/09/22 10:07:59.527, 0, P0, 2355 MHz, 12481 MHz, 98.06 W, 600.00 W, 600.00 W, 40, 561 MiB, 2 %, 5, 16
2026/09/22 10:07:59.777, 0, P0, 2355 MHz, 12481 MHz, 95.75 W, 600.00 W, 600.00 W, 40, 561 MiB, 0 %, 5, 16
2026/09/22 10:08:00.027, 0, P0, 2355 MHz, 12481 MHz, 93.00 W, 600.00 W, 600.00 W, 40, 561 MiB, 0 %, 5, 16
2026/09/22 10:08:00.278, 0, P0, 2355 MHz, 12481 MHz, 92.67 W, 600.00 W, 600.00 W, 40, 561 MiB, 0 %, 5, 16
2026/09/22 10:08:00.528, 0, P0, 2355 MHz, 12481 MHz, 91.08 W, 600.00 W, 600.00 W, 40, 561 MiB, 0 %, 5, 16
2026/09/22 10:08:00.778, 0, P0, 2355 MHz, 12481 MHz, 91.08 W, 600.00 W, 600.00 W, 40, 881 MiB, 0 %, 5, 16
2026/09/22 10:08:01.030, 0, P0, 2355 MHz, 12481 MHz, 94.08 W, 600.00 W, 600.00 W, 40, 561 MiB, 42 %, 5, 16
