timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/23 20:54:42.466, 0, P8, 180 MHz, 405 MHz, 15.44 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 1, 16
2026/09/23 20:54:42.732, 0, P8, 180 MHz, 405 MHz, 15.44 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 1, 16
2026/09/23 20:54:42.983, 0, P8, 180 MHz, 405 MHz, 15.44 W, 600.00 W, 600.00 W, 45, 22 MiB, 0 %, 1, 16
2026/09/23 20:54:43.233, 0, P1, 180 MHz, 405 MHz, 21.72 W, 600.00 W, 600.00 W, 46, 595 MiB, 0 %, 5, 16
2026/09/23 20:54:43.484, 0, P1, 180 MHz, 405 MHz, 21.72 W, 600.00 W, 600.00 W, 46, 595 MiB, 0 %, 5, 16
2026/09/23 20:54:43.735, 0, P1, 2310 MHz, 13365 MHz, 39.49 W, 600.00 W, 600.00 W, 46, 1459 MiB, 0 %, 5, 16
2026/09/23 20:54:43.985, 0, P1, 2310 MHz, 13365 MHz, 39.49 W, 600.00 W, 600.00 W, 46, 1907 MiB, 0 %, 5, 16
2026/09/23 20:54:44.236, 0, P1, 2310 MHz, 13365 MHz, 78.57 W, 600.00 W, 600.00 W, 46, 2387 MiB, 4 %, 5, 16
2026/09/23 20:54:44.487, 0, P1, 2310 MHz, 13365 MHz, 78.57 W, 600.00 W, 600.00 W, 46, 2835 MiB, 4 %, 5, 16
2026/09/23 20:54:44.737, 0, P1, 2310 MHz, 13365 MHz, 78.61 W, 600.00 W, 600.00 W, 46, 3283 MiB, 4 %, 5, 16
2026/09/23 20:54:44.988, 0, P1, 2310 MHz, 13365 MHz, 78.61 W, 600.00 W, 600.00 W, 46, 3763 MiB, 4 %, 5, 16
2026/09/23 20:54:45.239, 0, P1, 2310 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 46, 4211 MiB, 4 %, 5, 16
2026/09/23 20:54:45.489, 0, P1, 2310 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 46, 4659 MiB, 4 %, 5, 16
2026/09/23 20:54:45.740, 0, P1, 2310 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 46, 5171 MiB, 3 %, 5, 16
2026/09/23 20:54:45.991, 0, P1, 2310 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 46, 5587 MiB, 3 %, 5, 16
2026/09/23 20:54:46.242, 0, P1, 2310 MHz, 13365 MHz, 78.55 W, 600.00 W, 600.00 W, 46, 6099 MiB, 4 %, 5, 16
2026/09/23 20:54:46.492, 0, P1, 2310 MHz, 13365 MHz, 78.55 W, 600.00 W, 600.00 W, 46, 6515 MiB, 4 %, 5, 16
2026/09/23 20:54:46.743, 0, P1, 2310 MHz, 13365 MHz, 78.46 W, 600.00 W, 600.00 W, 46, 7027 MiB, 4 %, 5, 16
2026/09/23 20:54:46.994, 0, P1, 2310 MHz, 13365 MHz, 78.46 W, 600.00 W, 600.00 W, 46, 7475 MiB, 4 %, 5, 16
2026/09/23 20:54:47.244, 0, P1, 2310 MHz, 13365 MHz, 78.42 W, 600.00 W, 600.00 W, 46, 7923 MiB, 3 %, 5, 16
2026/09/23 20:54:47.495, 0, P1, 2310 MHz, 13365 MHz, 78.42 W, 600.00 W, 600.00 W, 46, 8435 MiB, 3 %, 5, 16
2026/09/23 20:54:47.746, 0, P1, 2310 MHz, 13365 MHz, 78.44 W, 600.00 W, 600.00 W, 46, 8851 MiB, 3 %, 5, 16
2026/09/23 20:54:47.997, 0, P1, 2310 MHz, 13365 MHz, 78.44 W, 600.00 W, 600.00 W, 46, 9331 MiB, 3 %, 5, 16
