timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 20:08:38.953, 41, 15.96 W, 180 MHz, 405 MHz, 0 MiB, 0 %
2026/09/24 20:08:39.209, 41, 15.96 W, 180 MHz, 405 MHz, 1 MiB, 0 %
2026/09/24 20:08:39.460, 42, 21.03 W, 180 MHz, 405 MHz, 595 MiB, 1 %
2026/09/24 20:08:39.710, 42, 21.03 W, 180 MHz, 405 MHz, 595 MiB, 1 %
2026/09/24 20:08:39.960, 42, 47.71 W, 2310 MHz, 13365 MHz, 1459 MiB, 0 %
2026/09/24 20:08:40.211, 42, 47.71 W, 2310 MHz, 13365 MHz, 1907 MiB, 0 %
2026/09/24 20:08:40.461, 42, 76.85 W, 2310 MHz, 13365 MHz, 2387 MiB, 4 %
2026/09/24 20:08:40.711, 42, 76.85 W, 2310 MHz, 13365 MHz, 2867 MiB, 4 %
2026/09/24 20:08:40.961, 42, 77.09 W, 2310 MHz, 13365 MHz, 3379 MiB, 4 %
2026/09/24 20:08:41.212, 42, 77.09 W, 2310 MHz, 13365 MHz, 3859 MiB, 4 %
2026/09/24 20:08:41.462, 42, 77.16 W, 2310 MHz, 13365 MHz, 4403 MiB, 4 %
2026/09/24 20:08:41.712, 42, 77.16 W, 2310 MHz, 13365 MHz, 4883 MiB, 4 %
2026/09/24 20:08:41.962, 42, 77.28 W, 2310 MHz, 13365 MHz, 5395 MiB, 4 %
2026/09/24 20:08:42.213, 42, 77.28 W, 2310 MHz, 13365 MHz, 5907 MiB, 4 %
2026/09/24 20:08:42.463, 42, 77.37 W, 2310 MHz, 13365 MHz, 6387 MiB, 4 %
2026/09/24 20:08:42.713, 42, 77.37 W, 2310 MHz, 13365 MHz, 6867 MiB, 4 %
2026/09/24 20:08:42.963, 42, 77.20 W, 2310 MHz, 13365 MHz, 7379 MiB, 3 %
2026/09/24 20:08:43.214, 42, 77.20 W, 2310 MHz, 13365 MHz, 7891 MiB, 3 %
2026/09/24 20:08:43.464, 42, 77.14 W, 2310 MHz, 13365 MHz, 8339 MiB, 4 %
