timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 17:27:57.326, 37, 14.63 W, 180 MHz, 405 MHz, 0 MiB, 0 %
2026/09/24 17:27:57.583, 37, 14.58 W, 180 MHz, 405 MHz, 0 MiB, 0 %
2026/09/24 17:27:57.834, 37, 14.58 W, 180 MHz, 405 MHz, 31 MiB, 0 %
2026/09/24 17:27:58.084, 37, 16.63 W, 180 MHz, 405 MHz, 595 MiB, 0 %
2026/09/24 17:27:58.334, 37, 16.63 W, 180 MHz, 405 MHz, 595 MiB, 0 %
2026/09/24 17:27:58.584, 37, 31.63 W, 2310 MHz, 13365 MHz, 1555 MiB, 0 %
2026/09/24 17:27:58.835, 37, 31.63 W, 2310 MHz, 13365 MHz, 2003 MiB, 0 %
2026/09/24 17:27:59.085, 38, 76.41 W, 2310 MHz, 13365 MHz, 2515 MiB, 4 %
2026/09/24 17:27:59.335, 38, 76.41 W, 2310 MHz, 13365 MHz, 2995 MiB, 4 %
2026/09/24 17:27:59.585, 38, 75.67 W, 2310 MHz, 13365 MHz, 3539 MiB, 4 %
2026/09/24 17:27:59.836, 38, 75.67 W, 2310 MHz, 13365 MHz, 4019 MiB, 4 %
2026/09/24 17:28:00.086, 38, 75.49 W, 2310 MHz, 13365 MHz, 4467 MiB, 3 %
2026/09/24 17:28:00.336, 38, 75.49 W, 2310 MHz, 13365 MHz, 4979 MiB, 3 %
2026/09/24 17:28:00.586, 38, 75.67 W, 2310 MHz, 13365 MHz, 5427 MiB, 4 %
2026/09/24 17:28:00.837, 38, 75.67 W, 2310 MHz, 13365 MHz, 6003 MiB, 4 %
2026/09/24 17:28:01.087, 38, 75.62 W, 2310 MHz, 13365 MHz, 6451 MiB, 4 %
2026/09/24 17:28:01.337, 38, 75.62 W, 2310 MHz, 13365 MHz, 6963 MiB, 4 %
2026/09/24 17:28:01.588, 38, 75.55 W, 2310 MHz, 13365 MHz, 7443 MiB, 4 %
2026/09/24 17:28:01.838, 38, 75.55 W, 2310 MHz, 13365 MHz, 7923 MiB, 4 %
2026/09/24 17:28:02.088, 38, 75.82 W, 2310 MHz, 13365 MHz, 8467 MiB, 4 %
2026/09/24 17:28:02.338, 38, 75.82 W, 2310 MHz, 13365 MHz, 8915 MiB, 4 %
2026/09/24 17:28:02.589, 38, 75.71 W, 2310 MHz, 13365 MHz, 9427 MiB, 3 %
2026/09/24 17:28:02.839, 38, 75.71 W, 2310 MHz, 13365 MHz, 9875 MiB, 3 %
2026/09/24 17:28:03.089, 38, 75.53 W, 2310 MHz, 13365 MHz, 10387 MiB, 4 %
2026/09/24 17:28:03.339, 38, 75.53 W, 2310 MHz, 13365 MHz, 10899 MiB, 4 %
2026/09/24 17:28:03.590, 38, 75.75 W, 2310 MHz, 13365 MHz, 11347 MiB, 4 %
2026/09/24 17:28:03.840, 38, 75.75 W, 2310 MHz, 13365 MHz, 11859 MiB, 4 %
2026/09/24 17:28:04.090, 38, 75.63 W, 2310 MHz, 13365 MHz, 12339 MiB, 4 %
2026/09/24 17:28:04.340, 38, 75.63 W, 2310 MHz, 13365 MHz, 12851 MiB, 4 %
2026/09/24 17:28:04.591, 38, 75.49 W, 2310 MHz, 13365 MHz, 13363 MiB, 4 %
2026/09/24 17:28:04.841, 38, 75.49 W, 2310 MHz, 13365 MHz, 13811 MiB, 4 %
2026/09/24 17:28:05.091, 38, 75.86 W, 2310 MHz, 13365 MHz, 14323 MiB, 3 %
2026/09/24 17:28:05.341, 38, 75.86 W, 2310 MHz, 13365 MHz, 14739 MiB, 3 %
2026/09/24 17:28:05.592, 38, 75.89 W, 2310 MHz, 13365 MHz, 14739 MiB, 4 %
2026/09/24 17:28:05.842, 38, 75.89 W, 2310 MHz, 13365 MHz, 14739 MiB, 4 %
2026/09/24 17:28:06.092, 38, 75.83 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:06.342, 38, 75.83 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:06.593, 38, 75.64 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:06.843, 38, 75.64 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:07.093, 38, 75.64 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:07.343, 38, 75.64 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:07.594, 38, 74.71 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:07.844, 38, 74.71 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:08.094, 38, 74.71 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:08.344, 38, 74.71 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:08.595, 38, 74.46 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:08.845, 38, 74.46 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:09.095, 38, 74.46 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:09.345, 38, 74.46 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:09.596, 38, 74.54 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:09.846, 38, 74.54 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:10.096, 38, 74.54 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:10.346, 38, 74.54 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:10.597, 38, 74.89 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:10.847, 38, 74.89 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:11.097, 38, 74.89 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:11.347, 38, 74.89 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:11.598, 38, 74.92 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:11.848, 38, 74.92 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:12.098, 38, 74.92 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:12.349, 38, 74.92 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:12.599, 38, 74.90 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:12.849, 38, 74.90 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:13.099, 38, 74.90 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:13.350, 38, 74.90 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:13.600, 39, 74.72 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:13.850, 39, 74.72 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:14.100, 39, 74.72 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:14.351, 39, 74.72 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:14.601, 39, 74.82 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:14.851, 39, 74.82 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:15.101, 39, 74.82 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:15.352, 39, 74.82 W, 2310 MHz, 13365 MHz, 14739 MiB, 0 %
2026/09/24 17:28:15.602, 39, 75.17 W, 2310 MHz, 13365 MHz, 15059 MiB, 0 %
2026/09/24 17:28:15.852, 39, 75.17 W, 2310 MHz, 13365 MHz, 15891 MiB, 0 %
2026/09/24 17:28:16.103, 43, 104.96 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:16.353, 43, 104.96 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:16.603, 43, 223.38 W, 2295 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:16.853, 43, 223.38 W, 2295 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:17.104, 44, 305.30 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:17.354, 44, 305.30 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:17.604, 44, 310.95 W, 2302 MHz, 13365 MHz, 15891 MiB, 99 %
2026/09/24 17:28:17.854, 44, 310.95 W, 2302 MHz, 13365 MHz, 16211 MiB, 99 %
2026/09/24 17:28:18.105, 44, 311.41 W, 2302 MHz, 13365 MHz, 16531 MiB, 91 %
2026/09/24 17:28:18.355, 44, 311.41 W, 2302 MHz, 13365 MHz, 16659 MiB, 91 %
2026/09/24 17:28:18.605, 45, 294.60 W, 2295 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:18.855, 45, 294.60 W, 2295 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:19.106, 45, 294.51 W, 2302 MHz, 13365 MHz, 16659 MiB, 100 %
2026/09/24 17:28:19.356, 45, 294.51 W, 2302 MHz, 13365 MHz, 16659 MiB, 100 %
2026/09/24 17:28:19.606, 45, 308.70 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:19.856, 45, 308.70 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:20.107, 46, 317.01 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:20.357, 46, 317.01 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:20.607, 46, 311.27 W, 2295 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:20.857, 46, 311.27 W, 2295 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:21.108, 45, 302.77 W, 2302 MHz, 13365 MHz, 16659 MiB, 100 %
2026/09/24 17:28:21.358, 45, 302.77 W, 2302 MHz, 13365 MHz, 16659 MiB, 100 %
2026/09/24 17:28:21.608, 46, 308.36 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
2026/09/24 17:28:21.858, 46, 308.36 W, 2302 MHz, 13365 MHz, 16659 MiB, 99 %
