timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/26 13:05:34.321, 40, 10.72 W, 180 MHz, 405 MHz, 2 MiB, 0 %
2026/09/26 13:05:34.576, 40, 10.48 W, 180 MHz, 405 MHz, 24 MiB, 0 %
2026/09/26 13:05:34.826, 40, 10.48 W, 180 MHz, 405 MHz, 1460 MiB, 0 %
2026/09/26 13:05:35.076, 41, 27.23 W, 2625 MHz, 13365 MHz, 2388 MiB, 14 %
2026/09/26 13:05:35.326, 41, 27.23 W, 2625 MHz, 13365 MHz, 3380 MiB, 14 %
2026/09/26 13:05:35.576, 41, 56.31 W, 2625 MHz, 13365 MHz, 4468 MiB, 14 %
2026/09/26 13:05:35.826, 41, 56.31 W, 2625 MHz, 13365 MHz, 5524 MiB, 14 %
2026/09/26 13:05:36.076, 41, 80.46 W, 2625 MHz, 13365 MHz, 6612 MiB, 14 %
2026/09/26 13:05:36.326, 41, 80.46 W, 2625 MHz, 13365 MHz, 7700 MiB, 14 %
2026/09/26 13:05:36.576, 41, 80.47 W, 2625 MHz, 13365 MHz, 8692 MiB, 15 %
2026/09/26 13:05:36.827, 41, 80.47 W, 2625 MHz, 13365 MHz, 9780 MiB, 15 %
2026/09/26 13:05:37.077, 41, 80.50 W, 2625 MHz, 13365 MHz, 10836 MiB, 14 %
2026/09/26 13:05:37.327, 41, 80.50 W, 2625 MHz, 13365 MHz, 11924 MiB, 14 %
2026/09/26 13:05:37.577, 41, 80.52 W, 2625 MHz, 13365 MHz, 12980 MiB, 14 %
2026/09/26 13:05:37.827, 41, 80.52 W, 2625 MHz, 13365 MHz, 14068 MiB, 14 %
2026/09/26 13:05:38.077, 41, 80.47 W, 2625 MHz, 13365 MHz, 14740 MiB, 15 %
2026/09/26 13:05:38.327, 41, 80.47 W, 2625 MHz, 13365 MHz, 14740 MiB, 15 %
2026/09/26 13:05:38.577, 41, 79.17 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:38.827, 41, 79.17 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:39.077, 41, 77.76 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:39.327, 41, 77.76 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:39.577, 41, 77.76 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:39.827, 41, 77.76 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:40.078, 41, 76.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:40.328, 41, 76.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:40.578, 41, 76.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:40.828, 41, 76.92 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:41.078, 41, 77.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:41.328, 41, 77.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:41.578, 41, 77.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:41.828, 41, 77.00 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:42.078, 41, 77.16 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:42.328, 41, 77.16 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:42.579, 41, 77.16 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:42.829, 41, 77.16 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:43.079, 41, 77.06 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 13:05:43.329, 41, 77.06 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
