timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 12:28:02.875, 0, P0, 2857 MHz, 14001 MHz, 85.34 W, 600.00 W, 600.00 W, 50, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:03.128, 0, P0, 2857 MHz, 14001 MHz, 85.34 W, 600.00 W, 600.00 W, 50, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:03.378, 0, P0, 2857 MHz, 14001 MHz, 85.34 W, 600.00 W, 600.00 W, 50, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:03.629, 0, P0, 2857 MHz, 14001 MHz, 85.34 W, 600.00 W, 600.00 W, 50, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:03.879, 0, P0, 675 MHz, 14001 MHz, 68.14 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:04.129, 0, P0, 675 MHz, 14001 MHz, 68.14 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:04.380, 0, P0, 675 MHz, 14001 MHz, 68.14 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:04.630, 0, P0, 675 MHz, 14001 MHz, 68.14 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:04.880, 0, P0, 420 MHz, 14001 MHz, 49.92 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:05.131, 0, P0, 420 MHz, 14001 MHz, 49.92 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:05.381, 0, P0, 270 MHz, 14001 MHz, 49.92 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:05.631, 0, P0, 270 MHz, 14001 MHz, 49.92 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:05.882, 0, P3, 270 MHz, 14001 MHz, 48.88 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:06.132, 0, P3, 270 MHz, 14001 MHz, 48.88 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:06.382, 0, P3, 180 MHz, 7001 MHz, 48.88 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:06.633, 0, P3, 180 MHz, 7001 MHz, 48.88 W, 600.00 W, 600.00 W, 49, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:06.883, 0, P3, 180 MHz, 7001 MHz, 45.65 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:07.134, 0, P3, 180 MHz, 7001 MHz, 45.65 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:07.384, 0, P3, 180 MHz, 7001 MHz, 45.65 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:07.634, 0, P3, 180 MHz, 7001 MHz, 45.65 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/26 12:28:07.885, 0, P5, 180 MHz, 7001 MHz, 42.78 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 2, 16
2026/09/26 12:28:08.137, 0, P5, 180 MHz, 7001 MHz, 42.78 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 2, 16
2026/09/26 12:28:08.387, 0, P5, 180 MHz, 810 MHz, 42.78 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 2, 16
2026/09/26 12:28:08.638, 0, P5, 180 MHz, 810 MHz, 42.78 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 2, 16
2026/09/26 12:28:08.888, 0, P5, 180 MHz, 810 MHz, 18.57 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 2, 16
2026/09/26 12:28:09.139, 0, P5, 180 MHz, 810 MHz, 18.57 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 2, 16
2026/09/26 12:28:09.390, 0, P5, 180 MHz, 810 MHz, 18.57 W, 600.00 W, 600.00 W, 48, 596 MiB, 0 %, 2, 16
2026/09/26 12:28:09.640, 0, P5, 180 MHz, 810 MHz, 18.57 W, 600.00 W, 600.00 W, 48, 1588 MiB, 0 %, 2, 16
2026/09/26 12:28:09.891, 0, P1, 180 MHz, 810 MHz, 28.86 W, 600.00 W, 600.00 W, 48, 2676 MiB, 24 %, 5, 16
2026/09/26 12:28:10.141, 0, P1, 180 MHz, 810 MHz, 28.86 W, 600.00 W, 600.00 W, 48, 3764 MiB, 24 %, 5, 16
2026/09/26 12:28:10.392, 0, P1, 2625 MHz, 13365 MHz, 53.83 W, 600.00 W, 600.00 W, 48, 4820 MiB, 15 %, 5, 16
2026/09/26 12:28:10.642, 0, P1, 2625 MHz, 13365 MHz, 53.83 W, 600.00 W, 600.00 W, 48, 5908 MiB, 15 %, 5, 16
2026/09/26 12:28:10.893, 0, P1, 2625 MHz, 13365 MHz, 83.21 W, 600.00 W, 600.00 W, 48, 6964 MiB, 14 %, 5, 16
2026/09/26 12:28:11.143, 0, P1, 2625 MHz, 13365 MHz, 83.21 W, 600.00 W, 600.00 W, 48, 8052 MiB, 14 %, 5, 16
2026/09/26 12:28:11.394, 0, P1, 2625 MHz, 13365 MHz, 83.22 W, 600.00 W, 600.00 W, 48, 9108 MiB, 15 %, 5, 16
2026/09/26 12:28:11.644, 0, P1, 2625 MHz, 13365 MHz, 83.22 W, 600.00 W, 600.00 W, 48, 10196 MiB, 15 %, 5, 16
2026/09/26 12:28:11.895, 0, P1, 2625 MHz, 13365 MHz, 83.25 W, 600.00 W, 600.00 W, 48, 11316 MiB, 15 %, 5, 16
2026/09/26 12:28:12.145, 0, P1, 2625 MHz, 13365 MHz, 83.25 W, 600.00 W, 600.00 W, 48, 12372 MiB, 15 %, 5, 16
2026/09/26 12:28:12.396, 0, P1, 2625 MHz, 13365 MHz, 83.03 W, 600.00 W, 600.00 W, 48, 13460 MiB, 13 %, 5, 16
2026/09/26 12:28:12.646, 0, P1, 2625 MHz, 13365 MHz, 83.03 W, 600.00 W, 600.00 W, 48, 14548 MiB, 13 %, 5, 16
2026/09/26 12:28:12.897, 0, P1, 2625 MHz, 13365 MHz, 82.98 W, 600.00 W, 600.00 W, 48, 14740 MiB, 14 %, 5, 16
2026/09/26 12:28:13.147, 0, P1, 2625 MHz, 13365 MHz, 82.98 W, 600.00 W, 600.00 W, 48, 14740 MiB, 14 %, 5, 16
2026/09/26 12:28:13.398, 0, P1, 2610 MHz, 13365 MHz, 81.88 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:13.648, 0, P1, 2610 MHz, 13365 MHz, 81.88 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:13.898, 0, P1, 2610 MHz, 13365 MHz, 80.38 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:14.149, 0, P1, 2610 MHz, 13365 MHz, 80.38 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:14.399, 0, P1, 2610 MHz, 13365 MHz, 80.38 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:14.649, 0, P1, 2610 MHz, 13365 MHz, 80.38 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:14.900, 0, P1, 2610 MHz, 13365 MHz, 78.91 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:15.150, 0, P1, 2610 MHz, 13365 MHz, 78.91 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:15.400, 0, P1, 2610 MHz, 13365 MHz, 78.91 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:15.651, 0, P1, 2610 MHz, 13365 MHz, 78.91 W, 600.00 W, 600.00 W, 48, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:15.901, 0, P1, 2610 MHz, 13365 MHz, 78.96 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:16.151, 0, P1, 2610 MHz, 13365 MHz, 78.96 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:16.402, 0, P1, 2610 MHz, 13365 MHz, 78.96 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:16.652, 0, P1, 2610 MHz, 13365 MHz, 78.96 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:16.902, 0, P1, 2610 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:17.153, 0, P1, 2610 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:17.403, 0, P1, 2610 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
2026/09/26 12:28:17.653, 0, P1, 2610 MHz, 13365 MHz, 78.68 W, 600.00 W, 600.00 W, 47, 14740 MiB, 0 %, 5, 16
