timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 13:44:06.187, 0, P0, 2857 MHz, 14001 MHz, 84.01 W, 600.00 W, 600.00 W, 52, 2 MiB, 0 %, 5, 16
2026/09/26 13:44:06.439, 0, P0, 2857 MHz, 14001 MHz, 84.01 W, 600.00 W, 600.00 W, 50, 594 MiB, 0 %, 5, 16
2026/09/26 13:44:06.690, 0, P0, 2857 MHz, 14001 MHz, 84.01 W, 600.00 W, 600.00 W, 50, 1460 MiB, 0 %, 5, 16
2026/09/26 13:44:06.940, 0, P1, 2617 MHz, 13365 MHz, 75.43 W, 600.00 W, 600.00 W, 50, 2484 MiB, 23 %, 5, 16
2026/09/26 13:44:07.191, 0, P1, 2617 MHz, 13365 MHz, 75.43 W, 600.00 W, 600.00 W, 50, 3540 MiB, 23 %, 5, 16
2026/09/26 13:44:07.441, 0, P1, 2625 MHz, 13365 MHz, 73.62 W, 600.00 W, 600.00 W, 50, 4628 MiB, 14 %, 5, 16
2026/09/26 13:44:07.691, 0, P1, 2625 MHz, 13365 MHz, 73.62 W, 600.00 W, 600.00 W, 50, 5684 MiB, 14 %, 5, 16
2026/09/26 13:44:07.942, 0, P1, 2625 MHz, 13365 MHz, 83.93 W, 600.00 W, 600.00 W, 50, 6804 MiB, 15 %, 5, 16
2026/09/26 13:44:08.193, 0, P1, 2625 MHz, 13365 MHz, 83.93 W, 600.00 W, 600.00 W, 50, 7828 MiB, 15 %, 5, 16
2026/09/26 13:44:08.443, 0, P1, 2625 MHz, 13365 MHz, 83.79 W, 600.00 W, 600.00 W, 50, 8916 MiB, 15 %, 5, 16
2026/09/26 13:44:08.694, 0, P1, 2625 MHz, 13365 MHz, 83.79 W, 600.00 W, 600.00 W, 50, 9972 MiB, 15 %, 5, 16
2026/09/26 13:44:08.944, 0, P1, 2625 MHz, 13365 MHz, 83.79 W, 600.00 W, 600.00 W, 50, 11060 MiB, 14 %, 5, 16
2026/09/26 13:44:09.195, 0, P1, 2625 MHz, 13365 MHz, 83.79 W, 600.00 W, 600.00 W, 50, 12116 MiB, 14 %, 5, 16
2026/09/26 13:44:09.445, 0, P1, 2625 MHz, 13365 MHz, 84.00 W, 600.00 W, 600.00 W, 50, 13204 MiB, 14 %, 5, 16
2026/09/26 13:44:09.696, 0, P1, 2625 MHz, 13365 MHz, 84.00 W, 600.00 W, 600.00 W, 50, 14260 MiB, 14 %, 5, 16
2026/09/26 13:44:09.946, 0, P1, 2625 MHz, 13365 MHz, 83.86 W, 600.00 W, 600.00 W, 50, 14740 MiB, 14 %, 5, 16
2026/09/26 13:44:10.196, 0, P1, 2625 MHz, 13365 MHz, 83.86 W, 600.00 W, 600.00 W, 50, 14740 MiB, 14 %, 5, 16
2026/09/26 13:44:10.447, 0, P1, 2625 MHz, 13365 MHz, 82.70 W, 600.00 W, 600.00 W, 49, 14740 MiB, 0 %, 5, 16
