timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 13:25:10.796, 0, P8, 180 MHz, 405 MHz, 11.86 W, 600.00 W, 600.00 W, 37, 2 MiB, 0 %, 1, 16
2026/09/26 13:25:11.052, 0, P8, 180 MHz, 405 MHz, 11.86 W, 600.00 W, 600.00 W, 37, 579 MiB, 0 %, 1, 16
2026/09/26 13:25:11.304, 0, P1, 180 MHz, 405 MHz, 28.11 W, 600.00 W, 600.00 W, 38, 3355 MiB, 3 %, 5, 16
2026/09/26 13:25:11.556, 0, P1, 180 MHz, 405 MHz, 28.11 W, 600.00 W, 600.00 W, 38, 5576 MiB, 3 %, 5, 16
2026/09/26 13:25:11.809, 0, P1, 2767 MHz, 13365 MHz, 49.62 W, 600.00 W, 600.00 W, 38, 7799 MiB, 2 %, 5, 16
2026/09/26 13:25:12.060, 0, P1, 2767 MHz, 13365 MHz, 49.62 W, 600.00 W, 600.00 W, 38, 9466 MiB, 2 %, 5, 16
2026/09/26 13:25:12.311, 0, P1, 2745 MHz, 13365 MHz, 101.93 W, 600.00 W, 600.00 W, 39, 10002 MiB, 1 %, 5, 16
2026/09/26 13:25:12.562, 0, P1, 2745 MHz, 13365 MHz, 101.93 W, 600.00 W, 600.00 W, 39, 2 MiB, 7 %, 5, 16
2026/09/26 13:25:12.972, 0, P1, 2805 MHz, 13365 MHz, 106.19 W, 600.00 W, 600.00 W, 39, 1689 MiB, 7 %, 5, 16
2026/09/26 13:25:13.224, 0, P1, 2872 MHz, 13365 MHz, 109.83 W, 600.00 W, 600.00 W, 39, 4005 MiB, 2 %, 5, 16
2026/09/26 13:25:13.474, 0, P1, 2872 MHz, 13365 MHz, 109.83 W, 600.00 W, 600.00 W, 39, 6226 MiB, 2 %, 5, 16
2026/09/26 13:25:13.725, 0, P1, 2760 MHz, 13365 MHz, 105.15 W, 600.00 W, 600.00 W, 39, 8355 MiB, 1 %, 5, 16
2026/09/26 13:25:13.977, 0, P1, 2760 MHz, 13365 MHz, 105.15 W, 600.00 W, 600.00 W, 39, 10002 MiB, 1 %, 5, 16
2026/09/26 13:25:14.229, 0, P1, 2820 MHz, 13365 MHz, 106.83 W, 600.00 W, 600.00 W, 39, 2 MiB, 0 %, 5, 16
2026/09/26 13:25:14.775, 0, P1, 2677 MHz, 13365 MHz, 108.79 W, 600.00 W, 600.00 W, 39, 1689 MiB, 1 %, 5, 16
2026/09/26 13:25:15.027, 0, P1, 2677 MHz, 13365 MHz, 108.79 W, 600.00 W, 600.00 W, 39, 3925 MiB, 1 %, 5, 16
2026/09/26 13:25:15.277, 0, P1, 2730 MHz, 13365 MHz, 106.82 W, 600.00 W, 600.00 W, 39, 6136 MiB, 2 %, 5, 16
2026/09/26 13:25:15.527, 0, P1, 2730 MHz, 13365 MHz, 106.82 W, 600.00 W, 600.00 W, 39, 8355 MiB, 2 %, 5, 16
2026/09/26 13:25:15.780, 0, P1, 2857 MHz, 13365 MHz, 109.12 W, 600.00 W, 600.00 W, 39, 10002 MiB, 1 %, 5, 16
2026/09/26 13:25:16.032, 0, P1, 2857 MHz, 13365 MHz, 109.12 W, 600.00 W, 600.00 W, 39, 2 MiB, 0 %, 5, 16
