timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/26 16:50:26.045, 61, 52.04 W, 180 MHz, 7001 MHz, 2 MiB, 0 %
2026/09/26 16:50:26.298, 60, 41.51 W, 180 MHz, 810 MHz, 596 MiB, 0 %
2026/09/26 16:50:26.548, 60, 41.51 W, 180 MHz, 810 MHz, 1460 MiB, 0 %
2026/09/26 16:50:26.799, 61, 47.33 W, 180 MHz, 810 MHz, 2580 MiB, 0 %
2026/09/26 16:50:27.049, 61, 47.33 W, 180 MHz, 810 MHz, 3604 MiB, 0 %
2026/09/26 16:50:27.299, 61, 67.30 W, 2625 MHz, 13365 MHz, 4660 MiB, 16 %
2026/09/26 16:50:27.549, 61, 67.30 W, 2625 MHz, 13365 MHz, 5780 MiB, 16 %
2026/09/26 16:50:27.799, 61, 91.53 W, 2625 MHz, 13365 MHz, 6868 MiB, 14 %
2026/09/26 16:50:28.049, 61, 91.53 W, 2625 MHz, 13365 MHz, 7924 MiB, 14 %
2026/09/26 16:50:28.299, 60, 91.37 W, 2625 MHz, 13365 MHz, 9012 MiB, 16 %
2026/09/26 16:50:28.549, 60, 91.37 W, 2625 MHz, 13365 MHz, 10100 MiB, 16 %
2026/09/26 16:50:28.799, 60, 91.27 W, 2625 MHz, 13365 MHz, 11092 MiB, 15 %
2026/09/26 16:50:29.049, 60, 91.27 W, 2625 MHz, 13365 MHz, 12180 MiB, 15 %
2026/09/26 16:50:29.299, 60, 91.18 W, 2625 MHz, 13365 MHz, 13236 MiB, 15 %
2026/09/26 16:50:29.549, 60, 91.18 W, 2625 MHz, 13365 MHz, 14324 MiB, 15 %
2026/09/26 16:50:29.800, 60, 91.03 W, 2625 MHz, 13365 MHz, 14740 MiB, 16 %
2026/09/26 16:50:30.050, 60, 91.03 W, 2625 MHz, 13365 MHz, 14740 MiB, 16 %
2026/09/26 16:50:30.300, 60, 89.51 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:30.550, 60, 89.51 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:30.800, 59, 87.56 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:31.050, 59, 87.56 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:31.300, 59, 87.56 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:31.550, 59, 87.56 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:31.800, 59, 86.63 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:32.050, 59, 86.63 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:32.300, 59, 86.63 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:32.550, 59, 86.63 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:32.801, 59, 86.18 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:33.051, 59, 86.18 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:33.301, 59, 86.18 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:33.551, 59, 86.18 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 16:50:33.801, 59, 85.22 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
