timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 04:10:27.836, 0, P0, 2610 MHz, 14001 MHz, 89.44 W, 600.00 W, 600.00 W, 43, 2 MiB, 0 %, 5, 16
2026/09/25 04:10:28.089, 0, P0, 2610 MHz, 14001 MHz, 88.98 W, 600.00 W, 600.00 W, 43, 4 MiB, 0 %, 5, 16
2026/09/25 04:10:28.340, 0, P0, 2610 MHz, 14001 MHz, 88.98 W, 600.00 W, 600.00 W, 43, 4 MiB, 0 %, 5, 16
2026/09/25 04:10:28.590, 0, P1, 2610 MHz, 14001 MHz, 89.96 W, 600.00 W, 600.00 W, 43, 624 MiB, 0 %, 5, 16
2026/09/25 04:10:28.840, 0, P1, 2610 MHz, 14001 MHz, 89.96 W, 600.00 W, 600.00 W, 43, 1776 MiB, 0 %, 5, 16
2026/09/25 04:10:29.091, 0, P1, 2625 MHz, 13365 MHz, 90.57 W, 600.00 W, 600.00 W, 43, 3024 MiB, 12 %, 5, 16
2026/09/25 04:10:29.341, 0, P1, 2625 MHz, 13365 MHz, 90.57 W, 600.00 W, 600.00 W, 43, 4240 MiB, 12 %, 5, 16
2026/09/25 04:10:29.592, 0, P1, 2625 MHz, 13365 MHz, 90.79 W, 600.00 W, 600.00 W, 43, 5424 MiB, 12 %, 5, 16
2026/09/25 04:10:29.842, 0, P1, 2625 MHz, 13365 MHz, 90.79 W, 600.00 W, 600.00 W, 43, 6608 MiB, 12 %, 5, 16
2026/09/25 04:10:30.093, 0, P1, 2625 MHz, 13365 MHz, 90.14 W, 600.00 W, 600.00 W, 43, 7760 MiB, 12 %, 5, 16
2026/09/25 04:10:30.343, 0, P1, 2625 MHz, 13365 MHz, 90.14 W, 600.00 W, 600.00 W, 43, 8944 MiB, 12 %, 5, 16
2026/09/25 04:10:30.594, 0, P1, 2625 MHz, 13365 MHz, 90.15 W, 600.00 W, 600.00 W, 43, 10128 MiB, 12 %, 5, 16
2026/09/25 04:10:30.845, 0, P1, 2625 MHz, 13365 MHz, 90.15 W, 600.00 W, 600.00 W, 43, 11312 MiB, 12 %, 5, 16
2026/09/25 04:10:31.095, 0, P1, 2625 MHz, 13365 MHz, 90.35 W, 600.00 W, 600.00 W, 43, 12496 MiB, 12 %, 5, 16
2026/09/25 04:10:31.346, 0, P1, 2625 MHz, 13365 MHz, 90.35 W, 600.00 W, 600.00 W, 43, 13648 MiB, 12 %, 5, 16
2026/09/25 04:10:31.596, 0, P1, 2625 MHz, 13365 MHz, 90.29 W, 600.00 W, 600.00 W, 43, 14768 MiB, 12 %, 5, 16
2026/09/25 04:10:31.847, 0, P1, 2625 MHz, 13365 MHz, 90.29 W, 600.00 W, 600.00 W, 43, 14768 MiB, 12 %, 5, 16
2026/09/25 04:10:32.097, 0, P1, 2610 MHz, 13365 MHz, 89.42 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:32.348, 0, P1, 2610 MHz, 13365 MHz, 89.42 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:32.598, 0, P1, 2610 MHz, 13365 MHz, 88.02 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:32.848, 0, P1, 2610 MHz, 13365 MHz, 88.02 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:33.099, 0, P1, 2610 MHz, 13365 MHz, 87.42 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:33.349, 0, P1, 2610 MHz, 13365 MHz, 87.42 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:33.599, 0, P1, 2610 MHz, 13365 MHz, 87.42 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:33.850, 0, P1, 2610 MHz, 13365 MHz, 87.42 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:34.100, 0, P1, 2610 MHz, 13365 MHz, 86.86 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:34.351, 0, P1, 2610 MHz, 13365 MHz, 86.86 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:34.601, 0, P1, 2610 MHz, 13365 MHz, 86.86 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:34.851, 0, P1, 2610 MHz, 13365 MHz, 86.86 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:35.102, 0, P1, 2610 MHz, 13365 MHz, 86.77 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:35.352, 0, P1, 2610 MHz, 13365 MHz, 86.77 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:35.603, 0, P1, 2610 MHz, 13365 MHz, 86.77 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:35.853, 0, P1, 2610 MHz, 13365 MHz, 86.77 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:36.103, 0, P1, 2610 MHz, 13365 MHz, 86.92 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:36.354, 0, P1, 2610 MHz, 13365 MHz, 86.92 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:36.604, 0, P1, 2610 MHz, 13365 MHz, 86.92 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
2026/09/25 04:10:36.855, 0, P1, 2610 MHz, 13365 MHz, 86.92 W, 600.00 W, 600.00 W, 43, 14768 MiB, 0 %, 5, 16
