timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 06:08:44.044, 0, P0, 2805 MHz, 14001 MHz, 226.78 W, 600.00 W, 600.00 W, 73, 2 MiB, 0 %, 5, 16
2026/09/25 06:08:44.296, 0, P0, 2805 MHz, 14001 MHz, 138.28 W, 600.00 W, 600.00 W, 73, 596 MiB, 0 %, 5, 16
2026/09/25 06:08:44.546, 0, P0, 2805 MHz, 14001 MHz, 138.28 W, 600.00 W, 600.00 W, 73, 1492 MiB, 0 %, 5, 16
2026/09/25 06:08:44.797, 0, P1, 2805 MHz, 14001 MHz, 133.75 W, 600.00 W, 600.00 W, 72, 2676 MiB, 23 %, 5, 16
2026/09/25 06:08:45.047, 0, P1, 2805 MHz, 14001 MHz, 133.75 W, 600.00 W, 600.00 W, 72, 3860 MiB, 23 %, 5, 16
2026/09/25 06:08:45.298, 0, P1, 2625 MHz, 13365 MHz, 124.82 W, 600.00 W, 600.00 W, 71, 5076 MiB, 13 %, 5, 16
2026/09/25 06:08:45.548, 0, P1, 2625 MHz, 13365 MHz, 124.82 W, 600.00 W, 600.00 W, 71, 6292 MiB, 13 %, 5, 16
2026/09/25 06:08:45.799, 0, P1, 2625 MHz, 13365 MHz, 111.83 W, 600.00 W, 600.00 W, 71, 7540 MiB, 12 %, 5, 16
2026/09/25 06:08:46.049, 0, P1, 2625 MHz, 13365 MHz, 111.83 W, 600.00 W, 600.00 W, 71, 8756 MiB, 12 %, 5, 16
2026/09/25 06:08:46.300, 0, P1, 2625 MHz, 13365 MHz, 111.12 W, 600.00 W, 600.00 W, 71, 9940 MiB, 12 %, 5, 16
2026/09/25 06:08:46.550, 0, P1, 2625 MHz, 13365 MHz, 111.12 W, 600.00 W, 600.00 W, 71, 11092 MiB, 12 %, 5, 16
2026/09/25 06:08:46.801, 0, P1, 2625 MHz, 13365 MHz, 110.48 W, 600.00 W, 600.00 W, 70, 12340 MiB, 12 %, 5, 16
2026/09/25 06:08:47.051, 0, P1, 2625 MHz, 13365 MHz, 110.48 W, 600.00 W, 600.00 W, 70, 13556 MiB, 12 %, 5, 16
2026/09/25 06:08:47.302, 0, P1, 2625 MHz, 13365 MHz, 110.13 W, 600.00 W, 600.00 W, 70, 14740 MiB, 13 %, 5, 16
2026/09/25 06:08:47.552, 0, P1, 2625 MHz, 13365 MHz, 110.13 W, 600.00 W, 600.00 W, 70, 19540 MiB, 13 %, 5, 16
2026/09/25 06:08:47.803, 0, P1, 2625 MHz, 13365 MHz, 119.94 W, 600.00 W, 600.00 W, 76, 19540 MiB, 54 %, 5, 16
2026/09/25 06:08:48.054, 0, P1, 2625 MHz, 13365 MHz, 119.94 W, 600.00 W, 600.00 W, 76, 19540 MiB, 54 %, 5, 16
2026/09/25 06:08:48.304, 0, P1, 2602 MHz, 13365 MHz, 368.66 W, 600.00 W, 600.00 W, 82, 19540 MiB, 100 %, 5, 16
