timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 06:32:46.010, 0, P0, 2617 MHz, 14001 MHz, 69.16 W, 600.00 W, 600.00 W, 48, 2 MiB, 10 %, 5, 16
2026/09/25 06:32:46.263, 0, P0, 2617 MHz, 14001 MHz, 69.16 W, 600.00 W, 600.00 W, 48, 2 MiB, 10 %, 5, 16
2026/09/25 06:32:46.513, 0, P0, 2617 MHz, 14001 MHz, 90.93 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:46.763, 0, P0, 2617 MHz, 14001 MHz, 90.93 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:47.014, 0, P0, 2610 MHz, 14001 MHz, 90.72 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:47.264, 0, P0, 2610 MHz, 14001 MHz, 90.72 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:47.514, 0, P0, 2610 MHz, 14001 MHz, 90.72 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:47.765, 0, P0, 2610 MHz, 14001 MHz, 90.72 W, 600.00 W, 600.00 W, 48, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:48.015, 0, P0, 697 MHz, 14001 MHz, 75.74 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:48.265, 0, P0, 697 MHz, 14001 MHz, 75.74 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:48.516, 0, P0, 697 MHz, 14001 MHz, 75.74 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:48.766, 0, P0, 697 MHz, 14001 MHz, 75.74 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:49.016, 0, P0, 442 MHz, 14001 MHz, 58.67 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:49.267, 0, P0, 442 MHz, 14001 MHz, 58.67 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:49.517, 0, P0, 442 MHz, 14001 MHz, 58.67 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:49.767, 0, P0, 442 MHz, 14001 MHz, 58.67 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:50.018, 0, P0, 277 MHz, 14001 MHz, 58.08 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:50.268, 0, P0, 277 MHz, 14001 MHz, 58.08 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:50.518, 0, P0, 277 MHz, 14001 MHz, 58.08 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:50.769, 0, P0, 277 MHz, 14001 MHz, 58.08 W, 600.00 W, 600.00 W, 47, 2 MiB, 0 %, 5, 16
2026/09/25 06:32:51.020, 0, P5, 180 MHz, 810 MHz, 49.27 W, 600.00 W, 600.00 W, 46, 2 MiB, 0 %, 2, 16
2026/09/25 06:32:51.270, 0, P5, 180 MHz, 810 MHz, 49.27 W, 600.00 W, 600.00 W, 46, 2 MiB, 0 %, 2, 16
