timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/26 15:30:23.776, 0, P0, 2835 MHz, 14001 MHz, 120.66 W, 600.00 W, 600.00 W, 66, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:24.029, 0, P0, 2835 MHz, 14001 MHz, 120.66 W, 600.00 W, 600.00 W, 66, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:24.279, 0, P0, 2835 MHz, 14001 MHz, 120.66 W, 600.00 W, 600.00 W, 66, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:24.529, 0, P0, 2835 MHz, 14001 MHz, 120.66 W, 600.00 W, 600.00 W, 66, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:24.780, 0, P0, 652 MHz, 14001 MHz, 93.58 W, 600.00 W, 600.00 W, 64, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:25.030, 0, P0, 652 MHz, 14001 MHz, 93.58 W, 600.00 W, 600.00 W, 64, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:25.280, 0, P0, 652 MHz, 14001 MHz, 93.58 W, 600.00 W, 600.00 W, 64, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:25.531, 0, P0, 652 MHz, 14001 MHz, 93.58 W, 600.00 W, 600.00 W, 64, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:25.781, 0, P0, 412 MHz, 14001 MHz, 75.71 W, 600.00 W, 600.00 W, 63, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:26.031, 0, P0, 412 MHz, 14001 MHz, 75.71 W, 600.00 W, 600.00 W, 63, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:26.282, 0, P0, 412 MHz, 14001 MHz, 75.71 W, 600.00 W, 600.00 W, 63, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:26.532, 0, P0, 412 MHz, 14001 MHz, 75.71 W, 600.00 W, 600.00 W, 63, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:26.782, 0, P0, 262 MHz, 14001 MHz, 56.98 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:27.033, 0, P0, 262 MHz, 14001 MHz, 56.98 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:27.283, 0, P0, 262 MHz, 14001 MHz, 56.98 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:27.533, 0, P0, 262 MHz, 14001 MHz, 56.98 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:27.784, 0, P3, 180 MHz, 7001 MHz, 55.46 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:28.034, 0, P3, 180 MHz, 7001 MHz, 55.46 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 5, 16
2026/09/26 15:30:28.285, 0, P5, 180 MHz, 7001 MHz, 55.46 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 2, 16
2026/09/26 15:30:28.535, 0, P5, 180 MHz, 7001 MHz, 55.46 W, 600.00 W, 600.00 W, 62, 2 MiB, 0 %, 2, 16
2026/09/26 15:30:28.786, 0, P5, 180 MHz, 810 MHz, 31.79 W, 600.00 W, 600.00 W, 61, 2 MiB, 0 %, 2, 16
2026/09/26 15:30:29.036, 0, P5, 180 MHz, 810 MHz, 31.79 W, 600.00 W, 600.00 W, 61, 2 MiB, 0 %, 2, 16
2026/09/26 15:30:29.287, 0, P5, 180 MHz, 810 MHz, 31.79 W, 600.00 W, 600.00 W, 61, 2 MiB, 0 %, 2, 16
