timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 09:32:40.399, 0, P0, 2827 MHz, 14001 MHz, 126.41 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 5, 16
2026/09/25 09:32:40.652, 0, P0, 2827 MHz, 14001 MHz, 101.90 W, 600.00 W, 600.00 W, 56, 1134 MiB, 0 %, 5, 16
2026/09/25 09:32:40.904, 0, P0, 2827 MHz, 14001 MHz, 101.90 W, 600.00 W, 600.00 W, 56, 3355 MiB, 0 %, 5, 16
2026/09/25 09:32:41.155, 0, P1, 2647 MHz, 13365 MHz, 100.21 W, 600.00 W, 600.00 W, 57, 5577 MiB, 2 %, 5, 16
2026/09/25 09:32:41.406, 0, P1, 2647 MHz, 13365 MHz, 100.21 W, 600.00 W, 600.00 W, 57, 7800 MiB, 2 %, 5, 16
2026/09/25 09:32:41.660, 0, P1, 2722 MHz, 13365 MHz, 108.14 W, 600.00 W, 600.00 W, 57, 8576 MiB, 39 %, 5, 16
2026/09/25 09:32:41.910, 0, P1, 2722 MHz, 13365 MHz, 108.14 W, 600.00 W, 600.00 W, 57, 8540 MiB, 39 %, 5, 16
2026/09/25 09:32:42.161, 0, P1, 2827 MHz, 13365 MHz, 127.57 W, 600.00 W, 600.00 W, 57, 8528 MiB, 49 %, 5, 16
2026/09/25 09:32:42.411, 0, P1, 2827 MHz, 13365 MHz, 127.57 W, 600.00 W, 600.00 W, 57, 8528 MiB, 49 %, 5, 16
2026/09/25 09:32:42.662, 0, P1, 2827 MHz, 13365 MHz, 123.80 W, 600.00 W, 600.00 W, 57, 8492 MiB, 81 %, 5, 16
2026/09/25 09:32:42.913, 0, P1, 2827 MHz, 13365 MHz, 123.80 W, 600.00 W, 600.00 W, 57, 2 MiB, 0 %, 5, 16
2026/09/25 09:32:43.422, 0, P1, 2827 MHz, 13365 MHz, 123.26 W, 600.00 W, 600.00 W, 57, 1134 MiB, 0 %, 5, 16
2026/09/25 09:32:43.672, 0, P1, 2827 MHz, 13365 MHz, 131.00 W, 600.00 W, 600.00 W, 57, 3450 MiB, 2 %, 5, 16
2026/09/25 09:32:43.923, 0, P1, 2827 MHz, 13365 MHz, 131.00 W, 600.00 W, 600.00 W, 57, 6131 MiB, 2 %, 5, 16
2026/09/25 09:32:44.174, 0, P1, 2827 MHz, 13365 MHz, 131.24 W, 600.00 W, 600.00 W, 57, 7812 MiB, 2 %, 5, 16
2026/09/25 09:32:44.424, 0, P1, 2827 MHz, 13365 MHz, 131.24 W, 600.00 W, 600.00 W, 57, 8576 MiB, 2 %, 5, 16
2026/09/25 09:32:44.675, 0, P1, 2827 MHz, 13365 MHz, 133.43 W, 600.00 W, 600.00 W, 57, 8570 MiB, 100 %, 5, 16
2026/09/25 09:32:44.925, 0, P1, 2827 MHz, 13365 MHz, 133.43 W, 600.00 W, 600.00 W, 57, 8560 MiB, 100 %, 5, 16
2026/09/25 09:32:45.175, 0, P1, 2827 MHz, 13365 MHz, 127.21 W, 600.00 W, 600.00 W, 56, 8560 MiB, 0 %, 5, 16
2026/09/25 09:32:45.426, 0, P1, 2827 MHz, 13365 MHz, 127.21 W, 600.00 W, 600.00 W, 56, 8492 MiB, 0 %, 5, 16
2026/09/25 09:32:45.678, 0, P1, 2827 MHz, 13365 MHz, 122.28 W, 600.00 W, 600.00 W, 57, 2 MiB, 0 %, 5, 16
2026/09/25 09:32:46.183, 0, P0, 2827 MHz, 14001 MHz, 127.17 W, 600.00 W, 600.00 W, 56, 1134 MiB, 0 %, 5, 16
2026/09/25 09:32:46.435, 0, P0, 2827 MHz, 14001 MHz, 127.17 W, 600.00 W, 600.00 W, 56, 3450 MiB, 0 %, 5, 16
2026/09/25 09:32:46.685, 0, P1, 2827 MHz, 13365 MHz, 130.97 W, 600.00 W, 600.00 W, 56, 6131 MiB, 2 %, 5, 16
2026/09/25 09:32:46.937, 0, P1, 2827 MHz, 13365 MHz, 130.97 W, 600.00 W, 600.00 W, 56, 7814 MiB, 2 %, 5, 16
2026/09/25 09:32:47.187, 0, P1, 2827 MHz, 13365 MHz, 129.42 W, 600.00 W, 600.00 W, 56, 8576 MiB, 49 %, 5, 16
2026/09/25 09:32:47.438, 0, P1, 2827 MHz, 13365 MHz, 129.42 W, 600.00 W, 600.00 W, 56, 8538 MiB, 49 %, 5, 16
2026/09/25 09:32:47.688, 0, P1, 2827 MHz, 13365 MHz, 131.94 W, 600.00 W, 600.00 W, 56, 8528 MiB, 39 %, 5, 16
2026/09/25 09:32:47.938, 0, P1, 2827 MHz, 13365 MHz, 131.94 W, 600.00 W, 600.00 W, 56, 8528 MiB, 39 %, 5, 16
2026/09/25 09:32:48.189, 0, P1, 2827 MHz, 13365 MHz, 123.37 W, 600.00 W, 600.00 W, 56, 8460 MiB, 91 %, 5, 16
2026/09/25 09:32:48.441, 0, P1, 2827 MHz, 13365 MHz, 123.37 W, 600.00 W, 600.00 W, 56, 2 MiB, 0 %, 5, 16
2026/09/25 09:32:48.891, 0, P1, 2827 MHz, 13365 MHz, 122.87 W, 600.00 W, 600.00 W, 56, 1134 MiB, 0 %, 5, 16
2026/09/25 09:32:49.142, 0, P1, 2827 MHz, 13365 MHz, 131.09 W, 600.00 W, 600.00 W, 56, 3910 MiB, 2 %, 5, 16
2026/09/25 09:32:49.395, 0, P1, 2827 MHz, 13365 MHz, 131.09 W, 600.00 W, 600.00 W, 56, 6132 MiB, 2 %, 5, 16
2026/09/25 09:32:49.646, 0, P1, 2827 MHz, 13365 MHz, 130.69 W, 600.00 W, 600.00 W, 56, 7892 MiB, 2 %, 5, 16
2026/09/25 09:32:49.896, 0, P1, 2827 MHz, 13365 MHz, 130.69 W, 600.00 W, 600.00 W, 56, 8374 MiB, 2 %, 5, 16
2026/09/25 09:32:50.146, 0, P1, 2827 MHz, 13365 MHz, 125.26 W, 600.00 W, 600.00 W, 56, 8344 MiB, 82 %, 5, 16
2026/09/25 09:32:50.397, 0, P1, 2827 MHz, 13365 MHz, 125.26 W, 600.00 W, 600.00 W, 56, 8376 MiB, 82 %, 5, 16
2026/09/25 09:32:50.647, 0, P1, 2827 MHz, 13365 MHz, 117.90 W, 600.00 W, 600.00 W, 55, 8346 MiB, 0 %, 5, 16
2026/09/25 09:32:50.897, 0, P1, 2827 MHz, 13365 MHz, 117.90 W, 600.00 W, 600.00 W, 55, 8346 MiB, 0 %, 5, 16
2026/09/25 09:32:51.147, 0, P1, 2827 MHz, 13365 MHz, 110.64 W, 600.00 W, 600.00 W, 55, 8346 MiB, 0 %, 5, 16
2026/09/25 09:32:51.398, 0, P1, 2827 MHz, 13365 MHz, 110.64 W, 600.00 W, 600.00 W, 55, 8346 MiB, 0 %, 5, 16
