timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/26 06:42:51.476, 43, 38.63 W, 180 MHz, 810 MHz, 2 MiB, 0 %
2026/09/26 06:42:51.730, 43, 38.63 W, 180 MHz, 810 MHz, 596 MiB, 0 %
2026/09/26 06:42:51.980, 44, 39.26 W, 180 MHz, 810 MHz, 1556 MiB, 0 %
2026/09/26 06:42:52.230, 44, 39.26 W, 180 MHz, 810 MHz, 2612 MiB, 0 %
2026/09/26 06:42:52.480, 44, 56.26 W, 2625 MHz, 13365 MHz, 3700 MiB, 15 %
2026/09/26 06:42:52.731, 44, 56.26 W, 2625 MHz, 13365 MHz, 4820 MiB, 15 %
2026/09/26 06:42:52.981, 44, 82.08 W, 2625 MHz, 13365 MHz, 5908 MiB, 15 %
2026/09/26 06:42:53.231, 44, 82.08 W, 2625 MHz, 13365 MHz, 6996 MiB, 15 %
2026/09/26 06:42:53.481, 44, 81.97 W, 2625 MHz, 13365 MHz, 8084 MiB, 14 %
2026/09/26 06:42:53.731, 44, 81.97 W, 2625 MHz, 13365 MHz, 9172 MiB, 14 %
2026/09/26 06:42:53.981, 44, 81.74 W, 2625 MHz, 13365 MHz, 10260 MiB, 15 %
2026/09/26 06:42:54.232, 44, 81.74 W, 2625 MHz, 13365 MHz, 11348 MiB, 15 %
2026/09/26 06:42:54.482, 44, 81.57 W, 2625 MHz, 13365 MHz, 12436 MiB, 15 %
2026/09/26 06:42:54.732, 44, 81.57 W, 2625 MHz, 13365 MHz, 13556 MiB, 15 %
2026/09/26 06:42:54.982, 44, 81.60 W, 2625 MHz, 13365 MHz, 14612 MiB, 15 %
2026/09/26 06:42:55.232, 44, 81.60 W, 2625 MHz, 13365 MHz, 14740 MiB, 15 %
2026/09/26 06:42:55.482, 44, 80.50 W, 2617 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:55.733, 44, 80.50 W, 2617 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:55.983, 44, 79.03 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:56.233, 44, 79.03 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:56.483, 43, 78.71 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:56.733, 43, 78.71 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:56.983, 43, 78.71 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:57.233, 43, 78.71 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:57.484, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:57.734, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:57.984, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:58.234, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:58.484, 43, 77.87 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:58.734, 43, 77.87 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:58.984, 43, 77.87 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:59.235, 43, 77.87 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:59.485, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:59.735, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:42:59.985, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:00.235, 43, 77.85 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:00.485, 43, 77.90 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:00.735, 43, 77.90 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:00.986, 43, 77.90 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:01.236, 43, 77.90 W, 2610 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:01.486, 43, 78.06 W, 2617 MHz, 13365 MHz, 14740 MiB, 0 %
2026/09/26 06:43:01.736, 43, 78.06 W, 2617 MHz, 13365 MHz, 15892 MiB, 0 %
2026/09/26 06:43:01.987, 49, 122.57 W, 2730 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 06:43:02.237, 49, 122.57 W, 2730 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 06:43:02.487, 50, 333.49 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 06:43:02.737, 50, 333.49 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 06:43:02.987, 52, 423.48 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 06:43:03.237, 52, 423.48 W, 2842 MHz, 13365 MHz, 15892 MiB, 100 %
2026/09/26 06:43:03.487, 52, 435.85 W, 2850 MHz, 13365 MHz, 15892 MiB, 99 %
2026/09/26 06:43:03.737, 52, 435.85 W, 2850 MHz, 13365 MHz, 16212 MiB, 99 %
2026/09/26 06:43:03.987, 52, 439.61 W, 2842 MHz, 13365 MHz, 16532 MiB, 100 %
2026/09/26 06:43:04.238, 52, 439.61 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:04.488, 52, 420.48 W, 2835 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:04.738, 52, 420.48 W, 2835 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:04.988, 53, 417.85 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:05.238, 53, 417.85 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:05.488, 53, 437.23 W, 2850 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:05.738, 53, 437.23 W, 2850 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:05.988, 53, 442.86 W, 2850 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.238, 53, 442.86 W, 2850 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.488, 53, 432.90 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.738, 53, 432.90 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:06.989, 54, 427.89 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.239, 54, 427.89 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.489, 54, 440.87 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.739, 54, 440.87 W, 2842 MHz, 13365 MHz, 16660 MiB, 100 %
2026/09/26 06:43:07.989, 54, 444.72 W, 2835 MHz, 13365 MHz, 16948 MiB, 100 %
2026/09/26 06:43:08.239, 54, 444.72 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:08.489, 54, 417.33 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:08.739, 54, 417.33 W, 2835 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:08.989, 54, 411.56 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
2026/09/26 06:43:09.240, 54, 411.56 W, 2842 MHz, 13365 MHz, 17140 MiB, 100 %
