timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/26 11:58:04.967, 72, 36.68 W, 1747 MHz, 14001 MHz, 85 MiB, 7 %
2026/09/26 11:58:05.220, 71, 35.96 W, 1732 MHz, 14001 MHz, 99 MiB, 8 %
2026/09/26 11:58:05.506, 71, 35.96 W, 1732 MHz, 14001 MHz, 380 MiB, 8 %
2026/09/26 11:58:05.757, 71, 35.34 W, 1732 MHz, 14001 MHz, 1244 MiB, 6 %
2026/09/26 11:58:06.007, 71, 35.34 W, 1732 MHz, 14001 MHz, 1756 MiB, 6 %
2026/09/26 11:58:06.257, 71, 36.20 W, 1755 MHz, 14001 MHz, 2364 MiB, 16 %
2026/09/26 11:58:06.507, 71, 36.20 W, 1755 MHz, 14001 MHz, 2972 MiB, 16 %
2026/09/26 11:58:06.757, 71, 37.13 W, 1732 MHz, 14001 MHz, 3580 MiB, 15 %
2026/09/26 11:58:07.008, 71, 37.13 W, 1732 MHz, 14001 MHz, 4188 MiB, 15 %
2026/09/26 11:58:07.258, 71, 37.03 W, 1740 MHz, 14001 MHz, 4828 MiB, 16 %
2026/09/26 11:58:07.508, 71, 37.03 W, 1740 MHz, 14001 MHz, 5436 MiB, 16 %
2026/09/26 11:58:07.758, 71, 36.94 W, 1740 MHz, 14001 MHz, 6044 MiB, 15 %
2026/09/26 11:58:08.008, 71, 36.94 W, 1740 MHz, 14001 MHz, 6652 MiB, 15 %
2026/09/26 11:58:08.259, 71, 36.97 W, 1747 MHz, 14001 MHz, 7260 MiB, 15 %
2026/09/26 11:58:08.509, 71, 36.97 W, 1747 MHz, 14001 MHz, 7868 MiB, 15 %
2026/09/26 11:58:08.759, 71, 37.18 W, 1755 MHz, 14001 MHz, 8444 MiB, 13 %
2026/09/26 11:58:09.009, 71, 37.18 W, 1755 MHz, 14001 MHz, 9116 MiB, 13 %
2026/09/26 11:58:09.259, 70, 37.24 W, 1755 MHz, 14001 MHz, 9724 MiB, 14 %
2026/09/26 11:58:09.509, 70, 37.24 W, 1755 MHz, 14001 MHz, 10332 MiB, 14 %
2026/09/26 11:58:09.760, 70, 37.20 W, 1755 MHz, 14001 MHz, 10876 MiB, 13 %
2026/09/26 11:58:10.010, 70, 37.20 W, 1755 MHz, 14001 MHz, 11548 MiB, 13 %
2026/09/26 11:58:10.260, 70, 37.19 W, 1762 MHz, 14001 MHz, 12156 MiB, 15 %
2026/09/26 11:58:10.510, 70, 37.19 W, 1762 MHz, 14001 MHz, 12828 MiB, 15 %
2026/09/26 11:58:10.760, 70, 37.11 W, 1755 MHz, 14001 MHz, 13436 MiB, 16 %
2026/09/26 11:58:11.011, 70, 37.11 W, 1755 MHz, 14001 MHz, 14044 MiB, 16 %
2026/09/26 11:58:11.261, 70, 36.92 W, 1740 MHz, 14001 MHz, 14524 MiB, 15 %
2026/09/26 11:58:11.511, 70, 36.92 W, 1740 MHz, 14001 MHz, 14524 MiB, 15 %
2026/09/26 11:58:11.761, 70, 36.66 W, 1747 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:12.012, 70, 36.66 W, 1747 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:12.262, 70, 35.88 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:12.512, 70, 35.88 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:12.762, 69, 35.45 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:13.012, 69, 35.45 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:13.262, 69, 35.48 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:13.513, 69, 35.48 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:13.763, 69, 35.44 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:14.013, 69, 35.44 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:14.263, 69, 35.39 W, 1725 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:14.514, 69, 35.39 W, 1725 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:14.764, 69, 35.31 W, 1725 MHz, 14001 MHz, 14524 MiB, 5 %
2026/09/26 11:58:15.014, 69, 35.31 W, 1725 MHz, 14001 MHz, 14524 MiB, 5 %
2026/09/26 11:58:15.264, 69, 35.29 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:15.515, 69, 35.29 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:15.765, 69, 35.30 W, 1725 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:16.015, 69, 35.30 W, 1725 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:16.265, 69, 35.31 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:16.515, 69, 35.31 W, 1732 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:16.766, 69, 35.28 W, 1725 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:17.016, 69, 35.28 W, 1725 MHz, 14001 MHz, 14524 MiB, 6 %
2026/09/26 11:58:17.266, 68, 35.19 W, 1725 MHz, 14001 MHz, 15676 MiB, 6 %
2026/09/26 11:58:17.516, 68, 35.19 W, 1725 MHz, 14001 MHz, 15676 MiB, 6 %
2026/09/26 11:58:17.767, 75, 56.32 W, 1747 MHz, 14001 MHz, 15676 MiB, 99 %
2026/09/26 11:58:18.017, 75, 56.32 W, 1747 MHz, 14001 MHz, 15676 MiB, 99 %
2026/09/26 11:58:18.267, 76, 122.29 W, 2220 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:18.517, 76, 122.29 W, 2220 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:18.767, 76, 172.03 W, 1950 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:19.018, 76, 172.03 W, 1950 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:19.268, 77, 171.68 W, 2242 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:19.518, 77, 171.68 W, 2242 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:19.768, 77, 171.86 W, 2017 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:20.018, 77, 171.86 W, 2017 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:20.269, 77, 171.00 W, 2205 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:20.519, 77, 171.00 W, 2205 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:20.769, 77, 171.90 W, 2122 MHz, 14001 MHz, 15676 MiB, 100 %
2026/09/26 11:58:21.019, 77, 171.90 W, 2122 MHz, 14001 MHz, 15996 MiB, 100 %
2026/09/26 11:58:21.270, 79, 171.20 W, 2092 MHz, 14001 MHz, 15996 MiB, 100 %
2026/09/26 11:58:21.520, 79, 171.20 W, 2092 MHz, 14001 MHz, 15996 MiB, 100 %
2026/09/26 11:58:21.770, 78, 171.64 W, 2107 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:22.020, 78, 171.64 W, 2107 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:22.271, 78, 170.65 W, 2152 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:22.521, 78, 170.65 W, 2152 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:22.771, 78, 171.26 W, 2137 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:23.021, 78, 171.26 W, 2137 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:23.271, 79, 171.15 W, 2182 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:23.522, 79, 171.15 W, 2182 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:23.772, 78, 171.27 W, 2107 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:24.022, 78, 171.27 W, 2107 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:24.272, 79, 171.55 W, 2055 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:24.522, 79, 171.55 W, 2055 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:24.772, 79, 171.53 W, 2122 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:25.022, 79, 171.53 W, 2122 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:25.273, 79, 171.39 W, 2032 MHz, 14001 MHz, 17340 MiB, 99 %
2026/09/26 11:58:25.523, 79, 171.39 W, 2032 MHz, 14001 MHz, 17340 MiB, 99 %
2026/09/26 11:58:25.773, 79, 171.44 W, 2085 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:26.023, 79, 171.44 W, 2085 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:26.273, 80, 171.40 W, 2077 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:26.524, 80, 171.40 W, 2077 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:26.774, 80, 171.22 W, 2160 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:27.024, 80, 171.22 W, 2160 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:27.274, 80, 171.35 W, 2077 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:27.524, 80, 171.35 W, 2077 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:27.774, 80, 171.34 W, 2002 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:28.025, 80, 171.34 W, 2002 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:28.275, 80, 171.32 W, 2017 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:28.525, 80, 171.32 W, 2017 MHz, 14001 MHz, 17340 MiB, 100 %
2026/09/26 11:58:28.775, 83, 171.20 W, 2032 MHz, 14001 MHz, 17340 MiB, 94 %
2026/09/26 11:58:29.025, 83, 171.20 W, 2032 MHz, 14001 MHz, 17340 MiB, 94 %
2026/09/26 11:58:29.275, 80, 171.13 W, 2070 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:29.526, 80, 171.13 W, 2070 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:29.776, 81, 169.27 W, 2197 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:30.026, 81, 169.27 W, 2197 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:30.276, 81, 170.87 W, 2137 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:30.526, 81, 170.87 W, 2137 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:30.776, 81, 172.22 W, 2167 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:31.027, 81, 172.22 W, 2167 MHz, 14001 MHz, 17788 MiB, 100 %
2026/09/26 11:58:31.277, 81, 170.68 W, 2107 MHz, 14001 MHz, 17788 MiB, 100 %
