timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/24 06:47:19.563, 78, 135.22 W, 1732 MHz, 14001 MHz, 15 MiB, 99 %
2026/09/24 06:47:19.817, 78, 135.22 W, 1732 MHz, 14001 MHz, 345 MiB, 99 %
2026/09/24 06:47:20.067, 77, 135.22 W, 1732 MHz, 14001 MHz, 342 MiB, 99 %
2026/09/24 06:47:20.318, 77, 135.22 W, 1732 MHz, 14001 MHz, 47 MiB, 99 %
2026/09/24 06:47:20.568, 78, 43.60 W, 1702 MHz, 14001 MHz, 311 MiB, 100 %
2026/09/24 06:47:20.818, 78, 43.60 W, 1702 MHz, 14001 MHz, 343 MiB, 100 %
2026/09/24 06:47:21.068, 79, 53.87 W, 1965 MHz, 14001 MHz, 343 MiB, 100 %
2026/09/24 06:47:21.319, 79, 53.87 W, 1965 MHz, 14001 MHz, 343 MiB, 100 %
2026/09/24 06:47:21.569, 76, 51.91 W, 1657 MHz, 14001 MHz, 343 MiB, 0 %
2026/09/24 06:47:21.819, 76, 51.91 W, 1657 MHz, 14001 MHz, 343 MiB, 0 %
2026/09/24 06:47:22.069, 77, 54.31 W, 2745 MHz, 14001 MHz, 345 MiB, 36 %
2026/09/24 06:47:22.320, 77, 54.31 W, 2745 MHz, 14001 MHz, 377 MiB, 36 %
2026/09/24 06:47:22.570, 76, 56.47 W, 2362 MHz, 14001 MHz, 15 MiB, 1 %
2026/09/24 06:47:22.820, 76, 56.47 W, 2362 MHz, 14001 MHz, 32 MiB, 1 %
2026/09/24 06:47:23.071, 75, 45.44 W, 2362 MHz, 14001 MHz, 313 MiB, 0 %
2026/09/24 06:47:23.321, 75, 45.44 W, 2362 MHz, 14001 MHz, 1465 MiB, 0 %
2026/09/24 06:47:23.571, 74, 34.08 W, 1612 MHz, 14001 MHz, 2713 MiB, 20 %
2026/09/24 06:47:23.821, 74, 34.08 W, 1612 MHz, 14001 MHz, 3801 MiB, 20 %
2026/09/24 06:47:24.071, 74, 34.11 W, 1642 MHz, 14001 MHz, 4377 MiB, 10 %
2026/09/24 06:47:24.322, 74, 34.11 W, 1642 MHz, 14001 MHz, 6585 MiB, 10 %
2026/09/24 06:47:24.572, 74, 39.62 W, 1792 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:24.822, 74, 39.62 W, 1792 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:25.072, 73, 37.94 W, 1590 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:25.323, 73, 37.94 W, 1590 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:25.573, 73, 31.74 W, 1590 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:25.823, 73, 31.74 W, 1590 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:26.073, 73, 31.57 W, 1590 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:26.323, 73, 31.57 W, 1590 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:26.573, 73, 31.48 W, 1597 MHz, 14001 MHz, 6585 MiB, 0 %
2026/09/24 06:47:26.824, 73, 31.48 W, 1597 MHz, 14001 MHz, 7225 MiB, 0 %
2026/09/24 06:47:27.074, 80, 71.64 W, 1980 MHz, 14001 MHz, 7225 MiB, 100 %
2026/09/24 06:47:27.324, 80, 71.64 W, 1980 MHz, 14001 MHz, 7225 MiB, 100 %
2026/09/24 06:47:27.574, 82, 136.62 W, 2280 MHz, 14001 MHz, 7225 MiB, 100 %
2026/09/24 06:47:27.824, 82, 136.62 W, 2280 MHz, 14001 MHz, 7225 MiB, 100 %
2026/09/24 06:47:28.074, 82, 171.43 W, 1837 MHz, 14001 MHz, 7353 MiB, 93 %
2026/09/24 06:47:28.325, 82, 171.43 W, 1837 MHz, 14001 MHz, 7513 MiB, 93 %
2026/09/24 06:47:28.575, 83, 171.23 W, 2287 MHz, 14001 MHz, 7513 MiB, 100 %
2026/09/24 06:47:28.825, 83, 171.23 W, 2287 MHz, 14001 MHz, 7513 MiB, 100 %
