2026-09-24T12:24:29Z label=pool tree=ba5da705d81d89cc25ac141eed3952ce5c6b1c66 binary=3d2b8c34d51eb877 runs_per_arm=100
2026-09-24T12:24:29Z hold taken (fd 9)
2026-09-24T12:24:31Z pair run 1 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.58s
2026-09-24T12:24:33Z pair run 2 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.55s
2026-09-24T12:24:35Z pair run 3 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.45s
2026-09-24T12:24:38Z pair run 4 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.34s
2026-09-24T12:24:39Z pair run 5 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.26s
2026-09-24T12:24:42Z pair run 6 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.48s
2026-09-24T12:24:43Z pair run 7 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.29s
2026-09-24T12:24:46Z pair run 8 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:24:48Z pair run 9 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.45s
2026-09-24T12:24:50Z pair run 10 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.34s
2026-09-24T12:24:52Z pair run 11 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.27s
2026-09-24T12:24:54Z pair run 12 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:24:56Z pair run 13 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.51s
2026-09-24T12:24:58Z pair run 14 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.28s
2026-09-24T12:25:00Z pair run 15 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:25:02Z pair run 16 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.50s
2026-09-24T12:25:04Z pair run 17 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.34s
2026-09-24T12:25:06Z pair run 18 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.33s
2026-09-24T12:25:08Z pair run 19 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:25:11Z pair run 20 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.51s
2026-09-24T12:25:12Z pair run 21 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.28s
2026-09-24T12:25:15Z pair run 22 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.55s
2026-09-24T12:25:17Z pair run 23 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.50s
2026-09-24T12:25:19Z pair run 24 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.29s
2026-09-24T12:25:21Z pair run 25 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:25:23Z pair run 26 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.50s
2026-09-24T12:25:25Z pair run 27 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.40s
2026-09-24T12:25:27Z pair run 28 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.45s
2026-09-24T12:25:29Z pair run 29 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.56s
2026-09-24T12:25:31Z pair run 30 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:25:33Z pair run 31 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.32s
2026-09-24T12:25:35Z pair run 32 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.33s
2026-09-24T12:25:37Z pair run 33 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:25:40Z pair run 34 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.57s
2026-09-24T12:25:42Z pair run 35 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.56s
2026-09-24T12:25:44Z pair run 36 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.43s
2026-09-24T12:25:46Z pair run 37 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.56s
2026-09-24T12:25:48Z pair run 38 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.50s
2026-09-24T12:25:50Z pair run 39 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.35s
2026-09-24T12:25:52Z pair run 40 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.54s
2026-09-24T12:25:55Z pair run 41 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.51s
2026-09-24T12:25:56Z pair run 42 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.29s
2026-09-24T12:25:59Z pair run 43 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:26:01Z pair run 44 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.39s
2026-09-24T12:26:03Z pair run 45 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.40s
2026-09-24T12:26:05Z pair run 46 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.49s
2026-09-24T12:26:07Z pair run 47 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.35s
2026-09-24T12:26:09Z pair run 48 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.43s
2026-09-24T12:26:11Z pair run 49 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.40s
2026-09-24T12:26:13Z pair run 50 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.48s
2026-09-24T12:26:15Z pair run 51 rc=0 test result: ok. 2 passed; 0 failed; 0 ignored; 0 measured; 585 filtered out; finished in 1.29s
