timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/20 16:23:42.167, 0, P8, 180 MHz, 405 MHz, 33.02 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:42.428, 0, P8, 180 MHz, 405 MHz, 33.27 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:42.679, 0, P8, 180 MHz, 405 MHz, 33.27 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:42.930, 0, P8, 180 MHz, 405 MHz, 33.27 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:43.181, 0, P8, 180 MHz, 405 MHz, 33.27 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:43.432, 0, P8, 180 MHz, 405 MHz, 33.42 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:43.683, 0, P8, 180 MHz, 405 MHz, 33.42 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:43.934, 0, P8, 180 MHz, 405 MHz, 33.42 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:44.184, 0, P8, 180 MHz, 405 MHz, 33.42 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:44.435, 0, P8, 180 MHz, 405 MHz, 33.47 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:44.686, 0, P8, 180 MHz, 405 MHz, 33.47 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:44.937, 0, P8, 180 MHz, 405 MHz, 33.47 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:45.188, 0, P8, 180 MHz, 405 MHz, 33.47 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:45.438, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:45.689, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:45.940, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:46.191, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:46.442, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:46.692, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:46.943, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:47.194, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:47.445, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:47.696, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:47.946, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:48.197, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:48.448, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:48.699, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:48.949, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:49.200, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:49.451, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:49.702, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:49.952, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:50.203, 0, P8, 180 MHz, 405 MHz, 33.52 W, 600.00 W, 600.00 W, 33, 0 MiB, 0 %, 1, 16
2026/09/20 16:23:50.454, 0, P8, 180 MHz, 405 MHz, 34.01 W, 600.00 W, 600.00 W, 33, 1 MiB, 0 %, 1, 16
2026/09/20 16:23:50.705, 0, P0, 180 MHz, 12481 MHz, 39.36 W, 600.00 W, 600.00 W, 34, 595 MiB, 0 %, 5, 16
2026/09/20 16:23:50.955, 0, P0, 2062 MHz, 12481 MHz, 48.34 W, 600.00 W, 600.00 W, 34, 1715 MiB, 4 %, 5, 16
2026/09/20 16:23:51.206, 0, P0, 2362 MHz, 12481 MHz, 52.78 W, 600.00 W, 600.00 W, 34, 2675 MiB, 8 %, 5, 16
2026/09/20 16:23:51.456, 0, P0, 2362 MHz, 12481 MHz, 78.18 W, 600.00 W, 600.00 W, 34, 3603 MiB, 8 %, 5, 16
2026/09/20 16:23:51.707, 0, P0, 2362 MHz, 12481 MHz, 89.76 W, 600.00 W, 600.00 W, 34, 4499 MiB, 7 %, 5, 16
2026/09/20 16:23:51.957, 0, P0, 2362 MHz, 12481 MHz, 89.99 W, 600.00 W, 600.00 W, 34, 5427 MiB, 7 %, 5, 16
2026/09/20 16:23:52.208, 0, P0, 2362 MHz, 12481 MHz, 90.01 W, 600.00 W, 600.00 W, 34, 6291 MiB, 7 %, 5, 16
2026/09/20 16:23:52.458, 0, P0, 2362 MHz, 12481 MHz, 89.96 W, 600.00 W, 600.00 W, 34, 7219 MiB, 7 %, 5, 16
2026/09/20 16:23:52.709, 0, P0, 2362 MHz, 12481 MHz, 90.01 W, 600.00 W, 600.00 W, 34, 8147 MiB, 6 %, 5, 16
2026/09/20 16:23:52.959, 0, P0, 2362 MHz, 12481 MHz, 89.95 W, 600.00 W, 600.00 W, 35, 9075 MiB, 6 %, 5, 16
2026/09/20 16:23:53.209, 0, P0, 2362 MHz, 12481 MHz, 89.97 W, 600.00 W, 600.00 W, 35, 9971 MiB, 7 %, 5, 16
2026/09/20 16:23:53.460, 0, P0, 2362 MHz, 12481 MHz, 90.05 W, 600.00 W, 600.00 W, 35, 10899 MiB, 8 %, 5, 16
2026/09/20 16:23:53.710, 0, P0, 2362 MHz, 12481 MHz, 90.08 W, 600.00 W, 600.00 W, 35, 11827 MiB, 7 %, 5, 16
2026/09/20 16:23:53.961, 0, P0, 2362 MHz, 12481 MHz, 90.09 W, 600.00 W, 600.00 W, 35, 12755 MiB, 7 %, 5, 16
2026/09/20 16:23:54.211, 0, P0, 2362 MHz, 12481 MHz, 90.06 W, 600.00 W, 600.00 W, 35, 13651 MiB, 7 %, 5, 16
2026/09/20 16:23:54.462, 0, P0, 2362 MHz, 12481 MHz, 90.08 W, 600.00 W, 600.00 W, 35, 16537 MiB, 7 %, 5, 16
2026/09/20 16:23:54.712, 0, P0, 2362 MHz, 12481 MHz, 151.22 W, 600.00 W, 600.00 W, 40, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:54.963, 0, P0, 2325 MHz, 12481 MHz, 201.59 W, 600.00 W, 600.00 W, 40, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:55.214, 0, P0, 2332 MHz, 12481 MHz, 276.11 W, 600.00 W, 600.00 W, 41, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:55.465, 0, P0, 2347 MHz, 12481 MHz, 330.16 W, 600.00 W, 600.00 W, 41, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:55.716, 0, P0, 2347 MHz, 12481 MHz, 344.80 W, 600.00 W, 600.00 W, 41, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:55.967, 0, P0, 2340 MHz, 12481 MHz, 345.51 W, 600.00 W, 600.00 W, 42, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:56.218, 0, P0, 2332 MHz, 12481 MHz, 347.51 W, 600.00 W, 600.00 W, 42, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:56.469, 0, P0, 2325 MHz, 12481 MHz, 350.54 W, 600.00 W, 600.00 W, 42, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:56.720, 0, P0, 2325 MHz, 12481 MHz, 355.12 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:56.971, 0, P0, 2332 MHz, 12481 MHz, 357.61 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:57.222, 0, P0, 2325 MHz, 12481 MHz, 357.60 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:57.474, 0, P0, 2325 MHz, 12481 MHz, 357.66 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:57.725, 0, P0, 2332 MHz, 12481 MHz, 357.70 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:57.976, 0, P0, 2325 MHz, 12481 MHz, 357.92 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:58.227, 0, P0, 2325 MHz, 12481 MHz, 358.27 W, 600.00 W, 600.00 W, 43, 16433 MiB, 96 %, 5, 16
2026/09/20 16:23:58.478, 0, P0, 2325 MHz, 12481 MHz, 359.06 W, 600.00 W, 600.00 W, 44, 16433 MiB, 96 %, 5, 16
