timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/20 16:01:37.295, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:37.559, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:37.810, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:38.061, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:38.312, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:38.562, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:38.813, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:39.064, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:39.315, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:39.566, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:39.816, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:40.067, 0, P8, 180 MHz, 405 MHz, 33.03 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:40.318, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:40.569, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:40.819, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:41.070, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:41.321, 0, P8, 180 MHz, 405 MHz, 32.79 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:41.572, 0, P8, 180 MHz, 405 MHz, 32.79 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:41.822, 0, P8, 180 MHz, 405 MHz, 32.79 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:42.073, 0, P8, 180 MHz, 405 MHz, 32.79 W, 600.00 W, 600.00 W, 35, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:42.324, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:42.575, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:42.825, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:43.076, 0, P8, 180 MHz, 405 MHz, 32.55 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:43.327, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:43.578, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:43.829, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:44.079, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:44.330, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:44.581, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:44.832, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:45.082, 0, P8, 180 MHz, 405 MHz, 32.54 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:45.333, 0, P8, 180 MHz, 405 MHz, 32.49 W, 600.00 W, 600.00 W, 34, 0 MiB, 0 %, 1, 16
2026/09/20 16:01:45.584, 0, P8, 180 MHz, 405 MHz, 32.49 W, 600.00 W, 600.00 W, 34, 22 MiB, 0 %, 1, 16
2026/09/20 16:01:45.834, 0, P0, 1515 MHz, 12481 MHz, 43.22 W, 600.00 W, 600.00 W, 35, 595 MiB, 0 %, 5, 16
2026/09/20 16:01:46.085, 0, P0, 2355 MHz, 12481 MHz, 48.40 W, 600.00 W, 600.00 W, 35, 1971 MiB, 12 %, 5, 16
2026/09/20 16:01:46.335, 0, P0, 2355 MHz, 12481 MHz, 73.10 W, 600.00 W, 600.00 W, 35, 2867 MiB, 7 %, 5, 16
2026/09/20 16:01:46.586, 0, P0, 2355 MHz, 12481 MHz, 75.64 W, 600.00 W, 600.00 W, 36, 3795 MiB, 6 %, 5, 16
2026/09/20 16:01:46.836, 0, P0, 2355 MHz, 12481 MHz, 90.63 W, 600.00 W, 600.00 W, 36, 4723 MiB, 8 %, 5, 16
2026/09/20 16:01:47.087, 0, P0, 2355 MHz, 12481 MHz, 90.51 W, 600.00 W, 600.00 W, 36, 5651 MiB, 8 %, 5, 16
2026/09/20 16:01:47.337, 0, P0, 2355 MHz, 12481 MHz, 90.42 W, 600.00 W, 600.00 W, 36, 6515 MiB, 7 %, 5, 16
2026/09/20 16:01:47.588, 0, P0, 2355 MHz, 12481 MHz, 90.44 W, 600.00 W, 600.00 W, 36, 7475 MiB, 7 %, 5, 16
2026/09/20 16:01:47.838, 0, P0, 2355 MHz, 12481 MHz, 90.48 W, 600.00 W, 600.00 W, 36, 8339 MiB, 6 %, 5, 16
2026/09/20 16:01:48.088, 0, P0, 2355 MHz, 12481 MHz, 90.48 W, 600.00 W, 600.00 W, 36, 9331 MiB, 7 %, 5, 16
2026/09/20 16:01:48.339, 0, P0, 2355 MHz, 12481 MHz, 90.51 W, 600.00 W, 600.00 W, 36, 10195 MiB, 7 %, 5, 16
2026/09/20 16:01:48.590, 0, P0, 2355 MHz, 12481 MHz, 90.57 W, 600.00 W, 600.00 W, 36, 11155 MiB, 8 %, 5, 16
2026/09/20 16:01:48.840, 0, P0, 2355 MHz, 12481 MHz, 90.58 W, 600.00 W, 600.00 W, 36, 12083 MiB, 7 %, 5, 16
2026/09/20 16:01:49.091, 0, P0, 2355 MHz, 12481 MHz, 90.59 W, 600.00 W, 600.00 W, 36, 12979 MiB, 8 %, 5, 16
2026/09/20 16:01:49.341, 0, P0, 2355 MHz, 12481 MHz, 90.61 W, 600.00 W, 600.00 W, 36, 13971 MiB, 7 %, 5, 16
2026/09/20 16:01:49.592, 0, P0, 2355 MHz, 12481 MHz, 94.71 W, 600.00 W, 600.00 W, 36, 15365 MiB, 6 %, 5, 16
2026/09/20 16:01:49.842, 0, P0, 2332 MHz, 12481 MHz, 172.24 W, 600.00 W, 600.00 W, 41, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:50.093, 0, P0, 2332 MHz, 12481 MHz, 224.61 W, 600.00 W, 600.00 W, 42, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:50.345, 0, P0, 2347 MHz, 12481 MHz, 302.45 W, 600.00 W, 600.00 W, 42, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:50.595, 0, P0, 2347 MHz, 12481 MHz, 349.44 W, 600.00 W, 600.00 W, 42, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:50.846, 0, P0, 2347 MHz, 12481 MHz, 346.86 W, 600.00 W, 600.00 W, 42, 15365 MiB, 97 %, 5, 16
2026/09/20 16:01:51.097, 0, P0, 2340 MHz, 12481 MHz, 347.36 W, 600.00 W, 600.00 W, 43, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:51.348, 0, P0, 2325 MHz, 12481 MHz, 349.93 W, 600.00 W, 600.00 W, 43, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:51.599, 0, P0, 2332 MHz, 12481 MHz, 352.05 W, 600.00 W, 600.00 W, 43, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:51.850, 0, P0, 2325 MHz, 12481 MHz, 357.82 W, 600.00 W, 600.00 W, 44, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:52.101, 0, P0, 2325 MHz, 12481 MHz, 358.57 W, 600.00 W, 600.00 W, 44, 15365 MiB, 96 %, 5, 16
2026/09/20 16:01:52.352, 0, P0, 2325 MHz, 12481 MHz, 359.17 W, 600.00 W, 600.00 W, 44, 15365 MiB, 96 %, 5, 16
