timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/20 23:38:46.846, 0, P8, 180 MHz, 405 MHz, 32.98 W, 600.00 W, 600.00 W, 32, 0 MiB, 0 %, 1, 16
2026/09/20 23:38:47.104, 0, P8, 180 MHz, 405 MHz, 32.98 W, 600.00 W, 600.00 W, 32, 1 MiB, 0 %, 1, 16
2026/09/20 23:38:47.377, 0, P0, 660 MHz, 12481 MHz, 42.51 W, 600.00 W, 600.00 W, 33, 595 MiB, 0 %, 5, 16
2026/09/20 23:38:47.628, 0, P0, 2362 MHz, 12481 MHz, 52.96 W, 600.00 W, 600.00 W, 33, 1491 MiB, 3 %, 5, 16
2026/09/20 23:38:47.878, 0, P0, 2362 MHz, 12481 MHz, 57.94 W, 600.00 W, 600.00 W, 33, 2419 MiB, 7 %, 5, 16
2026/09/20 23:38:48.129, 0, P0, 2362 MHz, 12481 MHz, 63.13 W, 600.00 W, 600.00 W, 34, 3315 MiB, 7 %, 5, 16
2026/09/20 23:38:48.379, 0, P0, 2362 MHz, 12481 MHz, 89.37 W, 600.00 W, 600.00 W, 34, 4211 MiB, 7 %, 5, 16
2026/09/20 23:38:48.630, 0, P0, 2362 MHz, 12481 MHz, 89.77 W, 600.00 W, 600.00 W, 34, 5075 MiB, 7 %, 5, 16
2026/09/20 23:38:48.880, 0, P0, 2362 MHz, 12481 MHz, 89.56 W, 600.00 W, 600.00 W, 34, 6003 MiB, 6 %, 5, 16
2026/09/20 23:38:49.131, 0, P0, 2362 MHz, 12481 MHz, 89.58 W, 600.00 W, 600.00 W, 34, 6867 MiB, 7 %, 5, 16
2026/09/20 23:38:49.381, 0, P0, 2362 MHz, 12481 MHz, 89.56 W, 600.00 W, 600.00 W, 34, 7731 MiB, 8 %, 5, 16
2026/09/20 23:38:49.632, 0, P0, 2362 MHz, 12481 MHz, 89.59 W, 600.00 W, 600.00 W, 34, 8659 MiB, 7 %, 5, 16
2026/09/20 23:38:49.882, 0, P0, 2362 MHz, 12481 MHz, 89.58 W, 600.00 W, 600.00 W, 34, 9523 MiB, 7 %, 5, 16
2026/09/20 23:38:50.133, 0, P0, 2362 MHz, 12481 MHz, 89.64 W, 600.00 W, 600.00 W, 34, 10451 MiB, 6 %, 5, 16
2026/09/20 23:38:50.383, 0, P0, 2362 MHz, 12481 MHz, 89.69 W, 600.00 W, 600.00 W, 34, 11347 MiB, 6 %, 5, 16
2026/09/20 23:38:50.634, 0, P0, 2362 MHz, 12481 MHz, 89.75 W, 600.00 W, 600.00 W, 34, 12275 MiB, 7 %, 5, 16
2026/09/20 23:38:50.884, 0, P0, 2362 MHz, 12481 MHz, 89.82 W, 600.00 W, 600.00 W, 34, 13203 MiB, 7 %, 5, 16
2026/09/20 23:38:51.134, 0, P0, 2362 MHz, 12481 MHz, 89.83 W, 600.00 W, 600.00 W, 34, 14067 MiB, 8 %, 5, 16
2026/09/20 23:38:51.385, 0, P0, 2362 MHz, 12481 MHz, 89.75 W, 600.00 W, 600.00 W, 34, 14739 MiB, 5 %, 5, 16
2026/09/20 23:38:51.635, 0, P0, 2362 MHz, 12481 MHz, 89.44 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:51.886, 0, P0, 2362 MHz, 12481 MHz, 88.89 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:52.136, 0, P0, 2362 MHz, 12481 MHz, 88.58 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:52.386, 0, P0, 2362 MHz, 12481 MHz, 88.19 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:52.637, 0, P0, 2362 MHz, 12481 MHz, 88.19 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:52.887, 0, P0, 2362 MHz, 12481 MHz, 88.19 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:53.137, 0, P0, 2362 MHz, 12481 MHz, 88.19 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:53.388, 0, P0, 2362 MHz, 12481 MHz, 86.78 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:53.638, 0, P0, 2362 MHz, 12481 MHz, 86.78 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:53.888, 0, P0, 2362 MHz, 12481 MHz, 86.78 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/20 23:38:54.138, 0, P0, 2370 MHz, 12481 MHz, 88.92 W, 600.00 W, 600.00 W, 34, 19219 MiB, 0 %, 5, 16
2026/09/20 23:38:54.389, 0, P0, 2362 MHz, 12481 MHz, 122.34 W, 600.00 W, 600.00 W, 43, 20947 MiB, 66 %, 5, 16
2026/09/20 23:38:54.640, 0, P0, 2377 MHz, 12481 MHz, 182.26 W, 600.00 W, 600.00 W, 46, 20947 MiB, 100 %, 5, 16
2026/09/20 23:38:54.890, 0, P0, 2422 MHz, 12481 MHz, 240.68 W, 600.00 W, 600.00 W, 47, 20947 MiB, 100 %, 5, 16
2026/09/20 23:38:55.141, 0, P0, 2422 MHz, 12481 MHz, 401.52 W, 600.00 W, 600.00 W, 47, 20947 MiB, 100 %, 5, 16
2026/09/20 23:38:55.391, 0, P0, 2422 MHz, 12481 MHz, 490.57 W, 600.00 W, 600.00 W, 48, 20979 MiB, 100 %, 5, 16
2026/09/20 23:38:55.642, 0, P0, 2422 MHz, 12481 MHz, 487.12 W, 600.00 W, 600.00 W, 48, 20979 MiB, 100 %, 5, 16
2026/09/20 23:38:55.892, 0, P0, 2422 MHz, 12481 MHz, 487.10 W, 600.00 W, 600.00 W, 48, 20979 MiB, 100 %, 5, 16
2026/09/20 23:38:56.143, 0, P0, 2422 MHz, 12481 MHz, 487.58 W, 600.00 W, 600.00 W, 48, 20979 MiB, 100 %, 5, 16
