timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 08:55:05.306, 0, P8, 180 MHz, 405 MHz, 32.84 W, 600.00 W, 600.00 W, 32, 0 MiB, 0 %, 1, 16
2026/09/21 08:55:05.566, 0, P8, 180 MHz, 405 MHz, 34.05 W, 600.00 W, 600.00 W, 33, 1 MiB, 0 %, 1, 16
2026/09/21 08:55:05.845, 0, P0, 1275 MHz, 12481 MHz, 41.63 W, 600.00 W, 600.00 W, 33, 595 MiB, 1 %, 5, 16
2026/09/21 08:55:06.095, 0, P0, 2362 MHz, 12481 MHz, 47.33 W, 600.00 W, 600.00 W, 34, 1491 MiB, 0 %, 5, 16
2026/09/21 08:55:06.346, 0, P0, 2362 MHz, 12481 MHz, 54.00 W, 600.00 W, 600.00 W, 34, 2387 MiB, 6 %, 5, 16
2026/09/21 08:55:06.596, 0, P0, 2362 MHz, 12481 MHz, 77.79 W, 600.00 W, 600.00 W, 34, 3283 MiB, 7 %, 5, 16
2026/09/21 08:55:06.847, 0, P0, 2362 MHz, 12481 MHz, 89.64 W, 600.00 W, 600.00 W, 34, 4179 MiB, 7 %, 5, 16
2026/09/21 08:55:07.097, 0, P0, 2362 MHz, 12481 MHz, 89.96 W, 600.00 W, 600.00 W, 34, 5075 MiB, 7 %, 5, 16
2026/09/21 08:55:07.348, 0, P0, 2362 MHz, 12481 MHz, 89.71 W, 600.00 W, 600.00 W, 34, 6003 MiB, 7 %, 5, 16
2026/09/21 08:55:07.598, 0, P0, 2362 MHz, 12481 MHz, 89.75 W, 600.00 W, 600.00 W, 34, 6867 MiB, 7 %, 5, 16
2026/09/21 08:55:07.849, 0, P0, 2362 MHz, 12481 MHz, 89.69 W, 600.00 W, 600.00 W, 34, 7731 MiB, 8 %, 5, 16
2026/09/21 08:55:08.099, 0, P0, 2362 MHz, 12481 MHz, 89.67 W, 600.00 W, 600.00 W, 34, 8627 MiB, 7 %, 5, 16
2026/09/21 08:55:08.350, 0, P0, 2362 MHz, 12481 MHz, 89.71 W, 600.00 W, 600.00 W, 34, 9523 MiB, 7 %, 5, 16
2026/09/21 08:55:08.600, 0, P0, 2362 MHz, 12481 MHz, 89.74 W, 600.00 W, 600.00 W, 34, 10387 MiB, 7 %, 5, 16
2026/09/21 08:55:08.851, 0, P0, 2362 MHz, 12481 MHz, 89.73 W, 600.00 W, 600.00 W, 34, 11315 MiB, 7 %, 5, 16
2026/09/21 08:55:09.101, 0, P0, 2362 MHz, 12481 MHz, 89.80 W, 600.00 W, 600.00 W, 34, 12211 MiB, 8 %, 5, 16
2026/09/21 08:55:09.352, 0, P0, 2362 MHz, 12481 MHz, 89.76 W, 600.00 W, 600.00 W, 34, 13139 MiB, 7 %, 5, 16
2026/09/21 08:55:09.602, 0, P0, 2362 MHz, 12481 MHz, 89.81 W, 600.00 W, 600.00 W, 34, 14067 MiB, 7 %, 5, 16
2026/09/21 08:55:09.853, 0, P0, 2362 MHz, 12481 MHz, 89.76 W, 600.00 W, 600.00 W, 34, 14739 MiB, 6 %, 5, 16
2026/09/21 08:55:10.103, 0, P0, 2362 MHz, 12481 MHz, 89.48 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:10.353, 0, P0, 2362 MHz, 12481 MHz, 88.99 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:10.604, 0, P0, 2362 MHz, 12481 MHz, 88.65 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:10.854, 0, P0, 2362 MHz, 12481 MHz, 88.29 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:11.104, 0, P0, 2362 MHz, 12481 MHz, 88.29 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:11.355, 0, P0, 2362 MHz, 12481 MHz, 88.29 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:11.605, 0, P0, 2362 MHz, 12481 MHz, 88.29 W, 600.00 W, 600.00 W, 34, 14739 MiB, 0 %, 5, 16
2026/09/21 08:55:11.855, 0, P0, 2362 MHz, 12481 MHz, 119.14 W, 600.00 W, 600.00 W, 41, 19699 MiB, 73 %, 5, 16
2026/09/21 08:55:12.106, 0, P0, 2385 MHz, 12481 MHz, 182.53 W, 600.00 W, 600.00 W, 45, 19699 MiB, 100 %, 5, 16
2026/09/21 08:55:12.356, 0, P0, 2422 MHz, 12481 MHz, 242.74 W, 600.00 W, 600.00 W, 47, 19699 MiB, 100 %, 5, 16
2026/09/21 08:55:12.608, 0, P0, 2422 MHz, 12481 MHz, 271.04 W, 600.00 W, 600.00 W, 46, 19699 MiB, 100 %, 5, 16
2026/09/21 08:55:12.859, 0, P0, 2422 MHz, 12481 MHz, 491.29 W, 600.00 W, 600.00 W, 47, 19699 MiB, 100 %, 5, 16
2026/09/21 08:55:13.109, 0, P0, 2422 MHz, 12481 MHz, 485.86 W, 600.00 W, 600.00 W, 49, 19699 MiB, 100 %, 5, 16
2026/09/21 08:55:13.359, 0, P0, 2422 MHz, 12481 MHz, 484.51 W, 600.00 W, 600.00 W, 48, 19699 MiB, 100 %, 5, 16
2026/09/21 08:55:13.611, 0, P0, 2422 MHz, 12481 MHz, 483.43 W, 600.00 W, 600.00 W, 48, 19699 MiB, 100 %, 5, 16
