timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 11:53:55.970, 0, P0, 2355 MHz, 12481 MHz, 183.83 W, 600.00 W, 600.00 W, 42, 0 MiB, 0 %, 5, 16
2026/09/21 11:53:56.223, 0, P0, 2355 MHz, 12481 MHz, 135.45 W, 600.00 W, 600.00 W, 42, 595 MiB, 0 %, 5, 16
2026/09/21 11:53:56.474, 0, P0, 2355 MHz, 12481 MHz, 97.36 W, 600.00 W, 600.00 W, 42, 1459 MiB, 1 %, 5, 16
2026/09/21 11:53:56.724, 0, P0, 2355 MHz, 12481 MHz, 94.67 W, 600.00 W, 600.00 W, 42, 2323 MiB, 6 %, 5, 16
2026/09/21 11:53:56.975, 0, P0, 2355 MHz, 12481 MHz, 94.93 W, 600.00 W, 600.00 W, 41, 3251 MiB, 7 %, 5, 16
2026/09/21 11:53:57.225, 0, P0, 2355 MHz, 12481 MHz, 93.66 W, 600.00 W, 600.00 W, 41, 4211 MiB, 7 %, 5, 16
2026/09/21 11:53:57.476, 0, P0, 2355 MHz, 12481 MHz, 93.87 W, 600.00 W, 600.00 W, 41, 5139 MiB, 7 %, 5, 16
2026/09/21 11:53:57.726, 0, P0, 2355 MHz, 12481 MHz, 93.62 W, 600.00 W, 600.00 W, 41, 6067 MiB, 7 %, 5, 16
2026/09/21 11:53:57.977, 0, P0, 2355 MHz, 12481 MHz, 93.55 W, 600.00 W, 600.00 W, 41, 6963 MiB, 7 %, 5, 16
2026/09/21 11:53:58.227, 0, P0, 2355 MHz, 12481 MHz, 93.50 W, 600.00 W, 600.00 W, 41, 7891 MiB, 7 %, 5, 16
2026/09/21 11:53:58.478, 0, P0, 2355 MHz, 12481 MHz, 93.42 W, 600.00 W, 600.00 W, 41, 8755 MiB, 7 %, 5, 16
2026/09/21 11:53:58.728, 0, P0, 2355 MHz, 12481 MHz, 93.31 W, 600.00 W, 600.00 W, 41, 9715 MiB, 8 %, 5, 16
2026/09/21 11:53:58.979, 0, P0, 2355 MHz, 12481 MHz, 93.36 W, 600.00 W, 600.00 W, 41, 10707 MiB, 7 %, 5, 16
2026/09/21 11:53:59.229, 0, P0, 2355 MHz, 12481 MHz, 93.34 W, 600.00 W, 600.00 W, 41, 11603 MiB, 8 %, 5, 16
2026/09/21 11:53:59.480, 0, P0, 2355 MHz, 12481 MHz, 93.35 W, 600.00 W, 600.00 W, 41, 12531 MiB, 8 %, 5, 16
2026/09/21 11:53:59.730, 0, P0, 2355 MHz, 12481 MHz, 93.37 W, 600.00 W, 600.00 W, 41, 13459 MiB, 7 %, 5, 16
2026/09/21 11:53:59.981, 0, P0, 2355 MHz, 12481 MHz, 93.30 W, 600.00 W, 600.00 W, 41, 14419 MiB, 8 %, 5, 16
2026/09/21 11:54:00.231, 0, P0, 2355 MHz, 12481 MHz, 93.01 W, 600.00 W, 600.00 W, 41, 14739 MiB, 7 %, 5, 16
2026/09/21 11:54:00.482, 0, P0, 2355 MHz, 12481 MHz, 92.61 W, 600.00 W, 600.00 W, 41, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:00.732, 0, P0, 2355 MHz, 12481 MHz, 91.99 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:00.982, 0, P0, 2355 MHz, 12481 MHz, 91.61 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:01.233, 0, P0, 2355 MHz, 12481 MHz, 91.34 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:01.483, 0, P0, 2355 MHz, 12481 MHz, 91.34 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:01.733, 0, P0, 2355 MHz, 12481 MHz, 91.34 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:01.983, 0, P0, 2355 MHz, 12481 MHz, 91.34 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 11:54:02.234, 0, P0, 2355 MHz, 12481 MHz, 95.83 W, 600.00 W, 600.00 W, 40, 17619 MiB, 0 %, 5, 16
2026/09/21 11:54:02.484, 0, P0, 2362 MHz, 12481 MHz, 133.76 W, 600.00 W, 600.00 W, 46, 17811 MiB, 74 %, 5, 16
2026/09/21 11:54:02.735, 0, P0, 2415 MHz, 12481 MHz, 156.41 W, 600.00 W, 600.00 W, 44, 17811 MiB, 98 %, 5, 16
2026/09/21 11:54:02.985, 0, P0, 2422 MHz, 12481 MHz, 171.72 W, 600.00 W, 600.00 W, 45, 17845 MiB, 98 %, 5, 16
