timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 12:34:04.368, 0, P0, 2355 MHz, 12481 MHz, 95.41 W, 600.00 W, 600.00 W, 41, 0 MiB, 0 %, 5, 16
2026/09/21 12:34:04.621, 0, P0, 2355 MHz, 12481 MHz, 95.94 W, 600.00 W, 600.00 W, 41, 22 MiB, 0 %, 5, 16
2026/09/21 12:34:04.872, 0, P0, 2355 MHz, 12481 MHz, 96.64 W, 600.00 W, 600.00 W, 41, 595 MiB, 0 %, 5, 16
2026/09/21 12:34:05.123, 0, P0, 2355 MHz, 12481 MHz, 93.70 W, 600.00 W, 600.00 W, 41, 1811 MiB, 12 %, 5, 16
2026/09/21 12:34:05.373, 0, P0, 2355 MHz, 12481 MHz, 93.95 W, 600.00 W, 600.00 W, 41, 2739 MiB, 7 %, 5, 16
2026/09/21 12:34:05.624, 0, P0, 2347 MHz, 12481 MHz, 93.72 W, 600.00 W, 600.00 W, 40, 3635 MiB, 7 %, 5, 16
2026/09/21 12:34:05.874, 0, P0, 2347 MHz, 12481 MHz, 93.02 W, 600.00 W, 600.00 W, 40, 4563 MiB, 8 %, 5, 16
2026/09/21 12:34:06.125, 0, P0, 2355 MHz, 12481 MHz, 92.94 W, 600.00 W, 600.00 W, 40, 5491 MiB, 7 %, 5, 16
2026/09/21 12:34:06.375, 0, P0, 2355 MHz, 12481 MHz, 92.93 W, 600.00 W, 600.00 W, 40, 6419 MiB, 8 %, 5, 16
2026/09/21 12:34:06.626, 0, P0, 2355 MHz, 12481 MHz, 92.89 W, 600.00 W, 600.00 W, 40, 7283 MiB, 7 %, 5, 16
2026/09/21 12:34:06.876, 0, P0, 2355 MHz, 12481 MHz, 92.95 W, 600.00 W, 600.00 W, 40, 8147 MiB, 7 %, 5, 16
2026/09/21 12:34:07.127, 0, P0, 2355 MHz, 12481 MHz, 92.89 W, 600.00 W, 600.00 W, 40, 9075 MiB, 7 %, 5, 16
2026/09/21 12:34:07.377, 0, P0, 2355 MHz, 12481 MHz, 92.89 W, 600.00 W, 600.00 W, 40, 9971 MiB, 7 %, 5, 16
2026/09/21 12:34:07.628, 0, P0, 2355 MHz, 12481 MHz, 92.94 W, 600.00 W, 600.00 W, 40, 10899 MiB, 7 %, 5, 16
2026/09/21 12:34:07.878, 0, P0, 2355 MHz, 12481 MHz, 92.92 W, 600.00 W, 600.00 W, 40, 11827 MiB, 8 %, 5, 16
2026/09/21 12:34:08.129, 0, P0, 2355 MHz, 12481 MHz, 92.91 W, 600.00 W, 600.00 W, 40, 12691 MiB, 7 %, 5, 16
2026/09/21 12:34:08.379, 0, P0, 2355 MHz, 12481 MHz, 92.85 W, 600.00 W, 600.00 W, 40, 13619 MiB, 8 %, 5, 16
2026/09/21 12:34:08.630, 0, P0, 2355 MHz, 12481 MHz, 92.82 W, 600.00 W, 600.00 W, 40, 14515 MiB, 6 %, 5, 16
2026/09/21 12:34:08.880, 0, P0, 2355 MHz, 12481 MHz, 92.62 W, 600.00 W, 600.00 W, 40, 14739 MiB, 7 %, 5, 16
2026/09/21 12:34:09.131, 0, P0, 2355 MHz, 12481 MHz, 92.06 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 12:34:09.381, 0, P0, 2355 MHz, 12481 MHz, 91.67 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 12:34:09.631, 0, P0, 2355 MHz, 12481 MHz, 91.17 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 12:34:09.881, 0, P0, 2355 MHz, 12481 MHz, 91.02 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 12:34:10.132, 0, P0, 2355 MHz, 12481 MHz, 91.02 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 12:34:10.382, 0, P0, 2355 MHz, 12481 MHz, 91.02 W, 600.00 W, 600.00 W, 40, 14739 MiB, 0 %, 5, 16
2026/09/21 12:34:10.632, 0, P0, 2355 MHz, 12481 MHz, 113.91 W, 600.00 W, 600.00 W, 39, 19859 MiB, 0 %, 5, 16
2026/09/21 12:34:10.883, 0, P0, 2355 MHz, 12481 MHz, 185.91 W, 600.00 W, 600.00 W, 50, 19859 MiB, 83 %, 5, 16
2026/09/21 12:34:11.134, 0, P0, 2422 MHz, 12481 MHz, 252.35 W, 600.00 W, 600.00 W, 52, 19859 MiB, 100 %, 5, 16
2026/09/21 12:34:11.384, 0, P0, 2422 MHz, 12481 MHz, 283.08 W, 600.00 W, 600.00 W, 51, 19859 MiB, 100 %, 5, 16
2026/09/21 12:34:11.635, 0, P0, 2422 MHz, 12481 MHz, 493.43 W, 600.00 W, 600.00 W, 52, 19891 MiB, 100 %, 5, 16
2026/09/21 12:34:11.885, 0, P0, 2422 MHz, 12481 MHz, 493.12 W, 600.00 W, 600.00 W, 52, 19891 MiB, 100 %, 5, 16
2026/09/21 12:34:12.136, 0, P0, 2422 MHz, 12481 MHz, 494.02 W, 600.00 W, 600.00 W, 53, 19891 MiB, 100 %, 5, 16
