timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 12:34:45.676, 0, P0, 2422 MHz, 12481 MHz, 90.85 W, 600.00 W, 600.00 W, 45, 0 MiB, 0 %, 5, 16
2026/09/21 12:34:45.929, 0, P0, 2422 MHz, 12481 MHz, 91.72 W, 600.00 W, 600.00 W, 45, 595 MiB, 0 %, 5, 16
2026/09/21 12:34:46.180, 0, P0, 2422 MHz, 12481 MHz, 91.82 W, 600.00 W, 600.00 W, 45, 595 MiB, 2 %, 5, 16
2026/09/21 12:34:46.430, 0, P0, 2422 MHz, 12481 MHz, 88.71 W, 600.00 W, 600.00 W, 45, 1971 MiB, 17 %, 5, 16
2026/09/21 12:34:46.680, 0, P0, 2422 MHz, 12481 MHz, 89.33 W, 600.00 W, 600.00 W, 45, 2835 MiB, 7 %, 5, 16
2026/09/21 12:34:46.931, 0, P0, 2422 MHz, 12481 MHz, 89.56 W, 600.00 W, 600.00 W, 45, 3763 MiB, 7 %, 5, 16
2026/09/21 12:34:47.181, 0, P0, 2422 MHz, 12481 MHz, 89.92 W, 600.00 W, 600.00 W, 45, 4627 MiB, 8 %, 5, 16
2026/09/21 12:34:47.432, 0, P0, 2422 MHz, 12481 MHz, 90.15 W, 600.00 W, 600.00 W, 44, 5491 MiB, 8 %, 5, 16
2026/09/21 12:34:47.682, 0, P0, 2422 MHz, 12481 MHz, 90.11 W, 600.00 W, 600.00 W, 44, 6419 MiB, 8 %, 5, 16
2026/09/21 12:34:47.933, 0, P0, 2422 MHz, 12481 MHz, 90.24 W, 600.00 W, 600.00 W, 44, 7283 MiB, 7 %, 5, 16
2026/09/21 12:34:48.183, 0, P0, 2370 MHz, 12481 MHz, 91.32 W, 600.00 W, 600.00 W, 44, 8147 MiB, 7 %, 5, 16
2026/09/21 12:34:48.434, 0, P0, 2355 MHz, 12481 MHz, 92.79 W, 600.00 W, 600.00 W, 44, 9075 MiB, 6 %, 5, 16
2026/09/21 12:34:48.684, 0, P0, 2355 MHz, 12481 MHz, 93.77 W, 600.00 W, 600.00 W, 44, 9939 MiB, 8 %, 5, 16
2026/09/21 12:34:48.934, 0, P0, 2355 MHz, 12481 MHz, 95.11 W, 600.00 W, 600.00 W, 44, 10835 MiB, 6 %, 5, 16
2026/09/21 12:34:49.185, 0, P0, 2355 MHz, 12481 MHz, 95.09 W, 600.00 W, 600.00 W, 44, 11763 MiB, 8 %, 5, 16
2026/09/21 12:34:49.435, 0, P0, 2355 MHz, 12481 MHz, 94.94 W, 600.00 W, 600.00 W, 44, 12627 MiB, 7 %, 5, 16
2026/09/21 12:34:49.686, 0, P0, 2355 MHz, 12481 MHz, 94.89 W, 600.00 W, 600.00 W, 43, 13555 MiB, 6 %, 5, 16
2026/09/21 12:34:49.936, 0, P0, 2355 MHz, 12481 MHz, 94.83 W, 600.00 W, 600.00 W, 43, 14419 MiB, 7 %, 5, 16
2026/09/21 12:34:50.187, 0, P0, 2355 MHz, 12481 MHz, 94.66 W, 600.00 W, 600.00 W, 43, 14739 MiB, 7 %, 5, 16
2026/09/21 12:34:50.437, 0, P0, 2355 MHz, 12481 MHz, 119.73 W, 600.00 W, 600.00 W, 43, 19539 MiB, 0 %, 5, 16
2026/09/21 12:34:50.688, 0, P0, 2392 MHz, 12481 MHz, 197.47 W, 600.00 W, 600.00 W, 52, 19539 MiB, 100 %, 5, 16
2026/09/21 12:34:50.938, 0, P0, 2422 MHz, 12481 MHz, 319.61 W, 600.00 W, 600.00 W, 53, 19539 MiB, 100 %, 5, 16
2026/09/21 12:34:51.189, 0, P0, 2422 MHz, 12481 MHz, 399.81 W, 600.00 W, 600.00 W, 55, 19539 MiB, 100 %, 5, 16
2026/09/21 12:34:51.439, 0, P0, 2422 MHz, 12481 MHz, 496.35 W, 600.00 W, 600.00 W, 55, 19539 MiB, 100 %, 5, 16
2026/09/21 12:34:51.690, 0, P0, 2422 MHz, 12481 MHz, 464.03 W, 600.00 W, 600.00 W, 50, 19573 MiB, 95 %, 5, 16
2026/09/21 12:34:51.941, 0, P0, 2415 MHz, 12481 MHz, 420.15 W, 600.00 W, 600.00 W, 49, 17429 MiB, 96 %, 5, 16
