timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 20:05:38.870, 0, P0, 180 MHz, 12481 MHz, 51.80 W, 600.00 W, 600.00 W, 41, 0 MiB, 0 %, 5, 16
2026/09/21 20:05:39.126, 0, P0, 765 MHz, 12481 MHz, 55.16 W, 600.00 W, 600.00 W, 42, 595 MiB, 0 %, 5, 16
2026/09/21 20:05:39.376, 0, P0, 765 MHz, 12481 MHz, 59.79 W, 600.00 W, 600.00 W, 42, 595 MiB, 2 %, 5, 16
2026/09/21 20:05:39.627, 0, P0, 2355 MHz, 12481 MHz, 65.25 W, 600.00 W, 600.00 W, 42, 1971 MiB, 18 %, 5, 16
2026/09/21 20:05:39.877, 0, P0, 2355 MHz, 12481 MHz, 82.70 W, 600.00 W, 600.00 W, 42, 2867 MiB, 7 %, 5, 16
2026/09/21 20:05:40.128, 0, P0, 2355 MHz, 12481 MHz, 93.66 W, 600.00 W, 600.00 W, 42, 3795 MiB, 6 %, 5, 16
2026/09/21 20:05:40.378, 0, P0, 2355 MHz, 12481 MHz, 93.96 W, 600.00 W, 600.00 W, 42, 4723 MiB, 7 %, 5, 16
2026/09/21 20:05:40.629, 0, P0, 2355 MHz, 12481 MHz, 93.80 W, 600.00 W, 600.00 W, 42, 5651 MiB, 7 %, 5, 16
2026/09/21 20:05:40.879, 0, P0, 2355 MHz, 12481 MHz, 93.78 W, 600.00 W, 600.00 W, 42, 6515 MiB, 7 %, 5, 16
2026/09/21 20:05:41.130, 0, P0, 2355 MHz, 12481 MHz, 93.76 W, 600.00 W, 600.00 W, 42, 7443 MiB, 7 %, 5, 16
2026/09/21 20:05:41.380, 0, P0, 2355 MHz, 12481 MHz, 93.82 W, 600.00 W, 600.00 W, 42, 8339 MiB, 8 %, 5, 16
2026/09/21 20:05:41.631, 0, P0, 2355 MHz, 12481 MHz, 93.76 W, 600.00 W, 600.00 W, 42, 9267 MiB, 7 %, 5, 16
2026/09/21 20:05:41.881, 0, P0, 2355 MHz, 12481 MHz, 93.74 W, 600.00 W, 600.00 W, 42, 10195 MiB, 6 %, 5, 16
2026/09/21 20:05:42.131, 0, P0, 2355 MHz, 12481 MHz, 93.75 W, 600.00 W, 600.00 W, 41, 11091 MiB, 7 %, 5, 16
2026/09/21 20:05:42.382, 0, P0, 2355 MHz, 12481 MHz, 93.71 W, 600.00 W, 600.00 W, 41, 11955 MiB, 7 %, 5, 16
2026/09/21 20:05:42.632, 0, P0, 2355 MHz, 12481 MHz, 93.68 W, 600.00 W, 600.00 W, 41, 12851 MiB, 7 %, 5, 16
2026/09/21 20:05:42.883, 0, P0, 2355 MHz, 12481 MHz, 93.63 W, 600.00 W, 600.00 W, 41, 13747 MiB, 7 %, 5, 16
2026/09/21 20:05:43.133, 0, P0, 2355 MHz, 12481 MHz, 93.54 W, 600.00 W, 600.00 W, 41, 14643 MiB, 7 %, 5, 16
2026/09/21 20:05:43.384, 0, P0, 2355 MHz, 12481 MHz, 104.20 W, 600.00 W, 600.00 W, 41, 19795 MiB, 6 %, 5, 16
2026/09/21 20:05:43.634, 0, P0, 2422 MHz, 12481 MHz, 234.16 W, 600.00 W, 600.00 W, 52, 19795 MiB, 100 %, 5, 16
2026/09/21 20:05:43.885, 0, P0, 2422 MHz, 12481 MHz, 309.73 W, 600.00 W, 600.00 W, 53, 19795 MiB, 100 %, 5, 16
2026/09/21 20:05:44.135, 0, P0, 2422 MHz, 12481 MHz, 435.70 W, 600.00 W, 600.00 W, 53, 19795 MiB, 100 %, 5, 16
2026/09/21 20:05:44.386, 0, P0, 2422 MHz, 12481 MHz, 498.20 W, 600.00 W, 600.00 W, 54, 19827 MiB, 100 %, 5, 16
2026/09/21 20:05:44.636, 0, P0, 2422 MHz, 12481 MHz, 497.70 W, 600.00 W, 600.00 W, 53, 19827 MiB, 100 %, 5, 16
2026/09/21 20:05:44.887, 0, P0, 2422 MHz, 12481 MHz, 498.46 W, 600.00 W, 600.00 W, 54, 19827 MiB, 100 %, 5, 16
2026/09/21 20:05:45.138, 0, P0, 2422 MHz, 12481 MHz, 498.10 W, 600.00 W, 600.00 W, 54, 19827 MiB, 100 %, 5, 16
2026/09/21 20:05:45.389, 0, P0, 2422 MHz, 12481 MHz, 497.74 W, 600.00 W, 600.00 W, 55, 19827 MiB, 100 %, 5, 16
2026/09/21 20:05:45.639, 0, P0, 2422 MHz, 12481 MHz, 496.06 W, 600.00 W, 600.00 W, 54, 19827 MiB, 100 %, 5, 16
2026/09/21 20:05:45.890, 0, P0, 2422 MHz, 12481 MHz, 493.01 W, 600.00 W, 600.00 W, 54, 20211 MiB, 99 %, 5, 16
2026/09/21 20:05:46.140, 0, P0, 2422 MHz, 12481 MHz, 493.41 W, 600.00 W, 600.00 W, 55, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:46.391, 0, P0, 2422 MHz, 12481 MHz, 494.48 W, 600.00 W, 600.00 W, 54, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:46.641, 0, P0, 2422 MHz, 12481 MHz, 497.10 W, 600.00 W, 600.00 W, 55, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:46.892, 0, P0, 2422 MHz, 12481 MHz, 500.83 W, 600.00 W, 600.00 W, 55, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:47.142, 0, P0, 2422 MHz, 12481 MHz, 501.37 W, 600.00 W, 600.00 W, 55, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:47.393, 0, P0, 2422 MHz, 12481 MHz, 500.71 W, 600.00 W, 600.00 W, 56, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:47.644, 0, P0, 2422 MHz, 12481 MHz, 499.68 W, 600.00 W, 600.00 W, 56, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:47.895, 0, P0, 2422 MHz, 12481 MHz, 499.24 W, 600.00 W, 600.00 W, 56, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:48.145, 0, P0, 2422 MHz, 12481 MHz, 498.88 W, 600.00 W, 600.00 W, 56, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:48.396, 0, P0, 2422 MHz, 12481 MHz, 496.50 W, 600.00 W, 600.00 W, 56, 20211 MiB, 99 %, 5, 16
2026/09/21 20:05:48.646, 0, P0, 2422 MHz, 12481 MHz, 475.35 W, 600.00 W, 600.00 W, 56, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:48.897, 0, P0, 2422 MHz, 12481 MHz, 475.61 W, 600.00 W, 600.00 W, 57, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:49.148, 0, P0, 2422 MHz, 12481 MHz, 476.71 W, 600.00 W, 600.00 W, 56, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:49.398, 0, P0, 2422 MHz, 12481 MHz, 491.74 W, 600.00 W, 600.00 W, 57, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:49.649, 0, P0, 2422 MHz, 12481 MHz, 502.57 W, 600.00 W, 600.00 W, 57, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:49.899, 0, P0, 2422 MHz, 12481 MHz, 501.79 W, 600.00 W, 600.00 W, 58, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:50.150, 0, P0, 2422 MHz, 12481 MHz, 501.55 W, 600.00 W, 600.00 W, 57, 20211 MiB, 100 %, 5, 16
2026/09/21 20:05:50.401, 0, P0, 2422 MHz, 12481 MHz, 502.26 W, 600.00 W, 600.00 W, 57, 20211 MiB, 100 %, 5, 16
