timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 20:03:30.344, 0, P0, 2347 MHz, 12481 MHz, 122.13 W, 600.00 W, 600.00 W, 36, 0 MiB, 0 %, 5, 16
2026/09/21 20:03:30.598, 0, P0, 2347 MHz, 12481 MHz, 115.21 W, 600.00 W, 600.00 W, 36, 595 MiB, 0 %, 5, 16
2026/09/21 20:03:30.849, 0, P0, 2347 MHz, 12481 MHz, 107.45 W, 600.00 W, 600.00 W, 36, 1459 MiB, 0 %, 5, 16
2026/09/21 20:03:31.099, 0, P0, 2347 MHz, 12481 MHz, 102.00 W, 600.00 W, 600.00 W, 36, 2387 MiB, 8 %, 5, 16
2026/09/21 20:03:31.350, 0, P0, 2347 MHz, 12481 MHz, 91.84 W, 600.00 W, 600.00 W, 36, 3283 MiB, 7 %, 5, 16
2026/09/21 20:03:31.600, 0, P0, 2347 MHz, 12481 MHz, 90.61 W, 600.00 W, 600.00 W, 36, 4211 MiB, 7 %, 5, 16
2026/09/21 20:03:31.851, 0, P0, 2347 MHz, 12481 MHz, 90.88 W, 600.00 W, 600.00 W, 36, 5075 MiB, 7 %, 5, 16
2026/09/21 20:03:32.101, 0, P0, 2347 MHz, 12481 MHz, 90.65 W, 600.00 W, 600.00 W, 36, 6003 MiB, 7 %, 5, 16
2026/09/21 20:03:32.352, 0, P0, 2347 MHz, 12481 MHz, 90.58 W, 600.00 W, 600.00 W, 36, 6931 MiB, 7 %, 5, 16
2026/09/21 20:03:32.602, 0, P0, 2347 MHz, 12481 MHz, 90.51 W, 600.00 W, 600.00 W, 36, 7827 MiB, 6 %, 5, 16
2026/09/21 20:03:32.852, 0, P0, 2347 MHz, 12481 MHz, 90.62 W, 600.00 W, 600.00 W, 36, 8691 MiB, 7 %, 5, 16
2026/09/21 20:03:33.103, 0, P0, 2355 MHz, 12481 MHz, 90.68 W, 600.00 W, 600.00 W, 36, 9619 MiB, 7 %, 5, 16
2026/09/21 20:03:33.353, 0, P0, 2355 MHz, 12481 MHz, 90.70 W, 600.00 W, 600.00 W, 36, 10547 MiB, 8 %, 5, 16
2026/09/21 20:03:33.604, 0, P0, 2347 MHz, 12481 MHz, 90.67 W, 600.00 W, 600.00 W, 36, 11411 MiB, 7 %, 5, 16
2026/09/21 20:03:33.854, 0, P0, 2347 MHz, 12481 MHz, 90.69 W, 600.00 W, 600.00 W, 36, 12339 MiB, 8 %, 5, 16
