timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/21 20:02:04.579, 0, P0, 2347 MHz, 12481 MHz, 118.93 W, 600.00 W, 600.00 W, 36, 0 MiB, 0 %, 5, 16
2026/09/21 20:02:04.832, 0, P0, 2347 MHz, 12481 MHz, 111.97 W, 600.00 W, 600.00 W, 37, 627 MiB, 0 %, 5, 16
2026/09/21 20:02:05.083, 0, P0, 2347 MHz, 12481 MHz, 105.29 W, 600.00 W, 600.00 W, 36, 629 MiB, 9 %, 5, 16
2026/09/21 20:02:05.333, 0, P0, 2347 MHz, 12481 MHz, 96.42 W, 600.00 W, 600.00 W, 36, 629 MiB, 0 %, 5, 16
2026/09/21 20:02:05.583, 0, P0, 2347 MHz, 12481 MHz, 97.37 W, 600.00 W, 600.00 W, 36, 725 MiB, 3 %, 5, 16
2026/09/21 20:02:05.834, 0, P0, 2347 MHz, 12481 MHz, 95.80 W, 600.00 W, 600.00 W, 36, 725 MiB, 1 %, 5, 16
2026/09/21 20:02:06.084, 0, P0, 2347 MHz, 12481 MHz, 95.75 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:06.334, 0, P0, 2355 MHz, 12481 MHz, 95.45 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:06.585, 0, P0, 2355 MHz, 12481 MHz, 90.03 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:06.835, 0, P0, 2347 MHz, 12481 MHz, 88.86 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:07.085, 0, P0, 2347 MHz, 12481 MHz, 88.89 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:07.336, 0, P0, 2347 MHz, 12481 MHz, 88.89 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:07.586, 0, P0, 2347 MHz, 12481 MHz, 90.88 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:07.836, 0, P0, 2355 MHz, 12481 MHz, 90.92 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
2026/09/21 20:02:08.087, 0, P0, 2347 MHz, 12481 MHz, 90.78 W, 600.00 W, 600.00 W, 36, 725 MiB, 0 %, 5, 16
