epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790034085785,17205,0,0,0,0,0,0
1790034086035,17205,0,0,0,0,0,0
1790034086285,17205,0,0,0,0,0,0
1790034086535,17205,0,0,0,0,0,0
1790034086785,17461,0,0,0,0,0,0
1790034087035,18325,0,0,0,0,0,0
1790034087285,18325,82759516160,17914203332,18589155328,0,0,0
1790034087535,18325,82759516160,17914203332,18589155328,0,0,0
1790034087785,18325,82759516160,17914203332,18589155328,0,0,0
1790034088035,18325,82759516160,17914203332,18589155328,0,0,0
1790034088285,18325,82759516160,17914203332,18589155328,0,0,0
1790034088535,18325,82759516160,17914203332,18589155328,0,0,0
1790034088785,18325,82759516160,17914203332,18589155328,0,0,0
1790034089035,18325,82759516160,17914203332,18589155328,0,0,0
1790034089285,26997,82759516160,17914203332,18589155328,0,0,0
1790034089535,26997,82759516160,17914203332,18589155328,0,0,0
1790034089785,27381,82759516160,17914203332,18589155328,0,0,0
1790034090035,27381,82759516160,17914203332,18589155328,0,0,0
1790034090285,27381,82759516160,17914203332,18589155328,0,0,0
1790034090535,27381,82759516160,17914203332,18589155328,0,0,0
1790034090785,27381,82759516160,17914203332,18589155328,0,0,0
1790034091035,27381,82759516160,17914203332,18589155328,0,0,0
1790034091285,27381,82759516160,17914203332,18589155328,0,0,0
1790034091535,27381,82759516160,17914203332,18589155328,0,0,0
1790034091785,27381,82759516160,17914203332,18589155328,0,0,0
1790034092035,27381,82759516160,17914203332,18589155328,0,0,0
1790034092285,27381,82759516160,17914203332,18589155328,0,0,0
1790034092535,27381,82759516160,17914203332,18589155328,0,0,0
1790034092785,27381,82759516160,17914203332,18589155328,0,0,0
1790034093035,27381,82759516160,17914203332,18589155328,0,0,0
1790034093285,27381,82759516160,17914203332,18589155328,0,0,0
1790034093535,27381,82759516160,17914203332,18589155328,0,0,0
1790034093785,27381,82759516160,17914203332,18589155328,0,0,0
1790034094035,27381,82759516160,17914203332,18589155328,0,0,0
1790034094285,36085,73263611904,27443996232,28085059584,0,0,202348544
1790034094535,36085,73263611904,27443996232,28085059584,0,0,202348544
1790034094785,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034095035,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034095285,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034095535,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034095785,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034096035,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034096285,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034096535,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034096785,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034097035,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034097285,36373,73263611904,27443996232,28085059584,0,0,202348544
1790034097535,44533,63834816512,36241391688,37513854976,0,0,404697088
1790034097785,44533,63834816512,36241391688,37513854976,0,0,404697088
1790034098035,44757,63834816512,36241391688,37513854976,0,0,404697088
1790034098285,44789,63834816512,36241391688,37513854976,0,0,404697088
1790034098535,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034098785,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034099035,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034099285,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034099535,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034099785,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034100035,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034100285,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034100535,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034100785,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034101035,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034101285,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034101535,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034101785,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034102035,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790034102285,44789,55010000896,36392994888,46338670592,0,0,607045632
1790034102535,44789,55010000896,36392994888,46338670592,0,0,607045632
1790034102785,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034103035,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034103285,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034103535,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034103785,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034104035,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034104285,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034104535,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034104785,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034105035,44917,55010000896,36392994888,46338670592,0,0,607045632
1790034105285,44917,55010000896,36392994888,46338670592,0,0,607045632
