timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 00:52:29.611, 0, P0, 180 MHz, 12481 MHz, 52.80 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:29.867, 0, P0, 180 MHz, 12481 MHz, 52.80 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:30.118, 0, P0, 180 MHz, 12481 MHz, 52.80 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:30.368, 0, P0, 180 MHz, 12481 MHz, 52.82 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:30.619, 0, P0, 180 MHz, 12481 MHz, 52.82 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:30.869, 0, P0, 180 MHz, 12481 MHz, 52.82 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:31.120, 0, P0, 180 MHz, 12481 MHz, 52.82 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:31.370, 0, P0, 180 MHz, 12481 MHz, 52.86 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:31.621, 0, P0, 180 MHz, 12481 MHz, 52.86 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:31.871, 0, P0, 180 MHz, 12481 MHz, 52.86 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:32.122, 0, P0, 180 MHz, 12481 MHz, 52.86 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:32.372, 0, P0, 180 MHz, 12481 MHz, 52.34 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:32.623, 0, P0, 180 MHz, 12481 MHz, 52.34 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:32.873, 0, P0, 180 MHz, 12481 MHz, 52.34 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:33.124, 0, P0, 180 MHz, 12481 MHz, 52.34 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 00:52:33.374, 0, P8, 180 MHz, 405 MHz, 40.00 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:33.625, 0, P8, 180 MHz, 405 MHz, 40.00 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:33.876, 0, P8, 180 MHz, 405 MHz, 40.00 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:34.126, 0, P8, 180 MHz, 405 MHz, 40.00 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:34.377, 0, P8, 180 MHz, 405 MHz, 34.54 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:34.628, 0, P8, 180 MHz, 405 MHz, 34.54 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:34.878, 0, P8, 180 MHz, 405 MHz, 34.54 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 00:52:35.129, 0, P8, 180 MHz, 405 MHz, 34.54 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
