timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/22 01:18:18.430, 0, P0, 180 MHz, 12481 MHz, 53.73 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:18.685, 0, P0, 180 MHz, 12481 MHz, 53.73 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:18.936, 0, P0, 180 MHz, 12481 MHz, 53.73 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:19.186, 0, P0, 180 MHz, 12481 MHz, 53.23 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:19.437, 0, P0, 180 MHz, 12481 MHz, 53.23 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:19.687, 0, P0, 180 MHz, 12481 MHz, 53.23 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:19.938, 0, P0, 180 MHz, 12481 MHz, 53.23 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:20.188, 0, P0, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:20.439, 0, P0, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:20.689, 0, P0, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:20.940, 0, P0, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 44, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:21.190, 0, P0, 180 MHz, 12481 MHz, 52.97 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:21.441, 0, P0, 180 MHz, 12481 MHz, 52.97 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:21.691, 0, P0, 180 MHz, 12481 MHz, 52.97 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:21.942, 0, P0, 180 MHz, 12481 MHz, 52.97 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:22.192, 0, P0, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 5, 16
2026/09/22 01:18:22.443, 0, P8, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
2026/09/22 01:18:22.693, 0, P8, 180 MHz, 12481 MHz, 52.72 W, 600.00 W, 600.00 W, 43, 0 MiB, 0 %, 1, 16
