epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790039068527,14739,0,0,0,0,0,0
1790039068777,14739,0,0,0,0,0,0
1790039069027,14739,0,0,0,0,0,0
1790039069277,14739,0,0,0,0,0,0
1790039069527,15891,0,0,0,0,0,0
1790039069777,16243,0,0,0,0,0,0
1790039070027,16243,0,0,0,0,0,0
1790039070277,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039070527,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039070777,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039071027,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039071277,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039071527,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039071777,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039072027,16243,84942651392,16396420244,16441671680,0,0,159744000
1790039072277,25523,84942651392,16396420244,16441671680,0,0,159744000
1790039072527,25523,84942651392,16396420244,16441671680,0,0,159744000
1790039072777,25523,84942651392,16396420244,16441671680,0,0,159744000
1790039073027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039073277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039073527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039073777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039074027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039074277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039074527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039074777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039075027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039075277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039075527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039075777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039076027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039076277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039076527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039076777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039077027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039077277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039077527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039077777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039078027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039078277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039078527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039078777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039079027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039079277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039079527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039079777,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039080027,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039080277,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039080527,25523,75211866112,25846411048,26172456960,8804479060,1,359399424
1790039080777,34035,75211866112,25846411048,26172456960,0,0,359399424
1790039081027,34035,75211866112,25846411048,26172456960,0,0,359399424
1790039081277,34035,75211866112,25846411048,26172456960,0,0,359399424
1790039081527,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039081777,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039082027,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039082277,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039082527,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039082777,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039083027,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039083277,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039083527,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039083777,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039084027,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039084277,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039084527,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039084777,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039085027,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039085277,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039085527,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039085777,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039086027,34035,66286387200,34783008892,35097935872,9290699092,1,559054848
1790039086277,42131,66286387200,34311807016,35097935872,0,0,559054848
1790039086527,42131,66286387200,34311807016,35097935872,0,0,559054848
1790039086777,42131,66286387200,34311807016,35097935872,0,0,559054848
1790039087027,42131,66286387200,34311807016,35097935872,0,0,559054848
1790039087277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039087527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039087777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039088027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039088277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039088527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039088777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039089027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039089277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039089527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039089777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039090027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039090277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039090527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039090777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039091027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039091277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039091527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039091777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039092027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039092277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039092527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039092777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039093027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039093277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039093527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039093777,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039094027,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039094277,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039094527,42131,57797115904,43248417148,43587207168,9292136788,1,758710272
1790039094777,42323,57797115904,34511474728,43587207168,0,0,758710272
1790039095027,42323,57797115904,34511474728,43587207168,0,0,758710272
1790039095277,42323,57797115904,34511474728,43587207168,0,0,758710272
1790039095527,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039095777,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039096027,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039096277,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039096527,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039096777,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039097027,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039097277,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039097527,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039097777,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039098027,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039098277,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039098527,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039098777,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039099027,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039099277,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039099527,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039099777,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039100027,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039100277,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039100527,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039100777,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039101027,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039101277,42323,57595789312,43448072572,43788533760,9292136788,1,958365696
1790039101527,42515,57595789312,34711130152,43788533760,0,0,958365696
1790039101777,42515,57595789312,34711130152,43788533760,0,0,958365696
1790039102027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039102277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039102527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039102777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039103027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039103277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039103527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039103777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039104027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039104277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039104527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039104777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039105027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039105277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039105527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039105777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039106027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039106277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039106527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039106777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039107027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039107277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039107527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039107777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039108027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039108277,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039108527,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039108777,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039109027,42515,57394462720,43647727996,43989860352,9291657556,1,1158021120
1790039109277,42515,57394462720,34910785576,43989860352,0,0,1158021120
1790039109527,42515,57394462720,34910785576,43989860352,0,0,1158021120
1790039109777,42515,57394462720,34910785576,43989860352,0,0,1158021120
1790039110027,42515,57394462720,35737577788,43989860352,1671990612,1,1365278720
1790039110277,42515,57394462720,35737577788,43989860352,1671990612,1,1365278720
1790039110527,42515,57394462720,35737577788,43989860352,1671990612,1,1365278720
1790039110777,42515,57394462720,35737577788,43989860352,1671990612,1,1365278720
1790039111027,42515,57394462720,35737577788,43989860352,1671990612,1,1365278720
1790039111277,42515,57394462720,27000635368,43989860352,0,0,1365278720
1790039111527,42515,57394462720,27000635368,43989860352,0,0,1365278720
1790039111777,42515,57394462720,27000635368,43989860352,0,0,1365278720
1790039112027,42515,57394462720,27000635368,43989860352,0,0,1365278720
1790039112277,42515,57394462720,27731029436,43989860352,1671481684,1,1572536320
1790039112527,42515,57394462720,27731029436,43989860352,1671481684,1,1572536320
1790039112777,42515,57394462720,27731029436,43989860352,1671481684,1,1572536320
1790039113027,42515,57394462720,18994087016,43989860352,0,0,1572536320
1790039113277,42515,57394462720,18994087016,43989860352,0,0,1572536320
1790039113527,42515,57394462720,18994087016,43989860352,0,0,1572536320
1790039113777,42515,57394462720,18994087016,43989860352,0,0,1572536320
1790039114027,42515,57394462720,19724449532,43989860352,1670972756,1,1779793920
1790039114277,42515,57394462720,19724449532,43989860352,1670972756,1,1779793920
1790039114527,42515,57394462720,19724449532,43989860352,1670972756,1,1779793920
1790039114777,42515,57394462720,19724449532,43989860352,1670972756,1,1779793920
1790039115027,42515,57394462720,19201281512,43989860352,0,0,1779793920
1790039115277,42515,57394462720,19201281512,43989860352,0,0,1779793920
1790039115527,42515,57394462720,19201281512,43989860352,0,0,1779793920
1790039115777,42515,57394462720,19931644028,43989860352,1670972756,1,1987051520
1790039116027,42515,57394462720,19931644028,43989860352,1670972756,1,1987051520
1790039116277,42515,57394462720,19931644028,43989860352,1670972756,1,1987051520
1790039116527,42515,57394462720,19931644028,43989860352,1670972756,1,1987051520
1790039116777,42515,57394462720,19408507560,43989860352,0,0,1987051520
1790039117027,42515,57394462720,19408507560,43989860352,0,0,1987051520
1790039117277,42515,57394462720,19408507560,43989860352,0,0,1987051520
1790039117527,42515,57394462720,20137825148,43989860352,1669445972,1,2193358848
1790039117777,42515,57394462720,20137825148,43989860352,1669445972,1,2193358848
1790039118027,42515,57394462720,20137825148,43989860352,1669445972,1,2193358848
1790039118277,42515,57394462720,20137825148,43989860352,1669445972,1,2193358848
1790039118527,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039118777,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039119027,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039119277,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039119527,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039119777,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039120027,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039120277,42515,57394462720,19614720232,43989860352,0,0,2193358848
1790039120527,42515,57394462720,19614720232,43989860352,0,0,2193358848
