epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790120109511,17205,0,0,0,0,0,0
1790120109761,17205,0,0,0,0,0,0
1790120110011,17205,0,0,0,0,0,0
1790120110261,17205,0,0,0,0,0,0
1790120110511,17461,0,0,0,0,0,0
1790120110761,18325,0,0,0,0,0,0
1790120111011,18325,82759516160,17914203332,18589155328,0,0,0
1790120111261,18325,82759516160,17914203332,18589155328,0,0,0
1790120111511,18325,82759516160,17914203332,18589155328,0,0,0
1790120111761,18325,82759516160,17914203332,18589155328,0,0,0
1790120112011,18325,82759516160,17914203332,18589155328,0,0,0
1790120112261,18325,82759516160,17914203332,18589155328,0,0,0
1790120112511,18325,82759516160,17914203332,18589155328,0,0,0
1790120112761,18325,82759516160,17914203332,18589155328,0,0,0
1790120113011,26997,82759516160,17914203332,18589155328,0,0,0
1790120113261,26997,82759516160,17914203332,18589155328,0,0,0
1790120113511,27381,82759516160,17914203332,18589155328,0,0,0
1790120113761,27381,82759516160,17914203332,18589155328,0,0,0
1790120114011,27381,82759516160,17914203332,18589155328,0,0,0
1790120114261,27381,82759516160,17914203332,18589155328,0,0,0
1790120114511,27381,82759516160,17914203332,18589155328,0,0,0
1790120114761,27381,82759516160,17914203332,18589155328,0,0,0
1790120115011,27381,82759516160,17914203332,18589155328,0,0,0
1790120115261,27381,82759516160,17914203332,18589155328,0,0,0
1790120115511,27381,82759516160,17914203332,18589155328,0,0,0
1790120115761,27381,82759516160,17914203332,18589155328,0,0,0
1790120116011,27381,82759516160,17914203332,18589155328,0,0,0
1790120116261,27381,82759516160,17914203332,18589155328,0,0,0
1790120116511,27381,82759516160,17914203332,18589155328,0,0,0
1790120116761,27381,82759516160,17914203332,18589155328,0,0,0
1790120117011,27381,82759516160,17914203332,18589155328,0,0,0
1790120117261,27381,82759516160,17914203332,18589155328,0,0,0
1790120117511,27381,82759516160,17914203332,18589155328,0,0,0
1790120117761,27381,82759516160,17914203332,18589155328,0,0,0
1790120118011,36085,73263611904,27443996232,28085059584,0,0,202348544
1790120118261,36085,73263611904,27443996232,28085059584,0,0,202348544
1790120118511,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120118761,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120119011,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120119261,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120119511,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120119761,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120120011,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120120261,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120120511,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120120761,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120121011,36373,73263611904,27443996232,28085059584,0,0,202348544
1790120121261,44533,63834816512,36241391688,37513854976,0,0,404697088
1790120121511,44533,63834816512,36241391688,37513854976,0,0,404697088
1790120121761,44789,63834816512,36241391688,37513854976,0,0,404697088
1790120122011,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790120122261,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790120122511,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790120122761,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790120123011,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
1790120123261,44789,55010000896,45669734860,46338670592,9884975064,1,607045632
