epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790202556014,17203,0,0,0,0,0,0
1790202556264,17203,0,0,0,0,0,0
1790202556514,17203,0,0,0,0,0,0
1790202556764,17203,0,0,0,0,0,0
1790202557014,17459,0,0,0,0,0,0
1790202557264,18323,0,0,0,0,0,0
1790202557514,18323,82761285632,17914203332,18589155328,0,0,0
1790202557764,18323,82761285632,17914203332,18589155328,0,0,0
1790202558014,18323,82761285632,17914203332,18589155328,0,0,0
1790202558264,18323,82761285632,17914203332,18589155328,0,0,0
1790202558514,18323,82761285632,17914203332,18589155328,0,0,0
1790202558764,18323,82761285632,17914203332,18589155328,0,0,0
1790202559014,18323,82761285632,17914203332,18589155328,0,0,0
1790202559264,18323,82761285632,17914203332,18589155328,0,0,0
1790202559514,26995,82761285632,17914203332,18589155328,0,0,0
1790202559764,26995,82761285632,17914203332,18589155328,0,0,0
1790202560014,27379,82761285632,17914203332,18589155328,0,0,0
1790202560264,27379,82761285632,17914203332,18589155328,0,0,0
1790202560514,27379,82761285632,17914203332,18589155328,0,0,0
1790202560764,27379,82761285632,17914203332,18589155328,0,0,0
1790202561014,27379,82761285632,17914203332,18589155328,0,0,0
1790202561264,27379,82761285632,17914203332,18589155328,0,0,0
1790202561514,27379,82761285632,17914203332,18589155328,0,0,0
1790202561764,27379,82761285632,17914203332,18589155328,0,0,0
1790202562014,27379,82761285632,17914203332,18589155328,0,0,0
1790202562264,27379,82761285632,17914203332,18589155328,0,0,0
1790202562514,27379,82761285632,17914203332,18589155328,0,0,0
1790202562764,27379,82761285632,17914203332,18589155328,0,0,0
1790202563014,27379,82761285632,17914203332,18589155328,0,0,0
1790202563264,27379,82761285632,17914203332,18589155328,0,0,0
1790202563514,27379,82761285632,17914203332,18589155328,0,0,0
1790202563764,27379,82761285632,17914203332,18589155328,0,0,0
1790202564014,36083,73265381376,27443996232,28085059584,0,0,202348544
1790202564264,36083,73265381376,27443996232,28085059584,0,0,202348544
1790202564514,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202564764,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202565014,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202565264,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202565514,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202565764,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202566014,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202566264,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202566514,36371,73265381376,27443996232,28085059584,0,0,202348544
1790202566764,44531,63836585984,36241391688,37513854976,0,0,404697088
1790202567014,44531,63836585984,36241391688,37513854976,0,0,404697088
1790202567264,44755,63836585984,36241391688,37513854976,0,0,404697088
1790202567514,44787,63836585984,36241391688,37513854976,0,0,404697088
1790202567764,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202568014,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202568264,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202568514,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202568764,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202569014,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202569264,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
1790202569514,44787,55011770368,45669734860,46338670592,9884975064,1,607045632
