epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790212348249,17203,0,0,0,0,0,0
1790212348499,17203,0,0,0,0,0,0
1790212348749,17203,0,0,0,0,0,0
1790212348999,17203,0,0,0,0,0,0
1790212349249,17459,0,0,0,0,0,0
1790212349499,18323,0,0,0,0,0,0
1790212349749,18323,82761285632,17914203332,18589155328,0,0,0
1790212349999,18323,82761285632,17914203332,18589155328,0,0,0
1790212350249,18323,82761285632,17914203332,18589155328,0,0,0
1790212350499,18323,82761285632,17914203332,18589155328,0,0,0
1790212350749,18323,82761285632,17914203332,18589155328,0,0,0
1790212350999,18323,82761285632,17914203332,18589155328,0,0,0
1790212351249,18323,82761285632,17914203332,18589155328,0,0,0
1790212351499,18323,82761285632,17914203332,18589155328,0,0,0
1790212351749,19731,82761285632,17914203332,18589155328,0,0,0
1790212351999,19731,82761285632,17914203332,18589155328,0,0,0
1790212352249,20051,82761285632,17914203332,18589155328,0,0,0
1790212352499,20051,82761285632,17914203332,18589155328,0,0,0
1790212352749,20051,82761285632,17914203332,18589155328,0,0,0
1790212352999,20051,82761285632,17914203332,18589155328,0,0,0
1790212353249,20051,82761285632,17914203332,18589155328,0,0,0
1790212353499,20051,82761285632,17914203332,18589155328,0,0,0
1790212353749,20051,82761285632,17914203332,18589155328,0,0,0
1790212353999,20051,82761285632,17914203332,18589155328,0,0,0
1790212354249,20051,82761285632,17914203332,18589155328,0,0,0
1790212354499,20051,82761285632,17914203332,18589155328,0,0,0
1790212354749,20051,82761285632,17914203332,18589155328,0,0,0
1790212354999,20051,82761285632,17914203332,18589155328,0,0,0
1790212355249,20051,82761285632,17914203332,18589155328,0,0,0
1790212355499,20051,82761285632,17914203332,18589155328,0,0,0
1790212355749,20051,82761285632,17914203332,18589155328,0,0,0
1790212355999,21491,80949346304,19755056328,20401094656,0,0,202348544
1790212356249,21491,80949346304,19755056328,20401094656,0,0,202348544
1790212356499,21619,80949346304,19755056328,20401094656,0,0,202348544
1790212356749,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212356999,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212357249,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212357499,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212357749,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212357999,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212358249,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212358499,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212358749,21779,80949346304,19755056328,20401094656,0,0,202348544
1790212358999,22643,79137406976,20939202888,22213033984,0,0,404697088
1790212359249,22643,79137406976,20939202888,22213033984,0,0,404697088
1790212359499,22931,79137406976,20939202888,22213033984,0,0,404697088
1790212359749,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212359999,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212360249,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212360499,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212360749,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212360999,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212361249,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212361499,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212361749,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212361999,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212362249,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212362499,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212362749,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212362999,22931,77929447424,22754397388,23420993536,2211827624,1,607045632
1790212363249,22931,77929447424,21128751816,23420993536,0,0,607045632
1790212363499,22931,77929447424,21128751816,23420993536,0,0,607045632
1790212363749,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212363999,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212364249,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212364499,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212364749,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212364999,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212365249,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212365499,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212365749,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212365999,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212366249,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212366499,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212366749,23091,77929447424,21128751816,23420993536,0,0,607045632
1790212366999,23091,77761675264,21331180104,23588765696,0,0,809394176
1790212367249,23091,77761675264,21331180104,23588765696,0,0,809394176
1790212367499,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212367749,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212367999,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212368249,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212368499,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212368749,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212368999,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212369249,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212369499,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212369749,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212369999,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212370249,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212370499,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212370749,23283,77761675264,21331180104,23588765696,0,0,809394176
1790212370999,23283,77560348672,21533474760,23790092288,0,0,1011742720
