epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790273169617,17204,0,0,0,0,0,0
1790273169867,17204,0,0,0,0,0,0
1790273170117,17204,0,0,0,0,0,0
1790273170367,17204,0,0,0,0,0,0
1790273170617,17460,0,0,0,0,0,0
1790273170867,18324,0,0,0,0,0,0
1790273171117,18324,82760237056,17914203332,18589155328,0,0,0
1790273171367,18324,82760237056,17914203332,18589155328,0,0,0
1790273171617,18324,82760237056,17914203332,18589155328,0,0,0
1790273171867,18324,82760237056,17914203332,18589155328,0,0,0
1790273172117,18324,82760237056,17914203332,18589155328,0,0,0
1790273172367,18324,82760237056,17914203332,18589155328,0,0,0
1790273172617,18324,82760237056,17914203332,18589155328,0,0,0
1790273172867,18324,82760237056,17914203332,18589155328,0,0,0
1790273173117,26996,82760237056,17914203332,18589155328,0,0,0
1790273173367,27220,82760237056,17914203332,18589155328,0,0,0
1790273173617,27380,82760237056,17914203332,18589155328,0,0,0
1790273173867,27380,82760237056,17914203332,18589155328,0,0,0
1790273174117,27380,82760237056,17914203332,18589155328,0,0,0
1790273174367,27380,82760237056,17914203332,18589155328,0,0,0
1790273174617,27380,82760237056,17914203332,18589155328,0,0,0
1790273174867,27380,82760237056,17914203332,18589155328,0,0,0
1790273175117,27380,82760237056,17914203332,18589155328,0,0,0
1790273175367,27380,82760237056,17914203332,18589155328,0,0,0
1790273175617,27380,82760237056,17914203332,18589155328,0,0,0
1790273175867,27380,82760237056,17914203332,18589155328,0,0,0
1790273176117,27380,82760237056,17914203332,18589155328,0,0,0
1790273176367,27380,82760237056,17914203332,18589155328,0,0,0
1790273176617,27380,82760237056,17914203332,18589155328,0,0,0
1790273176867,27380,82760237056,17914203332,18589155328,0,0,0
1790273177117,36084,73264332800,27443996232,28085059584,0,0,202348544
1790273177367,36084,73264332800,27443996232,28085059584,0,0,202348544
1790273177617,36372,73264332800,27443996232,28085059584,0,0,202348544
1790273177867,36372,73264332800,27443996232,28085059584,0,0,202348544
1790273178117,36372,73264332800,27443996232,28085059584,0,0,202348544
