epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790273386536,17204,0,0,0,0,0,0
1790273386786,17204,0,0,0,0,0,0
1790273387036,17204,0,0,0,0,0,0
1790273387286,17204,0,0,0,0,0,0
1790273387536,17460,0,0,0,0,0,0
1790273387786,18324,0,0,0,0,0,0
1790273388036,18324,82760237056,17914203332,18589155328,0,0,0
1790273388286,18324,82760237056,17914203332,18589155328,0,0,0
1790273388536,18324,82760237056,17914203332,18589155328,0,0,0
1790273388786,18324,82760237056,17914203332,18589155328,0,0,0
1790273389036,18324,82760237056,17914203332,18589155328,0,0,0
1790273389286,18324,82760237056,17914203332,18589155328,0,0,0
1790273389536,18324,82760237056,17914203332,18589155328,0,0,0
1790273389786,18324,82760237056,17914203332,18589155328,0,0,0
1790273390036,18716,82760237056,17914203332,18589155328,0,0,0
1790273390286,18940,82760237056,17914203332,18589155328,0,0,0
1790273390536,19100,82760237056,17914203332,18589155328,0,0,0
1790273390786,19100,82760237056,17914203332,18589155328,0,0,0
1790273391036,19100,82760237056,17914203332,18589155328,0,0,0
1790273391286,19100,82760237056,17914203332,18589155328,0,0,0
1790273391536,19100,82760237056,17914203332,18589155328,0,0,0
1790273391786,19100,82760237056,17914203332,18589155328,0,0,0
1790273392036,19100,82760237056,17914203332,18589155328,0,0,0
1790273392286,19100,82760237056,17914203332,18589155328,0,0,0
1790273392536,19100,82760237056,17914203332,18589155328,0,0,0
1790273392786,19136,82760237056,17914203332,18589155328,0,0,0
1790273393036,19136,82760237056,17914203332,18589155328,0,0,0
1790273393286,19136,82760237056,17914203332,18589155328,0,0,0
1790273393536,19136,82760237056,17914203332,18589155328,0,0,0
1790273393786,19136,82760237056,17914203332,18589155328,0,0,0
1790273394036,19560,81908793344,18686289208,19327352832,0,0,202348544
1790273394286,19560,81908793344,18686289208,19327352832,0,0,202348544
1790273394536,19848,81908793344,18686289208,19327352832,0,0,202348544
1790273394786,19848,81908793344,18686289208,19327352832,0,0,202348544
