epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790274849951,73,546.39,2767,17204,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274850201,77,445.04,2767,18100,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274850451,77,445.04,2767,23988,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274850701,79,445.45,2715,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274850951,79,445.45,2715,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274851201,80,542.74,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274851451,80,542.74,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274851701,80,567.86,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274851951,80,567.86,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274852201,80,568.94,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274852451,80,568.94,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274852701,81,569.30,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274852951,81,569.30,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274853201,81,569.60,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274853451,81,569.60,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274853701,81,570.20,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274853951,81,570.20,2677,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
1790274854201,81,570.37,2670,24020,0,0,0,0,0,0,0,0,0,0,0,0,0
