Xp-6144-r0-t1 status=503 finish=None G=None cached=None ms=1627
Xp-6144-r0-t2 status=200 finish=length G=1 cached=0 ms=1610
Xp-6144-r0-t3 status=200 finish=length G=32 cached=6209 ms=456
Xp-6144-r0-t4 status=200 finish=length G=32 cached=6304 ms=454
Xp-6144-r0-t1-cold status=200 finish=length G=1 cached=0 ms=1584
Xp-6144-r0-t2-cold status=200 finish=length G=1 cached=0 ms=1616
Xp-6144-r0-t3-cold status=200 finish=length G=32 cached=0 ms=1999
Xp-6144-r0-t4-cold status=200 finish=length G=32 cached=0 ms=2023
Xp-6144-r1-t1 status=200 finish=length G=1 cached=0 ms=1595
Xp-6144-r1-t2 status=200 finish=length G=1 cached=6145 ms=83
Xp-6144-r1-t3 status=200 finish=length G=32 cached=6209 ms=456
Xp-6144-r1-t4 status=200 finish=length G=32 cached=6304 ms=454
Xp-6144-r1-t1-cold status=200 finish=length G=1 cached=0 ms=1597
Xp-6144-r1-t2-cold status=200 finish=length G=1 cached=0 ms=1630
Xp-6144-r1-t3-cold status=200 finish=length G=32 cached=0 ms=2011
Xp-6144-r1-t4-cold status=200 finish=length G=32 cached=0 ms=2033
Xp-6144-r2-t1 status=200 finish=length G=1 cached=0 ms=1604
Xp-6144-r2-t2 status=200 finish=length G=1 cached=6145 ms=83
Xp-6144-r2-t3 status=200 finish=length G=32 cached=6209 ms=457
Xp-6144-r2-t4 status=200 finish=length G=32 cached=6304 ms=454
Xp-6144-r2-t1-cold status=200 finish=length G=1 cached=0 ms=1608
Xp-6144-r2-t2-cold status=200 finish=length G=1 cached=0 ms=1640
Xp-6144-r2-t3-cold status=200 finish=length G=32 cached=0 ms=2021
Xp-6144-r2-t4-cold status=200 finish=length G=32 cached=0 ms=2042
Xp-6144-r3-t1 status=200 finish=length G=1 cached=0 ms=1614
Xp-6144-r3-t2 status=200 finish=length G=1 cached=6145 ms=83
Xp-6144-r3-t3 status=200 finish=length G=32 cached=6209 ms=457
Xp-6144-r3-t4 status=200 finish=length G=32 cached=6304 ms=455
Xp-6144-r3-t1-cold status=200 finish=length G=1 cached=0 ms=1614
Xp-6144-r3-t2-cold status=200 finish=length G=1 cached=0 ms=1648
Xp-6144-r3-t3-cold status=200 finish=length G=32 cached=0 ms=2030
Xp-6144-r3-t4-cold status=200 finish=length G=32 cached=0 ms=2047
Xp-6144-r4-t1 status=200 finish=length G=1 cached=0 ms=1619
Xp-6144-r4-t2 status=200 finish=length G=1 cached=6145 ms=83
Xp-6144-r4-t3 status=200 finish=length G=32 cached=6209 ms=457
Xp-6144-r4-t4 status=200 finish=length G=32 cached=6304 ms=455
Xp-6144-r4-t1-cold status=200 finish=length G=1 cached=0 ms=1619
Xp-6144-r4-t2-cold status=200 finish=length G=1 cached=0 ms=1652
Xp-6144-r4-t3-cold status=200 finish=length G=32 cached=0 ms=2033
Xp-6144-r4-t4-cold status=200 finish=length G=32 cached=0 ms=2053
DAY38 CLIENT rows=40 ok=39
