timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], power.max_limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/25 09:29:46.292, 0, P5, 180 MHz, 810 MHz, 57.38 W, 600.00 W, 600.00 W, 59, 2 MiB, 0 %, 2, 16
2026/09/25 09:29:46.550, 0, P5, 180 MHz, 810 MHz, 57.38 W, 600.00 W, 600.00 W, 59, 2 MiB, 0 %, 2, 16
2026/09/25 09:29:46.801, 0, P5, 180 MHz, 810 MHz, 57.38 W, 600.00 W, 600.00 W, 59, 2 MiB, 0 %, 2, 16
2026/09/25 09:29:47.052, 0, P5, 180 MHz, 810 MHz, 33.71 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 2, 16
2026/09/25 09:29:47.303, 0, P5, 180 MHz, 810 MHz, 33.71 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 2, 16
2026/09/25 09:29:47.554, 0, P8, 180 MHz, 810 MHz, 33.71 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:47.805, 0, P8, 180 MHz, 810 MHz, 33.71 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:48.057, 0, P8, 180 MHz, 405 MHz, 32.35 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:48.307, 0, P8, 180 MHz, 405 MHz, 32.35 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:48.559, 0, P8, 180 MHz, 405 MHz, 32.35 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:48.810, 0, P8, 180 MHz, 405 MHz, 32.35 W, 600.00 W, 600.00 W, 58, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:49.061, 0, P8, 180 MHz, 405 MHz, 32.12 W, 600.00 W, 600.00 W, 57, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:49.312, 0, P8, 180 MHz, 405 MHz, 32.12 W, 600.00 W, 600.00 W, 57, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:49.564, 0, P8, 180 MHz, 405 MHz, 32.12 W, 600.00 W, 600.00 W, 57, 2 MiB, 0 %, 1, 16
2026/09/25 09:29:49.815, 0, P8, 180 MHz, 405 MHz, 32.12 W, 600.00 W, 600.00 W, 57, 2 MiB, 0 %, 1, 16
